,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
1222,EXP,MT,BD,T,BE,2009,17023.0
1223,EXP,MT,BD,T,DE,2009,14791.0
1224,EXP,MT,BD,T,EU27_2020,2009,60984.0
1225,EXP,MT,BD,T,FR,2009,466.0
1226,EXP,MT,BD,T,IT,2009,669.0
1227,EXP,MT,BD,T,LV,2009,1075.0
1228,EXP,MT,BD,T,NL,2009,10154.0
1229,EXP,MT,BD,T,SE,2009,16807.0
3056,EXP,MT_FER,BD,T,BE,2009,17023.0
3057,EXP,MT_FER,BD,T,DE,2009,14791.0
3058,EXP,MT_FER,BD,T,EU27_2020,2009,60984.0
3059,EXP,MT_FER,BD,T,FR,2009,466.0
3060,EXP,MT_FER,BD,T,IT,2009,669.0
3061,EXP,MT_FER,BD,T,LV,2009,1075.0
3062,EXP,MT_FER,BD,T,NL,2009,10154.0
3063,EXP,MT_FER,BD,T,SE,2009,16807.0
8196,EXP,NSP,BD,T,EU27_2020,2009,1.0
8197,EXP,NSP,BD,T,IE,2009,1.0
9024,EXP,ORG,BD,T,EU27_2020,2009,100.0
9025,EXP,ORG,BD,T,NL,2009,100.0
9808,EXP,ORG_ANI,BD,T,EU27_2020,2009,100.0
9809,EXP,ORG_ANI,BD,T,NL,2009,100.0
10954,EXP,PAPER,BD,T,DE,2009,150.0
10955,EXP,PAPER,BD,T,EL,2009,2575.0
10956,EXP,PAPER,BD,T,EU27_2020,2009,2949.0
10957,EXP,PAPER,BD,T,NL,2009,225.0
12238,EXP,PLAST,BD,T,BE,2009,544.0
12239,EXP,PLAST,BD,T,DE,2009,9615.0
12240,EXP,PLAST,BD,T,DK,2009,6.0
12241,EXP,PLAST,BD,T,EU27_2020,2009,10757.0
12242,EXP,PLAST,BD,T,FR,2009,421.0
12243,EXP,PLAST,BD,T,IT,2009,170.0
13594,EXP,PLAST_RUB,BD,T,BE,2009,544.0
13595,EXP,PLAST_RUB,BD,T,DE,2009,9615.0
13596,EXP,PLAST_RUB,BD,T,DK,2009,6.0
13597,EXP,PLAST_RUB,BD,T,EU27_2020,2009,10757.0
13598,EXP,PLAST_RUB,BD,T,FR,2009,421.0
13599,EXP,PLAST_RUB,BD,T,IT,2009,170.0
18052,EXP,TEXT,BD,T,AT,2009,0.0
18053,EXP,TEXT,BD,T,DE,2009,0.0
18054,EXP,TEXT,BD,T,EU27_2020,2009,4.0
18055,EXP,TEXT,BD,T,HU,2009,1.0
18056,EXP,TEXT,BD,T,IE,2009,2.0
18057,EXP,TEXT,BD,T,PL,2009,0.0
18058,EXP,TEXT,BD,T,SE,2009,1.0
23186,EXP,TEXT_SYN,BD,T,AT,2009,0.0
23187,EXP,TEXT_SYN,BD,T,DE,2009,0.0
23188,EXP,TEXT_SYN,BD,T,EU27_2020,2009,4.0
23189,EXP,TEXT_SYN,BD,T,HU,2009,1.0
23190,EXP,TEXT_SYN,BD,T,IE,2009,2.0
23191,EXP,TEXT_SYN,BD,T,PL,2009,0.0
23192,EXP,TEXT_SYN,BD,T,SE,2009,1.0
26798,EXP,TOTAL,BD,T,AT,2009,0.0
26799,EXP,TOTAL,BD,T,BE,2009,17567.0
26800,EXP,TOTAL,BD,T,DE,2009,24670.0
26801,EXP,TOTAL,BD,T,DK,2009,6.0
26802,EXP,TOTAL,BD,T,EL,2009,2575.0
26803,EXP,TOTAL,BD,T,EU27_2020,2009,74909.0
26804,EXP,TOTAL,BD,T,FR,2009,887.0
26805,EXP,TOTAL,BD,T,HU,2009,1.0
26806,EXP,TOTAL,BD,T,IE,2009,3.0
26807,EXP,TOTAL,BD,T,IT,2009,839.0
26808,EXP,TOTAL,BD,T,LV,2009,1075.0
26809,EXP,TOTAL,BD,T,NL,2009,10479.0
26810,EXP,TOTAL,BD,T,PL,2009,0.0
26811,EXP,TOTAL,BD,T,SE,2009,16808.0
31196,EXP,WD,BD,T,DE,2009,113.0
31197,EXP,WD,BD,T,EU27_2020,2009,113.0
57060,EXP,MT,BD,T,BE,2013,6090.0
57061,EXP,MT,BD,T,DE,2013,6983.0
57062,EXP,MT,BD,T,DK,2013,715.0
57063,EXP,MT,BD,T,EE,2013,5036.0
57064,EXP,MT,BD,T,EU27_2020,2013,65857.0
57065,EXP,MT,BD,T,FI,2013,1029.0
57066,EXP,MT,BD,T,FR,2013,1081.0
57067,EXP,MT,BD,T,IE,2013,1472.0
57068,EXP,MT,BD,T,LV,2013,5017.0
57069,EXP,MT,BD,T,NL,2013,12630.0
57070,EXP,MT,BD,T,PL,2013,9301.0
57071,EXP,MT,BD,T,SE,2013,16503.0
58838,EXP,MT_FER,BD,T,BE,2013,6090.0
58839,EXP,MT_FER,BD,T,DE,2013,6983.0
58840,EXP,MT_FER,BD,T,DK,2013,715.0
58841,EXP,MT_FER,BD,T,EE,2013,5036.0
58842,EXP,MT_FER,BD,T,EU27_2020,2013,65857.0
58843,EXP,MT_FER,BD,T,FI,2013,1029.0
58844,EXP,MT_FER,BD,T,FR,2013,1081.0
58845,EXP,MT_FER,BD,T,IE,2013,1472.0
58846,EXP,MT_FER,BD,T,LV,2013,5017.0
58847,EXP,MT_FER,BD,T,NL,2013,12630.0
58848,EXP,MT_FER,BD,T,PL,2013,9301.0
58849,EXP,MT_FER,BD,T,SE,2013,16503.0
64152,EXP,NSP,BD,T,EU27_2020,2013,0.0
64153,EXP,NSP,BD,T,FR,2013,0.0
67372,EXP,PAPER,BD,T,CY,2013,106.0
67373,EXP,PAPER,BD,T,EL,2013,135.0
67374,EXP,PAPER,BD,T,ES,2013,0.0
67375,EXP,PAPER,BD,T,EU27_2020,2013,692.0
67376,EXP,PAPER,BD,T,FR,2013,450.0
68786,EXP,PLAST,BD,T,DE,2013,194.0
68787,EXP,PLAST,BD,T,ES,2013,90.0
68788,EXP,PLAST,BD,T,EU27_2020,2013,984.0
68789,EXP,PLAST,BD,T,PT,2013,254.0
68790,EXP,PLAST,BD,T,SI,2013,446.0
70250,EXP,PLAST_RUB,BD,T,DE,2013,194.0
70251,EXP,PLAST_RUB,BD,T,ES,2013,90.0
70252,EXP,PLAST_RUB,BD,T,EU27_2020,2013,984.0
70253,EXP,PLAST_RUB,BD,T,PT,2013,254.0
70254,EXP,PLAST_RUB,BD,T,SI,2013,446.0
75332,EXP,TEXT,BD,T,BE,2013,2.0
75333,EXP,TEXT,BD,T,DE,2013,0.0
75334,EXP,TEXT,BD,T,ES,2013,0.0
75335,EXP,TEXT,BD,T,EU27_2020,2013,3.0
75336,EXP,TEXT,BD,T,HU,2013,0.0
75337,EXP,TEXT,BD,T,IE,2013,0.0
75338,EXP,TEXT,BD,T,IT,2013,0.0
75339,EXP,TEXT,BD,T,SE,2013,0.0
78746,EXP,TEXT_NTL,BD,T,BE,2013,1.0
78747,EXP,TEXT_NTL,BD,T,DE,2013,0.0
78748,EXP,TEXT_NTL,BD,T,ES,2013,0.0
78749,EXP,TEXT_NTL,BD,T,EU27_2020,2013,2.0
78750,EXP,TEXT_NTL,BD,T,IT,2013,0.0
78751,EXP,TEXT_NTL,BD,T,SE,2013,0.0
80492,EXP,TEXT_SYN,BD,T,BE,2013,0.0
80493,EXP,TEXT_SYN,BD,T,EU27_2020,2013,1.0
80494,EXP,TEXT_SYN,BD,T,HU,2013,0.0
80495,EXP,TEXT_SYN,BD,T,IE,2013,0.0
80496,EXP,TEXT_SYN,BD,T,SE,2013,0.0
83828,EXP,TOTAL,BD,T,BE,2013,6092.0
83829,EXP,TOTAL,BD,T,CY,2013,106.0
83830,EXP,TOTAL,BD,T,DE,2013,7177.0
83831,EXP,TOTAL,BD,T,DK,2013,715.0
83832,EXP,TOTAL,BD,T,EE,2013,5036.0
83833,EXP,TOTAL,BD,T,EL,2013,135.0
83834,EXP,TOTAL,BD,T,ES,2013,90.0
83835,EXP,TOTAL,BD,T,EU27_2020,2013,67535.0
83836,EXP,TOTAL,BD,T,FI,2013,1029.0
83837,EXP,TOTAL,BD,T,FR,2013,1531.0
83838,EXP,TOTAL,BD,T,HU,2013,0.0
83839,EXP,TOTAL,BD,T,IE,2013,1472.0
83840,EXP,TOTAL,BD,T,IT,2013,0.0
83841,EXP,TOTAL,BD,T,LV,2013,5017.0
83842,EXP,TOTAL,BD,T,NL,2013,12630.0
83843,EXP,TOTAL,BD,T,PL,2013,9301.0
83844,EXP,TOTAL,BD,T,PT,2013,254.0
83845,EXP,TOTAL,BD,T,SE,2013,16503.0
83846,EXP,TOTAL,BD,T,SI,2013,446.0
116516,EXP,MIN,BD,T,EU27_2020,2010,35.0
116517,EXP,MIN,BD,T,NL,2010,35.0
117370,EXP,MT,BD,T,BE,2010,25357.0
117371,EXP,MT,BD,T,DE,2010,4091.0
117372,EXP,MT,BD,T,EU27_2020,2010,82499.0
117373,EXP,MT,BD,T,FI,2010,4429.0
117374,EXP,MT,BD,T,IE,2010,24.0
117375,EXP,MT,BD,T,IT,2010,1300.0
117376,EXP,MT,BD,T,LV,2010,4379.0
117377,EXP,MT,BD,T,NL,2010,5065.0
117378,EXP,MT,BD,T,PL,2010,340.0
117379,EXP,MT,BD,T,RO,2010,997.0
117380,EXP,MT,BD,T,SE,2010,36516.0
119202,EXP,MT_FER,BD,T,BE,2010,25357.0
119203,EXP,MT_FER,BD,T,DE,2010,4090.0
119204,EXP,MT_FER,BD,T,EU27_2020,2010,81248.0
119205,EXP,MT_FER,BD,T,FI,2010,4429.0
119206,EXP,MT_FER,BD,T,IE,2010,24.0
119207,EXP,MT_FER,BD,T,IT,2010,1300.0
119208,EXP,MT_FER,BD,T,LV,2010,4168.0
119209,EXP,MT_FER,BD,T,NL,2010,4026.0
119210,EXP,MT_FER,BD,T,PL,2010,340.0
119211,EXP,MT_FER,BD,T,RO,2010,997.0
119212,EXP,MT_FER,BD,T,SE,2010,36516.0
120582,EXP,MT_NFER,BD,T,DE,2010,1.0
120583,EXP,MT_NFER,BD,T,EU27_2020,2010,1251.0
120584,EXP,MT_NFER,BD,T,LV,2010,212.0
120585,EXP,MT_NFER,BD,T,NL,2010,1039.0
121956,EXP,MT_NFER_CAN,BD,T,EU27_2020,2010,1250.0
121957,EXP,MT_NFER_CAN,BD,T,LV,2010,212.0
121958,EXP,MT_NFER_CAN,BD,T,NL,2010,1039.0
122944,EXP,MT_NFER_OTH,BD,T,DE,2010,1.0
122945,EXP,MT_NFER_OTH,BD,T,EU27_2020,2010,1.0
125194,EXP,ORG,BD,T,EU27_2020,2010,133.0
125195,EXP,ORG,BD,T,IT,2010,19.0
125196,EXP,ORG,BD,T,NL,2010,113.0
125986,EXP,ORG_ANI,BD,T,EU27_2020,2010,113.0
125987,EXP,ORG_ANI,BD,T,NL,2010,113.0
126456,EXP,ORG_VEG,BD,T,EU27_2020,2010,19.0
126457,EXP,ORG_VEG,BD,T,IT,2010,19.0
127144,EXP,PAPER,BD,T,EL,2010,1765.0
127145,EXP,PAPER,BD,T,EU27_2020,2010,1894.0
127146,EXP,PAPER,BD,T,NL,2010,129.0
128458,EXP,PLAST,BD,T,BE,2010,1253.0
128459,EXP,PLAST,BD,T,DE,2010,9218.0
128460,EXP,PLAST,BD,T,EL,2010,69.0
128461,EXP,PLAST,BD,T,EU27_2020,2010,11008.0
128462,EXP,PLAST,BD,T,FR,2010,336.0
128463,EXP,PLAST,BD,T,IT,2010,132.0
129828,EXP,PLAST_RUB,BD,T,BE,2010,1253.0
129829,EXP,PLAST_RUB,BD,T,DE,2010,9231.0
129830,EXP,PLAST_RUB,BD,T,EL,2010,69.0
129831,EXP,PLAST_RUB,BD,T,EU27_2020,2010,11021.0
129832,EXP,PLAST_RUB,BD,T,FR,2010,336.0
129833,EXP,PLAST_RUB,BD,T,IT,2010,132.0
132272,EXP,RUB,BD,T,DE,2010,13.0
132273,EXP,RUB,BD,T,EU27_2020,2010,13.0
134374,EXP,TEXT,BD,T,EU27_2020,2010,23.0
134375,EXP,TEXT,BD,T,HU,2010,0.0
134376,EXP,TEXT,BD,T,IE,2010,0.0
134377,EXP,TEXT,BD,T,IT,2010,20.0
134378,EXP,TEXT,BD,T,SE,2010,2.0
137818,EXP,TEXT_NTL,BD,T,EU27_2020,2010,20.0
137819,EXP,TEXT_NTL,BD,T,IT,2010,20.0
139420,EXP,TEXT_SYN,BD,T,EU27_2020,2010,3.0
