,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
50,EXP,GLAS,CN,T,DE,2009,0.0
51,EXP,GLAS,CN,T,EU27_2020,2009,127.0
52,EXP,GLAS,CN,T,IT,2009,126.0
53,EXP,GLAS,CN,T,NL,2009,1.0
500,EXP,MIN,CN,T,BE,2009,30244.0
501,EXP,MIN,CN,T,DE,2009,5.0
502,EXP,MIN,CN,T,ES,2009,7.0
503,EXP,MIN,CN,T,EU27_2020,2009,42333.0
504,EXP,MIN,CN,T,FI,2009,20.0
505,EXP,MIN,CN,T,FR,2009,1842.0
506,EXP,MIN,CN,T,IT,2009,9005.0
507,EXP,MIN,CN,T,NL,2009,1120.0
508,EXP,MIN,CN,T,SE,2009,90.0
1424,EXP,MT,CN,T,AT,2009,7408.0
1425,EXP,MT,CN,T,BE,2009,236776.0
1426,EXP,MT,CN,T,BG,2009,8260.0
1427,EXP,MT,CN,T,CY,2009,2001.0
1428,EXP,MT,CN,T,CZ,2009,15923.0
1429,EXP,MT,CN,T,DE,2009,429891.0
1430,EXP,MT,CN,T,DK,2009,47491.0
1431,EXP,MT,CN,T,EE,2009,7319.0
1432,EXP,MT,CN,T,EL,2009,21241.0
1433,EXP,MT,CN,T,ES,2009,94139.0
1434,EXP,MT,CN,T,EU27_2020,2009,2219067.0
1435,EXP,MT,CN,T,FI,2009,35122.0
1436,EXP,MT,CN,T,FR,2009,150041.0
1437,EXP,MT,CN,T,HR,2009,36.0
1438,EXP,MT,CN,T,HU,2009,4017.0
1439,EXP,MT,CN,T,IE,2009,4079.0
1440,EXP,MT,CN,T,IT,2009,186227.0
1441,EXP,MT,CN,T,LT,2009,6654.0
1442,EXP,MT,CN,T,LV,2009,4334.0
1443,EXP,MT,CN,T,MT,2009,69.0
1444,EXP,MT,CN,T,NL,2009,835774.0
1445,EXP,MT,CN,T,PL,2009,17499.0
1446,EXP,MT,CN,T,PT,2009,10043.0
1447,EXP,MT,CN,T,RO,2009,17787.0
1448,EXP,MT,CN,T,SE,2009,75382.0
1449,EXP,MT,CN,T,SI,2009,702.0
1450,EXP,MT,CN,T,SK,2009,853.0
3192,EXP,MT_FER,CN,T,AT,2009,2438.0
3193,EXP,MT_FER,CN,T,BE,2009,109985.0
3194,EXP,MT_FER,CN,T,BG,2009,269.0
3195,EXP,MT_FER,CN,T,CY,2009,268.0
3196,EXP,MT_FER,CN,T,CZ,2009,2264.0
3197,EXP,MT_FER,CN,T,DE,2009,122737.0
3198,EXP,MT_FER,CN,T,DK,2009,16549.0
3199,EXP,MT_FER,CN,T,EE,2009,3680.0
3200,EXP,MT_FER,CN,T,EL,2009,6653.0
3201,EXP,MT_FER,CN,T,ES,2009,48536.0
3202,EXP,MT_FER,CN,T,EU27_2020,2009,1057619.0
3203,EXP,MT_FER,CN,T,FI,2009,11658.0
3204,EXP,MT_FER,CN,T,FR,2009,51196.0
3205,EXP,MT_FER,CN,T,HR,2009,36.0
3206,EXP,MT_FER,CN,T,HU,2009,853.0
3207,EXP,MT_FER,CN,T,IE,2009,1728.0
3208,EXP,MT_FER,CN,T,IT,2009,77911.0
3209,EXP,MT_FER,CN,T,LT,2009,4348.0
3210,EXP,MT_FER,CN,T,LV,2009,1429.0
3211,EXP,MT_FER,CN,T,NL,2009,542450.0
3212,EXP,MT_FER,CN,T,PL,2009,4907.0
3213,EXP,MT_FER,CN,T,PT,2009,1567.0
3214,EXP,MT_FER,CN,T,RO,2009,2478.0
3215,EXP,MT_FER,CN,T,SE,2009,43678.0
4544,EXP,MT_NFER,CN,T,AT,2009,4970.0
4545,EXP,MT_NFER,CN,T,BE,2009,126792.0
4546,EXP,MT_NFER,CN,T,BG,2009,7991.0
4547,EXP,MT_NFER,CN,T,CY,2009,1734.0
4548,EXP,MT_NFER,CN,T,CZ,2009,13659.0
4549,EXP,MT_NFER,CN,T,DE,2009,307154.0
4550,EXP,MT_NFER,CN,T,DK,2009,30942.0
4551,EXP,MT_NFER,CN,T,EE,2009,3638.0
4552,EXP,MT_NFER,CN,T,EL,2009,14588.0
4553,EXP,MT_NFER,CN,T,ES,2009,45603.0
4554,EXP,MT_NFER,CN,T,EU27_2020,2009,1161448.0
4555,EXP,MT_NFER,CN,T,FI,2009,23464.0
4556,EXP,MT_NFER,CN,T,FR,2009,98845.0
4557,EXP,MT_NFER,CN,T,HU,2009,3164.0
4558,EXP,MT_NFER,CN,T,IE,2009,2351.0
4559,EXP,MT_NFER,CN,T,IT,2009,108316.0
4560,EXP,MT_NFER,CN,T,LT,2009,2306.0
4561,EXP,MT_NFER,CN,T,LV,2009,2905.0
4562,EXP,MT_NFER,CN,T,MT,2009,69.0
4563,EXP,MT_NFER,CN,T,NL,2009,293324.0
4564,EXP,MT_NFER,CN,T,PL,2009,12592.0
4565,EXP,MT_NFER,CN,T,PT,2009,8476.0
4566,EXP,MT_NFER,CN,T,RO,2009,15309.0
4567,EXP,MT_NFER,CN,T,SE,2009,31703.0
4568,EXP,MT_NFER,CN,T,SI,2009,702.0
4569,EXP,MT_NFER,CN,T,SK,2009,853.0
5858,EXP,MT_NFER_CAN,CN,T,AT,2009,4210.0
5859,EXP,MT_NFER_CAN,CN,T,BE,2009,115506.0
5860,EXP,MT_NFER_CAN,CN,T,BG,2009,7274.0
5861,EXP,MT_NFER_CAN,CN,T,CY,2009,1734.0
5862,EXP,MT_NFER_CAN,CN,T,CZ,2009,13492.0
5863,EXP,MT_NFER_CAN,CN,T,DE,2009,279978.0
5864,EXP,MT_NFER_CAN,CN,T,DK,2009,30916.0
5865,EXP,MT_NFER_CAN,CN,T,EE,2009,3638.0
5866,EXP,MT_NFER_CAN,CN,T,EL,2009,14519.0
5867,EXP,MT_NFER_CAN,CN,T,ES,2009,42578.0
5868,EXP,MT_NFER_CAN,CN,T,EU27_2020,2009,1075764.0
5869,EXP,MT_NFER_CAN,CN,T,FI,2009,23087.0
5870,EXP,MT_NFER_CAN,CN,T,FR,2009,82330.0
5871,EXP,MT_NFER_CAN,CN,T,HU,2009,2953.0
5872,EXP,MT_NFER_CAN,CN,T,IE,2009,2350.0
5873,EXP,MT_NFER_CAN,CN,T,IT,2009,99531.0
5874,EXP,MT_NFER_CAN,CN,T,LT,2009,2252.0
5875,EXP,MT_NFER_CAN,CN,T,LV,2009,2854.0
5876,EXP,MT_NFER_CAN,CN,T,MT,2009,69.0
5877,EXP,MT_NFER_CAN,CN,T,NL,2009,278165.0
5878,EXP,MT_NFER_CAN,CN,T,PL,2009,11556.0
5879,EXP,MT_NFER_CAN,CN,T,PT,2009,8476.0
5880,EXP,MT_NFER_CAN,CN,T,RO,2009,15203.0
5881,EXP,MT_NFER_CAN,CN,T,SE,2009,31539.0
5882,EXP,MT_NFER_CAN,CN,T,SI,2009,702.0
5883,EXP,MT_NFER_CAN,CN,T,SK,2009,853.0
6898,EXP,MT_NFER_OTH,CN,T,AT,2009,760.0
6899,EXP,MT_NFER_OTH,CN,T,BE,2009,11286.0
6900,EXP,MT_NFER_OTH,CN,T,BG,2009,508.0
6901,EXP,MT_NFER_OTH,CN,T,CZ,2009,167.0
6902,EXP,MT_NFER_OTH,CN,T,DE,2009,27150.0
6903,EXP,MT_NFER_OTH,CN,T,DK,2009,26.0
6904,EXP,MT_NFER_OTH,CN,T,EL,2009,69.0
6905,EXP,MT_NFER_OTH,CN,T,ES,2009,2956.0
