,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
536,EXP,MIN,EG,T,BE,2009,594.0
537,EXP,MIN,EG,T,DE,2009,0.0
538,EXP,MIN,EG,T,EL,2009,1.0
539,EXP,MIN,EG,T,EU27_2020,2009,2072.0
540,EXP,MIN,EG,T,NL,2009,1477.0
1534,EXP,MT,EG,T,AT,2009,10592.0
1535,EXP,MT,EG,T,BE,2009,220390.0
1536,EXP,MT,EG,T,CY,2009,141.0
1537,EXP,MT,EG,T,DE,2009,51218.0
1538,EXP,MT,EG,T,EL,2009,18.0
1539,EXP,MT,EG,T,ES,2009,460.0
1540,EXP,MT,EG,T,EU27_2020,2009,343628.0
1541,EXP,MT,EG,T,FR,2009,2.0
1542,EXP,MT,EG,T,HR,2009,5.0
1543,EXP,MT,EG,T,IT,2009,274.0
1544,EXP,MT,EG,T,LV,2009,23696.0
1545,EXP,MT,EG,T,NL,2009,67.0
1546,EXP,MT,EG,T,PL,2009,335.0
1547,EXP,MT,EG,T,RO,2009,36349.0
1548,EXP,MT,EG,T,SE,2009,82.0
3264,EXP,MT_FER,EG,T,AT,2009,10592.0
3265,EXP,MT_FER,EG,T,BE,2009,220390.0
3266,EXP,MT_FER,EG,T,CY,2009,141.0
3267,EXP,MT_FER,EG,T,DE,2009,51216.0
3268,EXP,MT_FER,EG,T,ES,2009,460.0
3269,EXP,MT_FER,EG,T,EU27_2020,2009,343277.0
3270,EXP,MT_FER,EG,T,FR,2009,2.0
3271,EXP,MT_FER,EG,T,HR,2009,5.0
3272,EXP,MT_FER,EG,T,IT,2009,90.0
3273,EXP,MT_FER,EG,T,LV,2009,23696.0
3274,EXP,MT_FER,EG,T,PL,2009,335.0
3275,EXP,MT_FER,EG,T,RO,2009,36349.0
3276,EXP,MT_FER,EG,T,SE,2009,2.0
4634,EXP,MT_NFER,EG,T,DE,2009,2.0
4635,EXP,MT_NFER,EG,T,EL,2009,18.0
4636,EXP,MT_NFER,EG,T,EU27_2020,2009,351.0
4637,EXP,MT_NFER,EG,T,IT,2009,184.0
4638,EXP,MT_NFER,EG,T,NL,2009,67.0
4639,EXP,MT_NFER,EG,T,SE,2009,80.0
5926,EXP,MT_NFER_CAN,EG,T,DE,2009,2.0
5927,EXP,MT_NFER_CAN,EG,T,EU27_2020,2009,305.0
5928,EXP,MT_NFER_CAN,EG,T,IT,2009,167.0
5929,EXP,MT_NFER_CAN,EG,T,NL,2009,56.0
5930,EXP,MT_NFER_CAN,EG,T,SE,2009,80.0
6968,EXP,MT_NFER_OTH,EG,T,DE,2009,0.0
6969,EXP,MT_NFER_OTH,EG,T,EL,2009,18.0
6970,EXP,MT_NFER_OTH,EG,T,EU27_2020,2009,46.0
6971,EXP,MT_NFER_OTH,EG,T,IT,2009,18.0
6972,EXP,MT_NFER_OTH,EG,T,NL,2009,10.0
8364,EXP,NSP,EG,T,AT,2009,0.0
8365,EXP,NSP,EG,T,BE,2009,1.0
8366,EXP,NSP,EG,T,ES,2009,60.0
8367,EXP,NSP,EG,T,EU27_2020,2009,62.0
8368,EXP,NSP,EG,T,FR,2009,0.0
8369,EXP,NSP,EG,T,NL,2009,0.0
9138,EXP,ORG,EG,T,BE,2009,30.0
9139,EXP,ORG,EG,T,EL,2009,77.0
9140,EXP,ORG,EG,T,EU27_2020,2009,910.0
9141,EXP,ORG,EG,T,IT,2009,804.0
9874,EXP,ORG_ANI,EG,T,EU27_2020,2009,705.0
9875,EXP,ORG_ANI,EG,T,IT,2009,705.0
10358,EXP,ORG_VEG,EG,T,BE,2009,30.0
10359,EXP,ORG_VEG,EG,T,EL,2009,77.0
10360,EXP,ORG_VEG,EG,T,EU27_2020,2009,205.0
10361,EXP,ORG_VEG,EG,T,IT,2009,99.0
11176,EXP,PAPER,EG,T,BE,2009,51.0
11177,EXP,PAPER,EG,T,CY,2009,578.0
11178,EXP,PAPER,EG,T,DE,2009,2899.0
11179,EXP,PAPER,EG,T,ES,2009,0.0
11180,EXP,PAPER,EG,T,EU27_2020,2009,3801.0
11181,EXP,PAPER,EG,T,FR,2009,44.0
11182,EXP,PAPER,EG,T,IT,2009,178.0
11183,EXP,PAPER,EG,T,NL,2009,50.0
12422,EXP,PLAST,EG,T,DE,2009,127.0
12423,EXP,PLAST,EG,T,EU27_2020,2009,201.0
12424,EXP,PLAST,EG,T,FR,2009,69.0
12425,EXP,PLAST,EG,T,IT,2009,5.0
12426,EXP,PLAST,EG,T,PL,2009,0.0
14042,EXP,PLAST_RUB,EG,T,AT,2009,0.0
14043,EXP,PLAST_RUB,EG,T,DE,2009,137.0
14044,EXP,PLAST_RUB,EG,T,EU27_2020,2009,362.0
14045,EXP,PLAST_RUB,EG,T,FR,2009,217.0
14046,EXP,PLAST_RUB,EG,T,IT,2009,6.0
14047,EXP,PLAST_RUB,EG,T,NL,2009,0.0
14048,EXP,PLAST_RUB,EG,T,PL,2009,1.0
16366,EXP,RUB,EG,T,AT,2009,0.0
16367,EXP,RUB,EG,T,DE,2009,10.0
16368,EXP,RUB,EG,T,EU27_2020,2009,161.0
16369,EXP,RUB,EG,T,FR,2009,149.0
16370,EXP,RUB,EG,T,IT,2009,1.0
16371,EXP,RUB,EG,T,NL,2009,0.0
16372,EXP,RUB,EG,T,PL,2009,1.0
18752,EXP,TEXT,EG,T,AT,2009,2.0
18753,EXP,TEXT,EG,T,BE,2009,1771.0
18754,EXP,TEXT,EG,T,BG,2009,152.0
18755,EXP,TEXT,EG,T,CY,2009,0.0
18756,EXP,TEXT,EG,T,CZ,2009,0.0
18757,EXP,TEXT,EG,T,DE,2009,287.0
18758,EXP,TEXT,EG,T,EE,2009,1.0
18759,EXP,TEXT,EG,T,EL,2009,324.0
18760,EXP,TEXT,EG,T,ES,2009,43.0
18761,EXP,TEXT,EG,T,EU27_2020,2009,3419.0
18762,EXP,TEXT,EG,T,FI,2009,0.0
18763,EXP,TEXT,EG,T,HR,2009,0.0
18764,EXP,TEXT,EG,T,HU,2009,1.0
18765,EXP,TEXT,EG,T,IE,2009,38.0
18766,EXP,TEXT,EG,T,IT,2009,643.0
18767,EXP,TEXT,EG,T,MT,2009,0.0
18768,EXP,TEXT,EG,T,NL,2009,89.0
18769,EXP,TEXT,EG,T,PL,2009,46.0
18770,EXP,TEXT,EG,T,RO,2009,8.0
18771,EXP,TEXT,EG,T,SE,2009,15.0
18772,EXP,TEXT,EG,T,SI,2009,0.0
18773,EXP,TEXT,EG,T,SK,2009,0.0
21864,EXP,TEXT_NTL,EG,T,BE,2009,45.0
21865,EXP,TEXT_NTL,EG,T,CZ,2009,0.0
21866,EXP,TEXT_NTL,EG,T,DE,2009,0.0
21867,EXP,TEXT_NTL,EG,T,EE,2009,0.0
21868,EXP,TEXT_NTL,EG,T,EL,2009,323.0
21869,EXP,TEXT_NTL,EG,T,EU27_2020,2009,444.0
21870,EXP,TEXT_NTL,EG,T,IT,2009,75.0
21871,EXP,TEXT_NTL,EG,T,NL,2009,1.0
23850,EXP,TEXT_SYN,EG,T,AT,2009,2.0
23851,EXP,TEXT_SYN,EG,T,BE,2009,1726.0
23852,EXP,TEXT_SYN,EG,T,BG,2009,152.0
23853,EXP,TEXT_SYN,EG,T,CY,2009,0.0
23854,EXP,TEXT_SYN,EG,T,DE,2009,287.0
23855,EXP,TEXT_SYN,EG,T,EE,2009,1.0
23856,EXP,TEXT_SYN,EG,T,EL,2009,1.0
23857,EXP,TEXT_SYN,EG,T,ES,2009,43.0
23858,EXP,TEXT_SYN,EG,T,EU27_2020,2009,2975.0
23859,EXP,TEXT_SYN,EG,T,FI,2009,0.0
23860,EXP,TEXT_SYN,EG,T,HR,2009,0.0
23861,EXP,TEXT_SYN,EG,T,HU,2009,1.0
23862,EXP,TEXT_SYN,EG,T,IE,2009,38.0
23863,EXP,TEXT_SYN,EG,T,IT,2009,567.0
23864,EXP,TEXT_SYN,EG,T,MT,2009,0.0
23865,EXP,TEXT_SYN,EG,T,NL,2009,89.0
23866,EXP,TEXT_SYN,EG,T,PL,2009,46.0
23867,EXP,TEXT_SYN,EG,T,RO,2009,8.0
23868,EXP,TEXT_SYN,EG,T,SE,2009,15.0
23869,EXP,TEXT_SYN,EG,T,SI,2009,0.0
23870,EXP,TEXT_SYN,EG,T,SK,2009,0.0
27650,EXP,TOTAL,EG,T,AT,2009,10594.0
27651,EXP,TOTAL,EG,T,BE,2009,222837.0
27652,EXP,TOTAL,EG,T,BG,2009,152.0
27653,EXP,TOTAL,EG,T,CY,2009,719.0
27654,EXP,TOTAL,EG,T,CZ,2009,0.0
27655,EXP,TOTAL,EG,T,DE,2009,54552.0
27656,EXP,TOTAL,EG,T,EE,2009,1.0
27657,EXP,TOTAL,EG,T,EL,2009,420.0
27658,EXP,TOTAL,EG,T,ES,2009,564.0
27659,EXP,TOTAL,EG,T,EU27_2020,2009,354320.0
27660,EXP,TOTAL,EG,T,FI,2009,0.0
27661,EXP,TOTAL,EG,T,FR,2009,263.0
27662,EXP,TOTAL,EG,T,HR,2009,5.0
27663,EXP,TOTAL,EG,T,HU,2009,1.0
27664,EXP,TOTAL,EG,T,IE,2009,38.0
27665,EXP,TOTAL,EG,T,IT,2009,1961.0
27666,EXP,TOTAL,EG,T,LV,2009,23696.0
27667,EXP,TOTAL,EG,T,MT,2009,0.0
27668,EXP,TOTAL,EG,T,NL,2009,1683.0
27669,EXP,TOTAL,EG,T,PL,2009,382.0
27670,EXP,TOTAL,EG,T,RO,2009,36357.0
27671,EXP,TOTAL,EG,T,SE,2009,97.0
27672,EXP,TOTAL,EG,T,SI,2009,0.0
27673,EXP,TOTAL,EG,T,SK,2009,0.0
31324,EXP,WD,EG,T,DE,2009,11.0
31325,EXP,WD,EG,T,EU27_2020,2009,67.0
31326,EXP,WD,EG,T,IT,2009,56.0
56358,EXP,MIN,EG,T,BE,2013,27.0
56359,EXP,MIN,EG,T,DE,2013,16.0
56360,EXP,MIN,EG,T,EU27_2020,2013,2844.0
