,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
58,EXP,GLAS,EL,T,BE,2009,14.0
59,EXP,GLAS,EL,T,DE,2009,2.0
60,EXP,GLAS,EL,T,EU27_2020,2009,16.0
546,EXP,MIN,EL,T,BG,2009,95.0
547,EXP,MIN,EL,T,CY,2009,9.0
548,EXP,MIN,EL,T,DE,2009,71.0
549,EXP,MIN,EL,T,EU27_2020,2009,115803.0
550,EXP,MIN,EL,T,IT,2009,115629.0
551,EXP,MIN,EL,T,NL,2009,0.0
1564,EXP,MT,EL,T,AT,2009,1110.0
1565,EXP,MT,EL,T,BE,2009,57737.0
1566,EXP,MT,EL,T,BG,2009,130767.0
1567,EXP,MT,EL,T,CY,2009,78112.0
1568,EXP,MT,EL,T,CZ,2009,78.0
1569,EXP,MT,EL,T,DE,2009,1745.0
1570,EXP,MT,EL,T,DK,2009,7.0
1571,EXP,MT,EL,T,EU27_2020,2009,565897.0
1572,EXP,MT,EL,T,FI,2009,2670.0
1573,EXP,MT,EL,T,FR,2009,21848.0
1574,EXP,MT,EL,T,HR,2009,22908.0
1575,EXP,MT,EL,T,HU,2009,22.0
1576,EXP,MT,EL,T,IT,2009,4163.0
1577,EXP,MT,EL,T,NL,2009,1099.0
1578,EXP,MT,EL,T,PL,2009,4.0
1579,EXP,MT,EL,T,RO,2009,243583.0
1580,EXP,MT,EL,T,SE,2009,42.0
3290,EXP,MT_FER,EL,T,BE,2009,57711.0
3291,EXP,MT_FER,EL,T,BG,2009,125494.0
3292,EXP,MT_FER,EL,T,CY,2009,75012.0
3293,EXP,MT_FER,EL,T,CZ,2009,78.0
3294,EXP,MT_FER,EL,T,DE,2009,1682.0
3295,EXP,MT_FER,EL,T,EU27_2020,2009,549517.0
3296,EXP,MT_FER,EL,T,FI,2009,2670.0
3297,EXP,MT_FER,EL,T,FR,2009,20795.0
3298,EXP,MT_FER,EL,T,HR,2009,22903.0
3299,EXP,MT_FER,EL,T,IT,2009,933.0
3300,EXP,MT_FER,EL,T,RO,2009,242196.0
3301,EXP,MT_FER,EL,T,SE,2009,42.0
4646,EXP,MT_NFER,EL,T,AT,2009,1110.0
4647,EXP,MT_NFER,EL,T,BE,2009,26.0
4648,EXP,MT_NFER,EL,T,BG,2009,5273.0
4649,EXP,MT_NFER,EL,T,CY,2009,3100.0
4650,EXP,MT_NFER,EL,T,DE,2009,63.0
4651,EXP,MT_NFER,EL,T,DK,2009,7.0
4652,EXP,MT_NFER,EL,T,EU27_2020,2009,16379.0
4653,EXP,MT_NFER,EL,T,FR,2009,1053.0
4654,EXP,MT_NFER,EL,T,HR,2009,5.0
4655,EXP,MT_NFER,EL,T,HU,2009,22.0
4656,EXP,MT_NFER,EL,T,IT,2009,3230.0
4657,EXP,MT_NFER,EL,T,NL,2009,1099.0
4658,EXP,MT_NFER,EL,T,PL,2009,4.0
4659,EXP,MT_NFER,EL,T,RO,2009,1387.0
5936,EXP,MT_NFER_CAN,EL,T,AT,2009,1110.0
5937,EXP,MT_NFER_CAN,EL,T,BG,2009,5140.0
5938,EXP,MT_NFER_CAN,EL,T,CY,2009,1319.0
5939,EXP,MT_NFER_CAN,EL,T,DE,2009,56.0
5940,EXP,MT_NFER_CAN,EL,T,EU27_2020,2009,13271.0
5941,EXP,MT_NFER_CAN,EL,T,FR,2009,1053.0
5942,EXP,MT_NFER_CAN,EL,T,HU,2009,22.0
5943,EXP,MT_NFER_CAN,EL,T,IT,2009,3173.0
5944,EXP,MT_NFER_CAN,EL,T,NL,2009,1082.0
5945,EXP,MT_NFER_CAN,EL,T,PL,2009,4.0
5946,EXP,MT_NFER_CAN,EL,T,RO,2009,312.0
6978,EXP,MT_NFER_OTH,EL,T,BE,2009,26.0
6979,EXP,MT_NFER_OTH,EL,T,BG,2009,133.0
6980,EXP,MT_NFER_OTH,EL,T,CY,2009,1781.0
6981,EXP,MT_NFER_OTH,EL,T,DE,2009,7.0
6982,EXP,MT_NFER_OTH,EL,T,DK,2009,7.0
6983,EXP,MT_NFER_OTH,EL,T,EU27_2020,2009,3108.0
6984,EXP,MT_NFER_OTH,EL,T,FR,2009,0.0
6985,EXP,MT_NFER_OTH,EL,T,HR,2009,5.0
6986,EXP,MT_NFER_OTH,EL,T,HU,2009,0.0
6987,EXP,MT_NFER_OTH,EL,T,IT,2009,57.0
6988,EXP,MT_NFER_OTH,EL,T,NL,2009,17.0
6989,EXP,MT_NFER_OTH,EL,T,RO,2009,1075.0
7848,EXP,MT_NFER_PRE,EL,T,DE,2009,0.0
7849,EXP,MT_NFER_PRE,EL,T,EU27_2020,2009,0.0
8376,EXP,NSP,EL,T,BE,2009,1.0
8377,EXP,NSP,EL,T,DE,2009,3.0
8378,EXP,NSP,EL,T,ES,2009,116.0
8379,EXP,NSP,EL,T,EU27_2020,2009,1213.0
8380,EXP,NSP,EL,T,FR,2009,157.0
8381,EXP,NSP,EL,T,IT,2009,937.0
8382,EXP,NSP,EL,T,NL,2009,0.0
9146,EXP,ORG,EL,T,AT,2009,0.0
9147,EXP,ORG,EL,T,BE,2009,0.0
9148,EXP,ORG,EL,T,BG,2009,24.0
9149,EXP,ORG,EL,T,CZ,2009,0.0
9150,EXP,ORG,EL,T,DE,2009,143.0
9151,EXP,ORG,EL,T,DK,2009,1360.0
9152,EXP,ORG,EL,T,ES,2009,41.0
9153,EXP,ORG,EL,T,EU27_2020,2009,2200.0
9154,EXP,ORG,EL,T,FR,2009,3.0
9155,EXP,ORG,EL,T,IE,2009,11.0
9156,EXP,ORG,EL,T,IT,2009,34.0
9157,EXP,ORG,EL,T,NL,2009,583.0
9158,EXP,ORG,EL,T,RO,2009,1.0
9159,EXP,ORG,EL,T,SE,2009,0.0
9878,EXP,ORG_ANI,EL,T,AT,2009,0.0
9879,EXP,ORG_ANI,EL,T,BE,2009,0.0
9880,EXP,ORG_ANI,EL,T,CZ,2009,0.0
9881,EXP,ORG_ANI,EL,T,DE,2009,143.0
9882,EXP,ORG_ANI,EL,T,DK,2009,1360.0
9883,EXP,ORG_ANI,EL,T,EU27_2020,2009,2131.0
9884,EXP,ORG_ANI,EL,T,IE,2009,11.0
9885,EXP,ORG_ANI,EL,T,IT,2009,34.0
9886,EXP,ORG_ANI,EL,T,NL,2009,583.0
9887,EXP,ORG_ANI,EL,T,SE,2009,0.0
10366,EXP,ORG_VEG,EL,T,BE,2009,0.0
10367,EXP,ORG_VEG,EL,T,BG,2009,24.0
10368,EXP,ORG_VEG,EL,T,DE,2009,0.0
10369,EXP,ORG_VEG,EL,T,ES,2009,41.0
10370,EXP,ORG_VEG,EL,T,EU27_2020,2009,69.0
10371,EXP,ORG_VEG,EL,T,FR,2009,3.0
10372,EXP,ORG_VEG,EL,T,IT,2009,0.0
10373,EXP,ORG_VEG,EL,T,RO,2009,1.0
11192,EXP,PAPER,EL,T,BE,2009,512.0
11193,EXP,PAPER,EL,T,BG,2009,48.0
11194,EXP,PAPER,EL,T,DE,2009,1181.0
11195,EXP,PAPER,EL,T,DK,2009,0.0
11196,EXP,PAPER,EL,T,ES,2009,2.0
11197,EXP,PAPER,EL,T,EU27_2020,2009,2367.0
11198,EXP,PAPER,EL,T,FR,2009,146.0
11199,EXP,PAPER,EL,T,IT,2009,64.0
11200,EXP,PAPER,EL,T,NL,2009,0.0
11201,EXP,PAPER,EL,T,RO,2009,249.0
11202,EXP,PAPER,EL,T,SE,2009,143.0
11203,EXP,PAPER,EL,T,SI,2009,21.0
12432,EXP,PLAST,EL,T,BE,2009,97.0
12433,EXP,PLAST,EL,T,BG,2009,915.0
12434,EXP,PLAST,EL,T,CY,2009,128.0
12435,EXP,PLAST,EL,T,CZ,2009,2.0
12436,EXP,PLAST,EL,T,DE,2009,2062.0
12437,EXP,PLAST,EL,T,ES,2009,24.0
12438,EXP,PLAST,EL,T,EU27_2020,2009,4206.0
12439,EXP,PLAST,EL,T,FR,2009,149.0
12440,EXP,PLAST,EL,T,IT,2009,797.0
12441,EXP,PLAST,EL,T,NL,2009,0.0
12442,EXP,PLAST,EL,T,PT,2009,7.0
12443,EXP,PLAST,EL,T,SI,2009,26.0
14056,EXP,PLAST_RUB,EL,T,BE,2009,99.0
14057,EXP,PLAST_RUB,EL,T,BG,2009,915.0
14058,EXP,PLAST_RUB,EL,T,CY,2009,128.0
14059,EXP,PLAST_RUB,EL,T,CZ,2009,2.0
14060,EXP,PLAST_RUB,EL,T,DE,2009,2094.0
14061,EXP,PLAST_RUB,EL,T,ES,2009,24.0
14062,EXP,PLAST_RUB,EL,T,EU27_2020,2009,4462.0
14063,EXP,PLAST_RUB,EL,T,FR,2009,149.0
14064,EXP,PLAST_RUB,EL,T,IT,2009,1018.0
14065,EXP,PLAST_RUB,EL,T,NL,2009,1.0
14066,EXP,PLAST_RUB,EL,T,PL,2009,0.0
14067,EXP,PLAST_RUB,EL,T,PT,2009,7.0
14068,EXP,PLAST_RUB,EL,T,SI,2009,26.0
16380,EXP,RUB,EL,T,BE,2009,2.0
16381,EXP,RUB,EL,T,DE,2009,33.0
16382,EXP,RUB,EL,T,EU27_2020,2009,257.0
16383,EXP,RUB,EL,T,FR,2009,0.0
16384,EXP,RUB,EL,T,IT,2009,221.0
16385,EXP,RUB,EL,T,NL,2009,1.0
16386,EXP,RUB,EL,T,PL,2009,0.0
18796,EXP,TEXT,EL,T,AT,2009,1.0
18797,EXP,TEXT,EL,T,BE,2009,687.0
18798,EXP,TEXT,EL,T,BG,2009,439.0
18799,EXP,TEXT,EL,T,DE,2009,177.0
18800,EXP,TEXT,EL,T,DK,2009,1.0
18801,EXP,TEXT,EL,T,ES,2009,21.0
18802,EXP,TEXT,EL,T,EU27_2020,2009,1875.0
18803,EXP,TEXT,EL,T,FR,2009,200.0
18804,EXP,TEXT,EL,T,IT,2009,297.0
18805,EXP,TEXT,EL,T,LV,2009,0.0
18806,EXP,TEXT,EL,T,NL,2009,52.0
18807,EXP,TEXT,EL,T,PT,2009,0.0
18808,EXP,TEXT,EL,T,SK,2009,0.0
21880,EXP,TEXT_NTL,EL,T,AT,2009,1.0
21881,EXP,TEXT_NTL,EL,T,BE,2009,687.0
21882,EXP,TEXT_NTL,EL,T,BG,2009,435.0
21883,EXP,TEXT_NTL,EL,T,DE,2009,106.0
21884,EXP,TEXT_NTL,EL,T,DK,2009,0.0
21885,EXP,TEXT_NTL,EL,T,ES,2009,21.0
21886,EXP,TEXT_NTL,EL,T,EU27_2020,2009,1545.0
21887,EXP,TEXT_NTL,EL,T,FR,2009,197.0
21888,EXP,TEXT_NTL,EL,T,IT,2009,99.0
23892,EXP,TEXT_SYN,EL,T,AT,2009,0.0
23893,EXP,TEXT_SYN,EL,T,BE,2009,0.0
23894,EXP,TEXT_SYN,EL,T,BG,2009,3.0
23895,EXP,TEXT_SYN,EL,T,DE,2009,71.0
23896,EXP,TEXT_SYN,EL,T,DK,2009,1.0
23897,EXP,TEXT_SYN,EL,T,ES,2009,0.0
23898,EXP,TEXT_SYN,EL,T,EU27_2020,2009,330.0
23899,EXP,TEXT_SYN,EL,T,FR,2009,4.0
23900,EXP,TEXT_SYN,EL,T,IT,2009,199.0
23901,EXP,TEXT_SYN,EL,T,LV,2009,0.0
23902,EXP,TEXT_SYN,EL,T,NL,2009,52.0
23903,EXP,TEXT_SYN,EL,T,PT,2009,0.0
23904,EXP,TEXT_SYN,EL,T,SK,2009,0.0
27698,EXP,TOTAL,EL,T,AT,2009,1179.0
27699,EXP,TOTAL,EL,T,BE,2009,59112.0
27700,EXP,TOTAL,EL,T,BG,2009,136460.0
27701,EXP,TOTAL,EL,T,CY,2009,78249.0
27702,EXP,TOTAL,EL,T,CZ,2009,90.0
27703,EXP,TOTAL,EL,T,DE,2009,6278.0
27704,EXP,TOTAL,EL,T,DK,2009,1458.0
27705,EXP,TOTAL,EL,T,ES,2009,204.0
27706,EXP,TOTAL,EL,T,EU27_2020,2009,699792.0
27707,EXP,TOTAL,EL,T,FI,2009,2670.0
27708,EXP,TOTAL,EL,T,FR,2009,22608.0
27709,EXP,TOTAL,EL,T,HR,2009,22953.0
27710,EXP,TOTAL,EL,T,HU,2009,22.0
27711,EXP,TOTAL,EL,T,IE,2009,11.0
27712,EXP,TOTAL,EL,T,IT,2009,122461.0
27713,EXP,TOTAL,EL,T,LV,2009,0.0
27714,EXP,TOTAL,EL,T,NL,2009,1910.0
27715,EXP,TOTAL,EL,T,PL,2009,8.0
27716,EXP,TOTAL,EL,T,PT,2009,49.0
27717,EXP,TOTAL,EL,T,RO,2009,243840.0
