,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
116,EXP,GLAS,HK,T,EU27_2020,2009,86.0
117,EXP,GLAS,HK,T,LT,2009,86.0
636,EXP,MIN,HK,T,BE,2009,18.0
637,EXP,MIN,HK,T,DE,2009,1.0
638,EXP,MIN,HK,T,EU27_2020,2009,43.0
639,EXP,MIN,HK,T,IT,2009,24.0
640,EXP,MIN,HK,T,NL,2009,0.0
641,EXP,MIN,HK,T,SE,2009,0.0
1724,EXP,MT,HK,T,AT,2009,557.0
1725,EXP,MT,HK,T,BE,2009,16331.0
1726,EXP,MT,HK,T,BG,2009,323.0
1727,EXP,MT,HK,T,CY,2009,1417.0
1728,EXP,MT,HK,T,CZ,2009,1106.0
1729,EXP,MT,HK,T,DE,2009,35180.0
1730,EXP,MT,HK,T,DK,2009,918.0
1731,EXP,MT,HK,T,EE,2009,83.0
1732,EXP,MT,HK,T,EL,2009,4183.0
1733,EXP,MT,HK,T,ES,2009,16758.0
1734,EXP,MT,HK,T,EU27_2020,2009,145691.0
1735,EXP,MT,HK,T,FI,2009,7331.0
1736,EXP,MT,HK,T,FR,2009,16237.0
1737,EXP,MT,HK,T,HU,2009,262.0
1738,EXP,MT,HK,T,IE,2009,1946.0
1739,EXP,MT,HK,T,IT,2009,19031.0
1740,EXP,MT,HK,T,LT,2009,282.0
1741,EXP,MT,HK,T,LU,2009,193.0
1742,EXP,MT,HK,T,LV,2009,235.0
1743,EXP,MT,HK,T,MT,2009,539.0
1744,EXP,MT,HK,T,NL,2009,5793.0
1745,EXP,MT,HK,T,PL,2009,1825.0
1746,EXP,MT,HK,T,PT,2009,5001.0
1747,EXP,MT,HK,T,RO,2009,57.0
1748,EXP,MT,HK,T,SE,2009,9946.0
1749,EXP,MT,HK,T,SI,2009,71.0
1750,EXP,MT,HK,T,SK,2009,86.0
3406,EXP,MT_FER,HK,T,AT,2009,198.0
3407,EXP,MT_FER,HK,T,BE,2009,4564.0
3408,EXP,MT_FER,HK,T,BG,2009,85.0
3409,EXP,MT_FER,HK,T,CY,2009,212.0
3410,EXP,MT_FER,HK,T,CZ,2009,717.0
3411,EXP,MT_FER,HK,T,DE,2009,7805.0
3412,EXP,MT_FER,HK,T,DK,2009,193.0
3413,EXP,MT_FER,HK,T,EL,2009,3331.0
3414,EXP,MT_FER,HK,T,ES,2009,11713.0
3415,EXP,MT_FER,HK,T,EU27_2020,2009,62899.0
3416,EXP,MT_FER,HK,T,FI,2009,2107.0
3417,EXP,MT_FER,HK,T,FR,2009,8685.0
3418,EXP,MT_FER,HK,T,HU,2009,48.0
3419,EXP,MT_FER,HK,T,IE,2009,756.0
3420,EXP,MT_FER,HK,T,IT,2009,11418.0
3421,EXP,MT_FER,HK,T,LV,2009,102.0
3422,EXP,MT_FER,HK,T,MT,2009,40.0
3423,EXP,MT_FER,HK,T,NL,2009,2059.0
3424,EXP,MT_FER,HK,T,PL,2009,1610.0
3425,EXP,MT_FER,HK,T,PT,2009,1143.0
3426,EXP,MT_FER,HK,T,RO,2009,33.0
3427,EXP,MT_FER,HK,T,SE,2009,6081.0
4776,EXP,MT_NFER,HK,T,AT,2009,359.0
4777,EXP,MT_NFER,HK,T,BE,2009,11767.0
4778,EXP,MT_NFER,HK,T,BG,2009,239.0
4779,EXP,MT_NFER,HK,T,CY,2009,1205.0
4780,EXP,MT_NFER,HK,T,CZ,2009,389.0
4781,EXP,MT_NFER,HK,T,DE,2009,27376.0
4782,EXP,MT_NFER,HK,T,DK,2009,725.0
4783,EXP,MT_NFER,HK,T,EE,2009,83.0
4784,EXP,MT_NFER,HK,T,EL,2009,852.0
4785,EXP,MT_NFER,HK,T,ES,2009,5045.0
4786,EXP,MT_NFER,HK,T,EU27_2020,2009,82792.0
4787,EXP,MT_NFER,HK,T,FI,2009,5224.0
4788,EXP,MT_NFER,HK,T,FR,2009,7552.0
4789,EXP,MT_NFER,HK,T,HU,2009,214.0
4790,EXP,MT_NFER,HK,T,IE,2009,1190.0
4791,EXP,MT_NFER,HK,T,IT,2009,7612.0
4792,EXP,MT_NFER,HK,T,LT,2009,282.0
4793,EXP,MT_NFER,HK,T,LU,2009,193.0
4794,EXP,MT_NFER,HK,T,LV,2009,133.0
4795,EXP,MT_NFER,HK,T,MT,2009,499.0
4796,EXP,MT_NFER,HK,T,NL,2009,3734.0
4797,EXP,MT_NFER,HK,T,PL,2009,215.0
4798,EXP,MT_NFER,HK,T,PT,2009,3858.0
4799,EXP,MT_NFER,HK,T,RO,2009,24.0
4800,EXP,MT_NFER,HK,T,SE,2009,3865.0
4801,EXP,MT_NFER,HK,T,SI,2009,71.0
4802,EXP,MT_NFER,HK,T,SK,2009,86.0
6024,EXP,MT_NFER_CAN,HK,T,AT,2009,359.0
6025,EXP,MT_NFER_CAN,HK,T,BE,2009,11626.0
6026,EXP,MT_NFER_CAN,HK,T,BG,2009,239.0
6027,EXP,MT_NFER_CAN,HK,T,CY,2009,1205.0
6028,EXP,MT_NFER_CAN,HK,T,CZ,2009,389.0
6029,EXP,MT_NFER_CAN,HK,T,DE,2009,26436.0
6030,EXP,MT_NFER_CAN,HK,T,DK,2009,725.0
6031,EXP,MT_NFER_CAN,HK,T,EE,2009,34.0
6032,EXP,MT_NFER_CAN,HK,T,EL,2009,852.0
6033,EXP,MT_NFER_CAN,HK,T,ES,2009,4958.0
6034,EXP,MT_NFER_CAN,HK,T,EU27_2020,2009,78631.0
6035,EXP,MT_NFER_CAN,HK,T,FI,2009,5224.0
6036,EXP,MT_NFER_CAN,HK,T,FR,2009,7467.0
6037,EXP,MT_NFER_CAN,HK,T,HU,2009,214.0
6038,EXP,MT_NFER_CAN,HK,T,IE,2009,1190.0
6039,EXP,MT_NFER_CAN,HK,T,IT,2009,7502.0
6040,EXP,MT_NFER_CAN,HK,T,LT,2009,255.0
6041,EXP,MT_NFER_CAN,HK,T,LV,2009,133.0
6042,EXP,MT_NFER_CAN,HK,T,MT,2009,499.0
6043,EXP,MT_NFER_CAN,HK,T,NL,2009,1307.0
6044,EXP,MT_NFER_CAN,HK,T,PL,2009,215.0
6045,EXP,MT_NFER_CAN,HK,T,PT,2009,3858.0
6046,EXP,MT_NFER_CAN,HK,T,RO,2009,23.0
6047,EXP,MT_NFER_CAN,HK,T,SE,2009,3765.0
6048,EXP,MT_NFER_CAN,HK,T,SI,2009,71.0
6049,EXP,MT_NFER_CAN,HK,T,SK,2009,86.0
7092,EXP,MT_NFER_OTH,HK,T,BE,2009,141.0
7093,EXP,MT_NFER_OTH,HK,T,DE,2009,900.0
7094,EXP,MT_NFER_OTH,HK,T,DK,2009,0.0
7095,EXP,MT_NFER_OTH,HK,T,EE,2009,49.0
7096,EXP,MT_NFER_OTH,HK,T,ES,2009,21.0
7097,EXP,MT_NFER_OTH,HK,T,EU27_2020,2009,4031.0
7098,EXP,MT_NFER_OTH,HK,T,FI,2009,0.0
7099,EXP,MT_NFER_OTH,HK,T,FR,2009,86.0
7100,EXP,MT_NFER_OTH,HK,T,IT,2009,110.0
7101,EXP,MT_NFER_OTH,HK,T,LT,2009,3.0
7102,EXP,MT_NFER_OTH,HK,T,LU,2009,193.0
7103,EXP,MT_NFER_OTH,HK,T,NL,2009,2427.0
7104,EXP,MT_NFER_OTH,HK,T,RO,2009,1.0
7105,EXP,MT_NFER_OTH,HK,T,SE,2009,100.0
7900,EXP,MT_NFER_PRE,HK,T,DE,2009,39.0
7901,EXP,MT_NFER_PRE,HK,T,ES,2009,67.0
7902,EXP,MT_NFER_PRE,HK,T,EU27_2020,2009,130.0
7903,EXP,MT_NFER_PRE,HK,T,FR,2009,0.0
7904,EXP,MT_NFER_PRE,HK,T,IE,2009,0.0
7905,EXP,MT_NFER_PRE,HK,T,IT,2009,1.0
7906,EXP,MT_NFER_PRE,HK,T,LT,2009,24.0
7907,EXP,MT_NFER_PRE,HK,T,SE,2009,0.0
8476,EXP,NSP,HK,T,EU27_2020,2009,2.0
8477,EXP,NSP,HK,T,IT,2009,1.0
8478,EXP,NSP,HK,T,NL,2009,1.0
9240,EXP,ORG,HK,T,DE,2009,99.0
9241,EXP,ORG,HK,T,ES,2009,51.0
9242,EXP,ORG,HK,T,EU27_2020,2009,349.0
9243,EXP,ORG,HK,T,FR,2009,98.0
9244,EXP,ORG,HK,T,IT,2009,26.0
9245,EXP,ORG,HK,T,NL,2009,75.0
9944,EXP,ORG_ANI,HK,T,DE,2009,99.0
9945,EXP,ORG_ANI,HK,T,ES,2009,51.0
9946,EXP,ORG_ANI,HK,T,EU27_2020,2009,348.0
9947,EXP,ORG_ANI,HK,T,FR,2009,98.0
9948,EXP,ORG_ANI,HK,T,IT,2009,25.0
9949,EXP,ORG_ANI,HK,T,NL,2009,75.0
10442,EXP,ORG_VEG,HK,T,EU27_2020,2009,0.0
10443,EXP,ORG_VEG,HK,T,IT,2009,0.0
11310,EXP,PAPER,HK,T,BE,2009,4556.0
11311,EXP,PAPER,HK,T,DE,2009,2033.0
11312,EXP,PAPER,HK,T,DK,2009,494.0
11313,EXP,PAPER,HK,T,EL,2009,2958.0
11314,EXP,PAPER,HK,T,ES,2009,1861.0
11315,EXP,PAPER,HK,T,EU27_2020,2009,28166.0
