,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
130,EXP,GLAS,IN,T,CZ,2009,44.0
131,EXP,GLAS,IN,T,DE,2009,37532.0
132,EXP,GLAS,IN,T,EE,2009,583.0
133,EXP,GLAS,IN,T,ES,2009,72.0
134,EXP,GLAS,IN,T,EU27_2020,2009,46878.0
135,EXP,GLAS,IN,T,FR,2009,241.0
136,EXP,GLAS,IN,T,IE,2009,2.0
137,EXP,GLAS,IN,T,IT,2009,1669.0
138,EXP,GLAS,IN,T,LT,2009,280.0
139,EXP,GLAS,IN,T,NL,2009,6454.0
666,EXP,MIN,IN,T,BE,2009,1005.0
667,EXP,MIN,IN,T,DE,2009,23.0
668,EXP,MIN,IN,T,EL,2009,42.0
669,EXP,MIN,IN,T,ES,2009,29.0
670,EXP,MIN,IN,T,EU27_2020,2009,3714.0
671,EXP,MIN,IN,T,IE,2009,25.0
672,EXP,MIN,IN,T,IT,2009,1847.0
673,EXP,MIN,IN,T,NL,2009,124.0
674,EXP,MIN,IN,T,PT,2009,594.0
675,EXP,MIN,IN,T,SE,2009,25.0
1828,EXP,MT,IN,T,AT,2009,2402.0
1829,EXP,MT,IN,T,BE,2009,170357.0
1830,EXP,MT,IN,T,BG,2009,9335.0
1831,EXP,MT,IN,T,CY,2009,5492.0
1832,EXP,MT,IN,T,CZ,2009,2839.0
1833,EXP,MT,IN,T,DE,2009,282058.0
1834,EXP,MT,IN,T,DK,2009,54674.0
1835,EXP,MT,IN,T,EE,2009,6114.0
1836,EXP,MT,IN,T,EL,2009,6326.0
1837,EXP,MT,IN,T,ES,2009,18732.0
1838,EXP,MT,IN,T,EU27_2020,2009,1251457.0
1839,EXP,MT,IN,T,FI,2009,23091.0
1840,EXP,MT,IN,T,FR,2009,137477.0
1841,EXP,MT,IN,T,HU,2009,34690.0
1842,EXP,MT,IN,T,IE,2009,4316.0
1843,EXP,MT,IN,T,IT,2009,28552.0
1844,EXP,MT,IN,T,LT,2009,14878.0
1845,EXP,MT,IN,T,LV,2009,14516.0
1846,EXP,MT,IN,T,MT,2009,3135.0
1847,EXP,MT,IN,T,NL,2009,275766.0
1848,EXP,MT,IN,T,PL,2009,17014.0
1849,EXP,MT,IN,T,PT,2009,813.0
1850,EXP,MT,IN,T,RO,2009,34990.0
1851,EXP,MT,IN,T,SE,2009,103797.0
1852,EXP,MT,IN,T,SI,2009,47.0
1853,EXP,MT,IN,T,SK,2009,48.0
3486,EXP,MT_FER,IN,T,AT,2009,89.0
3487,EXP,MT_FER,IN,T,BE,2009,136356.0
3488,EXP,MT_FER,IN,T,BG,2009,3136.0
3489,EXP,MT_FER,IN,T,CY,2009,3426.0
3490,EXP,MT_FER,IN,T,CZ,2009,1639.0
3491,EXP,MT_FER,IN,T,DE,2009,240890.0
3492,EXP,MT_FER,IN,T,DK,2009,49553.0
3493,EXP,MT_FER,IN,T,EE,2009,4881.0
3494,EXP,MT_FER,IN,T,EL,2009,2397.0
3495,EXP,MT_FER,IN,T,ES,2009,9824.0
3496,EXP,MT_FER,IN,T,EU27_2020,2009,1045480.0
3497,EXP,MT_FER,IN,T,FI,2009,18704.0
3498,EXP,MT_FER,IN,T,FR,2009,110946.0
3499,EXP,MT_FER,IN,T,HU,2009,33233.0
3500,EXP,MT_FER,IN,T,IE,2009,3510.0
3501,EXP,MT_FER,IN,T,IT,2009,16186.0
3502,EXP,MT_FER,IN,T,LT,2009,13942.0
3503,EXP,MT_FER,IN,T,LV,2009,13438.0
3504,EXP,MT_FER,IN,T,MT,2009,3135.0
3505,EXP,MT_FER,IN,T,NL,2009,240089.0
3506,EXP,MT_FER,IN,T,PL,2009,14214.0
3507,EXP,MT_FER,IN,T,PT,2009,104.0
3508,EXP,MT_FER,IN,T,RO,2009,33461.0
3509,EXP,MT_FER,IN,T,SE,2009,92326.0
4860,EXP,MT_NFER,IN,T,AT,2009,2313.0
4861,EXP,MT_NFER,IN,T,BE,2009,34001.0
4862,EXP,MT_NFER,IN,T,BG,2009,6199.0
4863,EXP,MT_NFER,IN,T,CY,2009,2066.0
4864,EXP,MT_NFER,IN,T,CZ,2009,1200.0
4865,EXP,MT_NFER,IN,T,DE,2009,41168.0
4866,EXP,MT_NFER,IN,T,DK,2009,5121.0
4867,EXP,MT_NFER,IN,T,EE,2009,1234.0
4868,EXP,MT_NFER,IN,T,EL,2009,3929.0
4869,EXP,MT_NFER,IN,T,ES,2009,8908.0
4870,EXP,MT_NFER,IN,T,EU27_2020,2009,205978.0
4871,EXP,MT_NFER,IN,T,FI,2009,4387.0
4872,EXP,MT_NFER,IN,T,FR,2009,26532.0
4873,EXP,MT_NFER,IN,T,HU,2009,1457.0
4874,EXP,MT_NFER,IN,T,IE,2009,806.0
4875,EXP,MT_NFER,IN,T,IT,2009,12366.0
4876,EXP,MT_NFER,IN,T,LT,2009,935.0
4877,EXP,MT_NFER,IN,T,LV,2009,1077.0
4878,EXP,MT_NFER,IN,T,NL,2009,35678.0
4879,EXP,MT_NFER,IN,T,PL,2009,2799.0
4880,EXP,MT_NFER,IN,T,PT,2009,709.0
4881,EXP,MT_NFER,IN,T,RO,2009,1529.0
4882,EXP,MT_NFER,IN,T,SE,2009,11471.0
4883,EXP,MT_NFER,IN,T,SI,2009,47.0
4884,EXP,MT_NFER,IN,T,SK,2009,48.0
6102,EXP,MT_NFER_CAN,IN,T,AT,2009,2004.0
6103,EXP,MT_NFER_CAN,IN,T,BE,2009,27126.0
6104,EXP,MT_NFER_CAN,IN,T,BG,2009,5490.0
6105,EXP,MT_NFER_CAN,IN,T,CY,2009,1948.0
6106,EXP,MT_NFER_CAN,IN,T,CZ,2009,1130.0
6107,EXP,MT_NFER_CAN,IN,T,DE,2009,34340.0
6108,EXP,MT_NFER_CAN,IN,T,DK,2009,4143.0
6109,EXP,MT_NFER_CAN,IN,T,EE,2009,853.0
6110,EXP,MT_NFER_CAN,IN,T,EL,2009,3264.0
6111,EXP,MT_NFER_CAN,IN,T,ES,2009,8033.0
6112,EXP,MT_NFER_CAN,IN,T,EU27_2020,2009,179035.0
6113,EXP,MT_NFER_CAN,IN,T,FI,2009,4210.0
6114,EXP,MT_NFER_CAN,IN,T,FR,2009,25610.0
6115,EXP,MT_NFER_CAN,IN,T,HU,2009,1000.0
6116,EXP,MT_NFER_CAN,IN,T,IE,2009,806.0
6117,EXP,MT_NFER_CAN,IN,T,IT,2009,8950.0
6118,EXP,MT_NFER_CAN,IN,T,LT,2009,578.0
6119,EXP,MT_NFER_CAN,IN,T,LV,2009,462.0
6120,EXP,MT_NFER_CAN,IN,T,NL,2009,34201.0
6121,EXP,MT_NFER_CAN,IN,T,PL,2009,2484.0
6122,EXP,MT_NFER_CAN,IN,T,PT,2009,10.0
6123,EXP,MT_NFER_CAN,IN,T,RO,2009,1026.0
6124,EXP,MT_NFER_CAN,IN,T,SE,2009,11273.0
6125,EXP,MT_NFER_CAN,IN,T,SI,2009,47.0
6126,EXP,MT_NFER_CAN,IN,T,SK,2009,48.0
7138,EXP,MT_NFER_OTH,IN,T,AT,2009,309.0
7139,EXP,MT_NFER_OTH,IN,T,BE,2009,6876.0
7140,EXP,MT_NFER_OTH,IN,T,BG,2009,709.0
7141,EXP,MT_NFER_OTH,IN,T,CY,2009,118.0
7142,EXP,MT_NFER_OTH,IN,T,CZ,2009,70.0
7143,EXP,MT_NFER_OTH,IN,T,DE,2009,6828.0
7144,EXP,MT_NFER_OTH,IN,T,DK,2009,978.0
7145,EXP,MT_NFER_OTH,IN,T,EE,2009,381.0
7146,EXP,MT_NFER_OTH,IN,T,EL,2009,665.0
7147,EXP,MT_NFER_OTH,IN,T,ES,2009,875.0
7148,EXP,MT_NFER_OTH,IN,T,EU27_2020,2009,26942.0
7149,EXP,MT_NFER_OTH,IN,T,FI,2009,177.0
7150,EXP,MT_NFER_OTH,IN,T,FR,2009,922.0
7151,EXP,MT_NFER_OTH,IN,T,HU,2009,457.0
7152,EXP,MT_NFER_OTH,IN,T,IT,2009,3415.0
7153,EXP,MT_NFER_OTH,IN,T,LT,2009,358.0
7154,EXP,MT_NFER_OTH,IN,T,LV,2009,616.0
7155,EXP,MT_NFER_OTH,IN,T,NL,2009,1477.0
