,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
120,EXP,GLAS,ID,T,EU27_2020,2009,10.0
121,EXP,GLAS,ID,T,FR,2009,10.0
648,EXP,MIN,ID,T,EU27_2020,2009,61.0
649,EXP,MIN,ID,T,FI,2009,7.0
650,EXP,MIN,ID,T,NL,2009,54.0
1778,EXP,MT,ID,T,BE,2009,6172.0
1779,EXP,MT,ID,T,DE,2009,31383.0
1780,EXP,MT,ID,T,DK,2009,2510.0
1781,EXP,MT,ID,T,EE,2009,1093.0
1782,EXP,MT,ID,T,EL,2009,126.0
1783,EXP,MT,ID,T,EU27_2020,2009,116348.0
1784,EXP,MT,ID,T,FI,2009,5298.0
1785,EXP,MT,ID,T,FR,2009,4487.0
1786,EXP,MT,ID,T,HU,2009,2277.0
1787,EXP,MT,ID,T,IE,2009,306.0
1788,EXP,MT,ID,T,IT,2009,5016.0
1789,EXP,MT,ID,T,LT,2009,550.0
1790,EXP,MT,ID,T,LV,2009,4490.0
1791,EXP,MT,ID,T,NL,2009,49600.0
1792,EXP,MT,ID,T,SE,2009,2680.0
1793,EXP,MT,ID,T,SK,2009,361.0
3450,EXP,MT_FER,ID,T,BE,2009,5950.0
3451,EXP,MT_FER,ID,T,DE,2009,28365.0
3452,EXP,MT_FER,ID,T,DK,2009,2510.0
3453,EXP,MT_FER,ID,T,EE,2009,1093.0
3454,EXP,MT_FER,ID,T,EU27_2020,2009,112037.0
3455,EXP,MT_FER,ID,T,FI,2009,5298.0
3456,EXP,MT_FER,ID,T,FR,2009,4487.0
3457,EXP,MT_FER,ID,T,HU,2009,2277.0
3458,EXP,MT_FER,ID,T,IE,2009,306.0
3459,EXP,MT_FER,ID,T,IT,2009,4968.0
3460,EXP,MT_FER,ID,T,LT,2009,550.0
3461,EXP,MT_FER,ID,T,LV,2009,4490.0
3462,EXP,MT_FER,ID,T,NL,2009,48701.0
3463,EXP,MT_FER,ID,T,SE,2009,2680.0
3464,EXP,MT_FER,ID,T,SK,2009,361.0
4830,EXP,MT_NFER,ID,T,BE,2009,222.0
4831,EXP,MT_NFER,ID,T,DE,2009,3018.0
4832,EXP,MT_NFER,ID,T,EL,2009,126.0
4833,EXP,MT_NFER,ID,T,EU27_2020,2009,4312.0
4834,EXP,MT_NFER,ID,T,IT,2009,47.0
4835,EXP,MT_NFER,ID,T,NL,2009,899.0
6076,EXP,MT_NFER_CAN,ID,T,BE,2009,222.0
6077,EXP,MT_NFER_CAN,ID,T,DE,2009,3018.0
6078,EXP,MT_NFER_CAN,ID,T,EL,2009,126.0
6079,EXP,MT_NFER_CAN,ID,T,EU27_2020,2009,4312.0
6080,EXP,MT_NFER_CAN,ID,T,IT,2009,47.0
6081,EXP,MT_NFER_CAN,ID,T,NL,2009,899.0
7120,EXP,MT_NFER_OTH,ID,T,DE,2009,0.0
7121,EXP,MT_NFER_OTH,ID,T,EU27_2020,2009,0.0
8482,EXP,NSP,ID,T,BE,2009,0.0
8483,EXP,NSP,ID,T,EU27_2020,2009,6.0
8484,EXP,NSP,ID,T,IE,2009,0.0
8485,EXP,NSP,ID,T,IT,2009,2.0
8486,EXP,NSP,ID,T,NL,2009,4.0
9256,EXP,ORG,ID,T,CZ,2009,64.0
9257,EXP,ORG,ID,T,EL,2009,162.0
9258,EXP,ORG,ID,T,EU27_2020,2009,226.0
9259,EXP,ORG,ID,T,IT,2009,0.0
9960,EXP,ORG_ANI,ID,T,CZ,2009,64.0
9961,EXP,ORG_ANI,ID,T,EU27_2020,2009,64.0
10450,EXP,ORG_VEG,ID,T,EL,2009,162.0
10451,EXP,ORG_VEG,ID,T,EU27_2020,2009,162.0
10452,EXP,ORG_VEG,ID,T,IT,2009,0.0
11338,EXP,PAPER,ID,T,BE,2009,153030.0
11339,EXP,PAPER,ID,T,CY,2009,732.0
11340,EXP,PAPER,ID,T,DE,2009,121882.0
11341,EXP,PAPER,ID,T,DK,2009,2597.0
11342,EXP,PAPER,ID,T,EE,2009,4205.0
11343,EXP,PAPER,ID,T,EL,2009,42277.0
11344,EXP,PAPER,ID,T,ES,2009,17061.0
11345,EXP,PAPER,ID,T,EU27_2020,2009,887032.0
11346,EXP,PAPER,ID,T,FI,2009,5174.0
11347,EXP,PAPER,ID,T,FR,2009,58564.0
11348,EXP,PAPER,ID,T,IE,2009,19102.0
11349,EXP,PAPER,ID,T,IT,2009,283601.0
11350,EXP,PAPER,ID,T,MT,2009,114.0
11351,EXP,PAPER,ID,T,NL,2009,150706.0
11352,EXP,PAPER,ID,T,PL,2009,1449.0
11353,EXP,PAPER,ID,T,PT,2009,18308.0
11354,EXP,PAPER,ID,T,RO,2009,5068.0
11355,EXP,PAPER,ID,T,SE,2009,3162.0
12584,EXP,PLAST,ID,T,BE,2009,4.0
12585,EXP,PLAST,ID,T,CY,2009,317.0
12586,EXP,PLAST,ID,T,DE,2009,375.0
12587,EXP,PLAST,ID,T,EL,2009,294.0
12588,EXP,PLAST,ID,T,ES,2009,1931.0
12589,EXP,PLAST,ID,T,EU27_2020,2009,4282.0
12590,EXP,PLAST,ID,T,FR,2009,1042.0
12591,EXP,PLAST,ID,T,NL,2009,320.0
14404,EXP,PLAST_RUB,ID,T,BE,2009,4.0
14405,EXP,PLAST_RUB,ID,T,CY,2009,317.0
14406,EXP,PLAST_RUB,ID,T,DE,2009,407.0
14407,EXP,PLAST_RUB,ID,T,EL,2009,294.0
14408,EXP,PLAST_RUB,ID,T,ES,2009,2222.0
14409,EXP,PLAST_RUB,ID,T,EU27_2020,2009,5415.0
14410,EXP,PLAST_RUB,ID,T,FR,2009,1084.0
14411,EXP,PLAST_RUB,ID,T,IT,2009,130.0
14412,EXP,PLAST_RUB,ID,T,NL,2009,958.0
16676,EXP,RUB,ID,T,DE,2009,31.0
16677,EXP,RUB,ID,T,ES,2009,291.0
16678,EXP,RUB,ID,T,EU27_2020,2009,1133.0
16679,EXP,RUB,ID,T,FR,2009,42.0
16680,EXP,RUB,ID,T,IT,2009,130.0
16681,EXP,RUB,ID,T,NL,2009,638.0
19192,EXP,TEXT,ID,T,AT,2009,0.0
19193,EXP,TEXT,ID,T,DE,2009,27.0
19194,EXP,TEXT,ID,T,EU27_2020,2009,50.0
19195,EXP,TEXT,ID,T,HU,2009,2.0
19196,EXP,TEXT,ID,T,IE,2009,1.0
19197,EXP,TEXT,ID,T,IT,2009,0.0
19198,EXP,TEXT,ID,T,NL,2009,6.0
19199,EXP,TEXT,ID,T,PL,2009,13.0
19200,EXP,TEXT,ID,T,PT,2009,1.0
19201,EXP,TEXT,ID,T,SE,2009,1.0
22068,EXP,TEXT_NTL,ID,T,DE,2009,0.0
22069,EXP,TEXT_NTL,ID,T,EU27_2020,2009,1.0
22070,EXP,TEXT_NTL,ID,T,IT,2009,0.0
22071,EXP,TEXT_NTL,ID,T,SE,2009,1.0
24262,EXP,TEXT_SYN,ID,T,AT,2009,0.0
24263,EXP,TEXT_SYN,ID,T,DE,2009,27.0
24264,EXP,TEXT_SYN,ID,T,EU27_2020,2009,49.0
24265,EXP,TEXT_SYN,ID,T,HU,2009,2.0
24266,EXP,TEXT_SYN,ID,T,IE,2009,1.0
24267,EXP,TEXT_SYN,ID,T,NL,2009,6.0
24268,EXP,TEXT_SYN,ID,T,PL,2009,13.0
24269,EXP,TEXT_SYN,ID,T,PT,2009,1.0
24270,EXP,TEXT_SYN,ID,T,SE,2009,0.0
28190,EXP,TOTAL,ID,T,AT,2009,0.0
28191,EXP,TOTAL,ID,T,BE,2009,159205.0
28192,EXP,TOTAL,ID,T,CY,2009,1049.0
28193,EXP,TOTAL,ID,T,CZ,2009,64.0
28194,EXP,TOTAL,ID,T,DE,2009,153721.0
28195,EXP,TOTAL,ID,T,DK,2009,5107.0
28196,EXP,TOTAL,ID,T,EE,2009,5298.0
28197,EXP,TOTAL,ID,T,EL,2009,42859.0
28198,EXP,TOTAL,ID,T,ES,2009,19283.0
28199,EXP,TOTAL,ID,T,EU27_2020,2009,1009203.0
28200,EXP,TOTAL,ID,T,FI,2009,10479.0
28201,EXP,TOTAL,ID,T,FR,2009,64146.0
28202,EXP,TOTAL,ID,T,HU,2009,2279.0
28203,EXP,TOTAL,ID,T,IE,2009,19409.0
28204,EXP,TOTAL,ID,T,IT,2009,288782.0
28205,EXP,TOTAL,ID,T,LT,2009,550.0
28206,EXP,TOTAL,ID,T,LV,2009,4490.0
28207,EXP,TOTAL,ID,T,MT,2009,114.0
28208,EXP,TOTAL,ID,T,NL,2009,201327.0
28209,EXP,TOTAL,ID,T,PL,2009,1461.0
28210,EXP,TOTAL,ID,T,PT,2009,18309.0
28211,EXP,TOTAL,ID,T,RO,2009,5068.0
28212,EXP,TOTAL,ID,T,SE,2009,5843.0
28213,EXP,TOTAL,ID,T,SK,2009,361.0
31442,EXP,WD,ID,T,DE,2009,21.0
31443,EXP,WD,ID,T,EU27_2020,2009,55.0
31444,EXP,WD,ID,T,IT,2009,34.0
56490,EXP,MIN,ID,T,BE,2013,540.0
56491,EXP,MIN,ID,T,EU27_2020,2013,3483.0
56492,EXP,MIN,ID,T,NL,2013,2943.0
57600,EXP,MT,ID,T,BE,2013,3195.0
57601,EXP,MT,ID,T,BG,2013,64.0
57602,EXP,MT,ID,T,DE,2013,11663.0
57603,EXP,MT,ID,T,DK,2013,11524.0
57604,EXP,MT,ID,T,EL,2013,614.0
57605,EXP,MT,ID,T,ES,2013,70.0
57606,EXP,MT,ID,T,EU27_2020,2013,60451.0
57607,EXP,MT,ID,T,FI,2013,97.0
57608,EXP,MT,ID,T,FR,2013,0.0
57609,EXP,MT,ID,T,HU,2013,1050.0
57610,EXP,MT,ID,T,IE,2013,287.0
57611,EXP,MT,ID,T,IT,2013,7048.0
57612,EXP,MT,ID,T,LT,2013,872.0
57613,EXP,MT,ID,T,LV,2013,3160.0
57614,EXP,MT,ID,T,MT,2013,25.0
57615,EXP,MT,ID,T,NL,2013,5786.0
57616,EXP,MT,ID,T,PL,2013,13778.0
57617,EXP,MT,ID,T,PT,2013,39.0
57618,EXP,MT,ID,T,SE,2013,1178.0
59172,EXP,MT_FER,ID,T,BE,2013,2513.0
59173,EXP,MT_FER,ID,T,DE,2013,11253.0
59174,EXP,MT_FER,ID,T,DK,2013,11524.0
59175,EXP,MT_FER,ID,T,EU27_2020,2013,56072.0
59176,EXP,MT_FER,ID,T,HU,2013,1050.0
59177,EXP,MT_FER,ID,T,IE,2013,244.0
59178,EXP,MT_FER,ID,T,IT,2013,6665.0
59179,EXP,MT_FER,ID,T,LT,2013,805.0
59180,EXP,MT_FER,ID,T,LV,2013,3120.0
59181,EXP,MT_FER,ID,T,MT,2013,25.0
59182,EXP,MT_FER,ID,T,NL,2013,4165.0
59183,EXP,MT_FER,ID,T,PL,2013,13705.0
59184,EXP,MT_FER,ID,T,SE,2013,1003.0
60454,EXP,MT_NFER,ID,T,BE,2013,683.0
60455,EXP,MT_NFER,ID,T,BG,2013,64.0
60456,EXP,MT_NFER,ID,T,DE,2013,410.0
60457,EXP,MT_NFER,ID,T,EL,2013,614.0
60458,EXP,MT_NFER,ID,T,ES,2013,70.0
60459,EXP,MT_NFER,ID,T,EU27_2020,2013,4379.0
60460,EXP,MT_NFER,ID,T,FI,2013,97.0
60461,EXP,MT_NFER,ID,T,FR,2013,0.0
60462,EXP,MT_NFER,ID,T,IE,2013,42.0
60463,EXP,MT_NFER,ID,T,IT,2013,383.0
60464,EXP,MT_NFER,ID,T,LT,2013,67.0
60465,EXP,MT_NFER,ID,T,LV,2013,40.0
60466,EXP,MT_NFER,ID,T,NL,2013,1620.0
60467,EXP,MT_NFER,ID,T,PL,2013,73.0
60468,EXP,MT_NFER,ID,T,PT,2013,39.0
60469,EXP,MT_NFER,ID,T,SE,2013,175.0
61810,EXP,MT_NFER_CAN,ID,T,BE,2013,529.0
61811,EXP,MT_NFER_CAN,ID,T,BG,2013,64.0
61812,EXP,MT_NFER_CAN,ID,T,DE,2013,66.0
61813,EXP,MT_NFER_CAN,ID,T,EL,2013,614.0
61814,EXP,MT_NFER_CAN,ID,T,ES,2013,70.0
61815,EXP,MT_NFER_CAN,ID,T,EU27_2020,2013,3881.0
61816,EXP,MT_NFER_CAN,ID,T,FI,2013,97.0
61817,EXP,MT_NFER_CAN,ID,T,IE,2013,42.0
61818,EXP,MT_NFER_CAN,ID,T,IT,2013,383.0
61819,EXP,MT_NFER_CAN,ID,T,LT,2013,67.0
61820,EXP,MT_NFER_CAN,ID,T,LV,2013,40.0
61821,EXP,MT_NFER_CAN,ID,T,NL,2013,1620.0
61822,EXP,MT_NFER_CAN,ID,T,PL,2013,73.0
61823,EXP,MT_NFER_CAN,ID,T,PT,2013,39.0
61824,EXP,MT_NFER_CAN,ID,T,SE,2013,175.0
62910,EXP,MT_NFER_OTH,ID,T,BE,2013,154.0
62911,EXP,MT_NFER_OTH,ID,T,DE,2013,344.0
62912,EXP,MT_NFER_OTH,ID,T,EU27_2020,2013,498.0
62913,EXP,MT_NFER_OTH,ID,T,FR,2013,0.0
64516,EXP,NSP,ID,T,BE,2013,0.0
