,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
236,EXP,GLAS,MY,T,CZ,2009,440.0
237,EXP,GLAS,MY,T,DE,2009,6593.0
238,EXP,GLAS,MY,T,DK,2009,25.0
239,EXP,GLAS,MY,T,EU27_2020,2009,12503.0
240,EXP,GLAS,MY,T,FI,2009,471.0
241,EXP,GLAS,MY,T,FR,2009,3249.0
242,EXP,GLAS,MY,T,IE,2009,5.0
243,EXP,GLAS,MY,T,IT,2009,1720.0
852,EXP,MIN,MY,T,BE,2009,432.0
853,EXP,MIN,MY,T,DE,2009,0.0
854,EXP,MIN,MY,T,EU27_2020,2009,1645.0
855,EXP,MIN,MY,T,FR,2009,0.0
856,EXP,MIN,MY,T,NL,2009,1213.0
2226,EXP,MT,MY,T,BE,2009,9383.0
2227,EXP,MT,MY,T,BG,2009,25.0
2228,EXP,MT,MY,T,DE,2009,16409.0
2229,EXP,MT,MY,T,DK,2009,1980.0
2230,EXP,MT,MY,T,ES,2009,102.0
2231,EXP,MT,MY,T,EU27_2020,2009,46832.0
2232,EXP,MT,MY,T,FI,2009,105.0
2233,EXP,MT,MY,T,FR,2009,2975.0
2234,EXP,MT,MY,T,IE,2009,322.0
2235,EXP,MT,MY,T,IT,2009,1819.0
2236,EXP,MT,MY,T,LT,2009,4606.0
2237,EXP,MT,MY,T,NL,2009,5460.0
2238,EXP,MT,MY,T,PL,2009,510.0
2239,EXP,MT,MY,T,SE,2009,3137.0
3782,EXP,MT_FER,MY,T,BE,2009,8300.0
3783,EXP,MT_FER,MY,T,DE,2009,15851.0
3784,EXP,MT_FER,MY,T,DK,2009,1980.0
3785,EXP,MT_FER,MY,T,ES,2009,23.0
3786,EXP,MT_FER,MY,T,EU27_2020,2009,44460.0
3787,EXP,MT_FER,MY,T,FR,2009,2785.0
3788,EXP,MT_FER,MY,T,IE,2009,24.0
3789,EXP,MT_FER,MY,T,IT,2009,1812.0
3790,EXP,MT_FER,MY,T,LT,2009,4606.0
3791,EXP,MT_FER,MY,T,NL,2009,5433.0
3792,EXP,MT_FER,MY,T,PL,2009,510.0
3793,EXP,MT_FER,MY,T,SE,2009,3137.0
5180,EXP,MT_NFER,MY,T,BE,2009,1083.0
5181,EXP,MT_NFER,MY,T,BG,2009,25.0
5182,EXP,MT_NFER,MY,T,DE,2009,558.0
5183,EXP,MT_NFER,MY,T,ES,2009,79.0
5184,EXP,MT_NFER,MY,T,EU27_2020,2009,2372.0
5185,EXP,MT_NFER,MY,T,FI,2009,105.0
5186,EXP,MT_NFER,MY,T,FR,2009,190.0
5187,EXP,MT_NFER,MY,T,IE,2009,299.0
5188,EXP,MT_NFER,MY,T,IT,2009,7.0
5189,EXP,MT_NFER,MY,T,NL,2009,26.0
6344,EXP,MT_NFER_CAN,MY,T,BG,2009,25.0
6345,EXP,MT_NFER_CAN,MY,T,DE,2009,176.0
6346,EXP,MT_NFER_CAN,MY,T,ES,2009,55.0
6347,EXP,MT_NFER_CAN,MY,T,EU27_2020,2009,431.0
6348,EXP,MT_NFER_CAN,MY,T,FI,2009,105.0
6349,EXP,MT_NFER_CAN,MY,T,FR,2009,38.0
6350,EXP,MT_NFER_CAN,MY,T,IT,2009,6.0
6351,EXP,MT_NFER_CAN,MY,T,NL,2009,26.0
7390,EXP,MT_NFER_OTH,MY,T,BE,2009,1083.0
7391,EXP,MT_NFER_OTH,MY,T,DE,2009,382.0
7392,EXP,MT_NFER_OTH,MY,T,ES,2009,25.0
7393,EXP,MT_NFER_OTH,MY,T,EU27_2020,2009,1941.0
7394,EXP,MT_NFER_OTH,MY,T,FR,2009,151.0
7395,EXP,MT_NFER_OTH,MY,T,IE,2009,299.0
7396,EXP,MT_NFER_OTH,MY,T,IT,2009,0.0
8698,EXP,NSP,MY,T,BE,2009,0.0
8699,EXP,NSP,MY,T,DE,2009,13.0
8700,EXP,NSP,MY,T,EU27_2020,2009,16.0
8701,EXP,NSP,MY,T,IE,2009,2.0
8702,EXP,NSP,MY,T,IT,2009,1.0
8703,EXP,NSP,MY,T,NL,2009,0.0
9450,EXP,ORG,MY,T,BE,2009,13.0
9451,EXP,ORG,MY,T,EU27_2020,2009,3616.0
9452,EXP,ORG,MY,T,IT,2009,1.0
9453,EXP,ORG,MY,T,NL,2009,3603.0
10604,EXP,ORG_VEG,MY,T,BE,2009,13.0
10605,EXP,ORG_VEG,MY,T,EU27_2020,2009,3616.0
10606,EXP,ORG_VEG,MY,T,IT,2009,1.0
10607,EXP,ORG_VEG,MY,T,NL,2009,3603.0
11670,EXP,PAPER,MY,T,BE,2009,5407.0
11671,EXP,PAPER,MY,T,DE,2009,6182.0
11672,EXP,PAPER,MY,T,EL,2009,1093.0
11673,EXP,PAPER,MY,T,ES,2009,1951.0
11674,EXP,PAPER,MY,T,EU27_2020,2009,77557.0
11675,EXP,PAPER,MY,T,FR,2009,14040.0
11676,EXP,PAPER,MY,T,IE,2009,6593.0
11677,EXP,PAPER,MY,T,IT,2009,16942.0
11678,EXP,PAPER,MY,T,NL,2009,22734.0
11679,EXP,PAPER,MY,T,SE,2009,2616.0
12902,EXP,PLAST,MY,T,AT,2009,68.0
12903,EXP,PLAST,MY,T,BE,2009,6663.0
12904,EXP,PLAST,MY,T,CY,2009,15.0
12905,EXP,PLAST,MY,T,CZ,2009,226.0
12906,EXP,PLAST,MY,T,DE,2009,12066.0
12907,EXP,PLAST,MY,T,DK,2009,146.0
12908,EXP,PLAST,MY,T,EE,2009,45.0
12909,EXP,PLAST,MY,T,EL,2009,1008.0
12910,EXP,PLAST,MY,T,ES,2009,8365.0
12911,EXP,PLAST,MY,T,EU27_2020,2009,34511.0
12912,EXP,PLAST,MY,T,FI,2009,25.0
