,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
228,EXP,GLAS,MD,T,EU27_2020,2009,525.0
229,EXP,GLAS,MD,T,RO,2009,525.0
816,EXP,MIN,MD,T,BG,2009,0.0
817,EXP,MIN,MD,T,DE,2009,10.0
818,EXP,MIN,MD,T,EU27_2020,2009,10.0
819,EXP,MIN,MD,T,RO,2009,0.0
2148,EXP,MT,MD,T,AT,2009,1034.0
2149,EXP,MT,MD,T,EU27_2020,2009,28323.0
2150,EXP,MT,MD,T,RO,2009,27289.0
3732,EXP,MT_FER,MD,T,AT,2009,1034.0
3733,EXP,MT_FER,MD,T,EU27_2020,2009,28323.0
3734,EXP,MT_FER,MD,T,RO,2009,27289.0
8656,EXP,NSP,MD,T,DE,2009,0.0
8657,EXP,NSP,MD,T,EU27_2020,2009,0.0
9408,EXP,ORG,MD,T,BG,2009,330.0
9409,EXP,ORG,MD,T,EU27_2020,2009,350.0
9410,EXP,ORG,MD,T,IT,2009,4.0
9411,EXP,ORG,MD,T,PL,2009,12.0
9412,EXP,ORG,MD,T,RO,2009,3.0
10062,EXP,ORG_ANI,MD,T,EU27_2020,2009,17.0
10063,EXP,ORG_ANI,MD,T,IT,2009,4.0
10064,EXP,ORG_ANI,MD,T,PL,2009,12.0
10572,EXP,ORG_VEG,MD,T,BG,2009,330.0
10573,EXP,ORG_VEG,MD,T,EU27_2020,2009,333.0
10574,EXP,ORG_VEG,MD,T,RO,2009,3.0
11622,EXP,PAPER,MD,T,EU27_2020,2009,0.0
11623,EXP,PAPER,MD,T,PL,2009,0.0
12842,EXP,PLAST,MD,T,DE,2009,31.0
12843,EXP,PLAST,MD,T,EU27_2020,2009,54.0
12844,EXP,PLAST,MD,T,FR,2009,23.0
12845,EXP,PLAST,MD,T,RO,2009,0.0
14818,EXP,PLAST_RUB,MD,T,AT,2009,0.0
14819,EXP,PLAST_RUB,MD,T,DE,2009,472.0
14820,EXP,PLAST_RUB,MD,T,EE,2009,0.0
14821,EXP,PLAST_RUB,MD,T,EU27_2020,2009,642.0
14822,EXP,PLAST_RUB,MD,T,FR,2009,130.0
14823,EXP,PLAST_RUB,MD,T,PL,2009,40.0
14824,EXP,PLAST_RUB,MD,T,RO,2009,0.0
16990,EXP,RUB,MD,T,AT,2009,0.0
16991,EXP,RUB,MD,T,DE,2009,441.0
16992,EXP,RUB,MD,T,EE,2009,0.0
16993,EXP,RUB,MD,T,EU27_2020,2009,588.0
16994,EXP,RUB,MD,T,FR,2009,107.0
16995,EXP,RUB,MD,T,PL,2009,40.0
19866,EXP,TEXT,MD,T,AT,2009,10.0
19867,EXP,TEXT,MD,T,BE,2009,131.0
19868,EXP,TEXT,MD,T,DE,2009,3842.0
19869,EXP,TEXT,MD,T,EU27_2020,2009,4858.0
19870,EXP,TEXT,MD,T,FI,2009,3.0
19871,EXP,TEXT,MD,T,FR,2009,81.0
19872,EXP,TEXT,MD,T,IT,2009,13.0
19873,EXP,TEXT,MD,T,NL,2009,431.0
19874,EXP,TEXT,MD,T,RO,2009,127.0
19875,EXP,TEXT,MD,T,SE,2009,207.0
19876,EXP,TEXT,MD,T,SI,2009,0.0
19877,EXP,TEXT,MD,T,SK,2009,13.0
22328,EXP,TEXT_NTL,MD,T,EU27_2020,2009,16.0
22329,EXP,TEXT_NTL,MD,T,SE,2009,16.0
24906,EXP,TEXT_SYN,MD,T,AT,2009,10.0
24907,EXP,TEXT_SYN,MD,T,BE,2009,131.0
24908,EXP,TEXT_SYN,MD,T,DE,2009,3842.0
24909,EXP,TEXT_SYN,MD,T,EU27_2020,2009,4842.0
24910,EXP,TEXT_SYN,MD,T,FI,2009,3.0
24911,EXP,TEXT_SYN,MD,T,FR,2009,81.0
24912,EXP,TEXT_SYN,MD,T,IT,2009,13.0
24913,EXP,TEXT_SYN,MD,T,NL,2009,431.0
24914,EXP,TEXT_SYN,MD,T,RO,2009,127.0
24915,EXP,TEXT_SYN,MD,T,SE,2009,191.0
24916,EXP,TEXT_SYN,MD,T,SI,2009,0.0
24917,EXP,TEXT_SYN,MD,T,SK,2009,13.0
29034,EXP,TOTAL,MD,T,AT,2009,1045.0
29035,EXP,TOTAL,MD,T,BE,2009,142.0
29036,EXP,TOTAL,MD,T,BG,2009,330.0
29037,EXP,TOTAL,MD,T,DE,2009,4324.0
29038,EXP,TOTAL,MD,T,EE,2009,0.0
29039,EXP,TOTAL,MD,T,EU27_2020,2009,34735.0
29040,EXP,TOTAL,MD,T,FI,2009,3.0
29041,EXP,TOTAL,MD,T,FR,2009,211.0
29042,EXP,TOTAL,MD,T,IT,2009,17.0
29043,EXP,TOTAL,MD,T,LT,2009,2.0
29044,EXP,TOTAL,MD,T,NL,2009,431.0
29045,EXP,TOTAL,MD,T,PL,2009,54.0
29046,EXP,TOTAL,MD,T,RO,2009,27949.0
29047,EXP,TOTAL,MD,T,SE,2009,207.0
29048,EXP,TOTAL,MD,T,SI,2009,0.0
29049,EXP,TOTAL,MD,T,SK,2009,20.0
31650,EXP,WD,MD,T,BE,2009,11.0
31651,EXP,WD,MD,T,DE,2009,1.0
31652,EXP,WD,MD,T,EU27_2020,2009,28.0
31653,EXP,WD,MD,T,FR,2009,1.0
31654,EXP,WD,MD,T,LT,2009,2.0
31655,EXP,WD,MD,T,PL,2009,2.0
31656,EXP,WD,MD,T,RO,2009,4.0
31657,EXP,WD,MD,T,SK,2009,7.0
56660,EXP,MIN,MD,T,DE,2013,5.0
56661,EXP,MIN,MD,T,EU27_2020,2013,5.0
57976,EXP,MT,MD,T,EU27_2020,2013,1618.0
57977,EXP,MT,MD,T,RO,2013,1618.0
59412,EXP,MT_FER,MD,T,EU27_2020,2013,1618.0
59413,EXP,MT_FER,MD,T,RO,2013,1618.0
64712,EXP,NSP,MD,T,EU27_2020,2013,0.0
64713,EXP,NSP,MD,T,FR,2013,0.0
64714,EXP,NSP,MD,T,RO,2013,0.0
65676,EXP,ORG,MD,T,DE,2013,0.0
65677,EXP,ORG,MD,T,EU27_2020,2013,153.0
65678,EXP,ORG,MD,T,IT,2013,42.0
65679,EXP,ORG,MD,T,RO,2013,111.0
66382,EXP,ORG_ANI,MD,T,DE,2013,0.0
66383,EXP,ORG_ANI,MD,T,EU27_2020,2013,56.0
66384,EXP,ORG_ANI,MD,T,RO,2013,56.0
66944,EXP,ORG_VEG,MD,T,DE,2013,0.0
66945,EXP,ORG_VEG,MD,T,EU27_2020,2013,97.0
66946,EXP,ORG_VEG,MD,T,IT,2013,42.0
66947,EXP,ORG_VEG,MD,T,RO,2013,56.0
68104,EXP,PAPER,MD,T,DE,2013,0.0
68105,EXP,PAPER,MD,T,EU27_2020,2013,0.0
69460,EXP,PLAST,MD,T,DE,2013,0.0
69461,EXP,PLAST,MD,T,EU27_2020,2013,5.0
69462,EXP,PLAST,MD,T,HU,2013,5.0
71658,EXP,PLAST_RUB,MD,T,BE,2013,11.0
71659,EXP,PLAST_RUB,MD,T,CZ,2013,43.0
71660,EXP,PLAST_RUB,MD,T,DE,2013,261.0
71661,EXP,PLAST_RUB,MD,T,EU27_2020,2013,405.0
71662,EXP,PLAST_RUB,MD,T,HU,2013,5.0
71663,EXP,PLAST_RUB,MD,T,IT,2013,6.0
71664,EXP,PLAST_RUB,MD,T,NL,2013,0.0
71665,EXP,PLAST_RUB,MD,T,PL,2013,72.0
71666,EXP,PLAST_RUB,MD,T,RO,2013,8.0
74140,EXP,RUB,MD,T,BE,2013,11.0
74141,EXP,RUB,MD,T,CZ,2013,43.0
74142,EXP,RUB,MD,T,DE,2013,261.0
74143,EXP,RUB,MD,T,EU27_2020,2013,400.0
74144,EXP,RUB,MD,T,IT,2013,6.0
74145,EXP,RUB,MD,T,NL,2013,0.0
74146,EXP,RUB,MD,T,PL,2013,72.0
74147,EXP,RUB,MD,T,RO,2013,8.0
77092,EXP,TEXT,MD,T,AT,2013,4.0
77093,EXP,TEXT,MD,T,BE,2013,303.0
77094,EXP,TEXT,MD,T,BG,2013,30.0
77095,EXP,TEXT,MD,T,CZ,2013,0.0
77096,EXP,TEXT,MD,T,DE,2013,4155.0
77097,EXP,TEXT,MD,T,ES,2013,26.0
77098,EXP,TEXT,MD,T,EU27_2020,2013,5102.0
77099,EXP,TEXT,MD,T,FR,2013,17.0
77100,EXP,TEXT,MD,T,HU,2013,118.0
77101,EXP,TEXT,MD,T,IT,2013,3.0
77102,EXP,TEXT,MD,T,NL,2013,173.0
77103,EXP,TEXT,MD,T,PL,2013,31.0
77104,EXP,TEXT,MD,T,RO,2013,65.0
77105,EXP,TEXT,MD,T,SE,2013,175.0
77106,EXP,TEXT,MD,T,SI,2013,2.0
79556,EXP,TEXT_NTL,MD,T,DE,2013,0.0
79557,EXP,TEXT_NTL,MD,T,ES,2013,7.0
79558,EXP,TEXT_NTL,MD,T,EU27_2020,2013,10.0
79559,EXP,TEXT_NTL,MD,T,IT,2013,3.0
82110,EXP,TEXT_SYN,MD,T,AT,2013,4.0
82111,EXP,TEXT_SYN,MD,T,BE,2013,303.0
82112,EXP,TEXT_SYN,MD,T,BG,2013,30.0
82113,EXP,TEXT_SYN,MD,T,CZ,2013,0.0
82114,EXP,TEXT_SYN,MD,T,DE,2013,4155.0
82115,EXP,TEXT_SYN,MD,T,ES,2013,19.0
82116,EXP,TEXT_SYN,MD,T,EU27_2020,2013,5092.0
