,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
806,EXP,MIN,MA,T,BE,2009,192.0
807,EXP,MIN,MA,T,ES,2009,1321.0
808,EXP,MIN,MA,T,EU27_2020,2009,2229.0
809,EXP,MIN,MA,T,FR,2009,662.0
810,EXP,MIN,MA,T,NL,2009,54.0
2130,EXP,MT,MA,T,BE,2009,122.0
2131,EXP,MT,MA,T,DE,2009,452.0
2132,EXP,MT,MA,T,DK,2009,15.0
2133,EXP,MT,MA,T,ES,2009,1687.0
2134,EXP,MT,MA,T,EU27_2020,2009,140516.0
2135,EXP,MT,MA,T,FR,2009,112131.0
2136,EXP,MT,MA,T,IT,2009,551.0
2137,EXP,MT,MA,T,NL,2009,25546.0
2138,EXP,MT,MA,T,PT,2009,12.0
3714,EXP,MT_FER,MA,T,BE,2009,91.0
3715,EXP,MT_FER,MA,T,DE,2009,402.0
3716,EXP,MT_FER,MA,T,DK,2009,15.0
3717,EXP,MT_FER,MA,T,ES,2009,1662.0
3718,EXP,MT_FER,MA,T,EU27_2020,2009,140135.0
3719,EXP,MT_FER,MA,T,FR,2009,111916.0
3720,EXP,MT_FER,MA,T,IT,2009,501.0
3721,EXP,MT_FER,MA,T,NL,2009,25536.0
3722,EXP,MT_FER,MA,T,PT,2009,12.0
5112,EXP,MT_NFER,MA,T,BE,2009,32.0
5113,EXP,MT_NFER,MA,T,DE,2009,50.0
5114,EXP,MT_NFER,MA,T,ES,2009,25.0
5115,EXP,MT_NFER,MA,T,EU27_2020,2009,381.0
5116,EXP,MT_NFER,MA,T,FR,2009,215.0
5117,EXP,MT_NFER,MA,T,IT,2009,50.0
5118,EXP,MT_NFER,MA,T,NL,2009,9.0
6308,EXP,MT_NFER_CAN,MA,T,DE,2009,50.0
6309,EXP,MT_NFER_CAN,MA,T,ES,2009,25.0
6310,EXP,MT_NFER_CAN,MA,T,EU27_2020,2009,116.0
6311,EXP,MT_NFER_CAN,MA,T,FR,2009,3.0
6312,EXP,MT_NFER_CAN,MA,T,IT,2009,39.0
7334,EXP,MT_NFER_OTH,MA,T,BE,2009,32.0
7335,EXP,MT_NFER_OTH,MA,T,DE,2009,0.0
7336,EXP,MT_NFER_OTH,MA,T,EU27_2020,2009,265.0
