,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
828,EXP,MIN,MK,T,EL,2009,0.0
829,EXP,MIN,MK,T,EU27_2020,2009,47.0
830,EXP,MIN,MK,T,HR,2009,47.0
2166,EXP,MT,MK,T,AT,2009,1.0
2167,EXP,MT,MK,T,BG,2009,120803.0
2168,EXP,MT,MK,T,DE,2009,21.0
2169,EXP,MT,MK,T,EL,2009,79.0
2170,EXP,MT,MK,T,EU27_2020,2009,121606.0
2171,EXP,MT,MK,T,HR,2009,1.0
2172,EXP,MT,MK,T,IT,2009,682.0
2173,EXP,MT,MK,T,NL,2009,3.0
2174,EXP,MT,MK,T,PL,2009,0.0
2175,EXP,MT,MK,T,SE,2009,2.0
2176,EXP,MT,MK,T,SI,2009,15.0
3750,EXP,MT_FER,MK,T,BG,2009,120802.0
3751,EXP,MT_FER,MK,T,DE,2009,21.0
3752,EXP,MT_FER,MK,T,EL,2009,79.0
3753,EXP,MT_FER,MK,T,EU27_2020,2009,120918.0
3754,EXP,MT_FER,MK,T,SE,2009,2.0
3755,EXP,MT_FER,MK,T,SI,2009,14.0
5134,EXP,MT_NFER,MK,T,AT,2009,1.0
5135,EXP,MT_NFER,MK,T,BG,2009,1.0
5136,EXP,MT_NFER,MK,T,DE,2009,0.0
5137,EXP,MT_NFER,MK,T,EU27_2020,2009,688.0
5138,EXP,MT_NFER,MK,T,HR,2009,1.0
5139,EXP,MT_NFER,MK,T,IT,2009,682.0
5140,EXP,MT_NFER,MK,T,NL,2009,3.0
5141,EXP,MT_NFER,MK,T,PL,2009,0.0
5142,EXP,MT_NFER,MK,T,SI,2009,1.0
6326,EXP,MT_NFER_CAN,MK,T,BG,2009,1.0
6327,EXP,MT_NFER_CAN,MK,T,EU27_2020,2009,1.0
6328,EXP,MT_NFER_CAN,MK,T,PL,2009,0.0
7350,EXP,MT_NFER_OTH,MK,T,AT,2009,1.0
7351,EXP,MT_NFER_OTH,MK,T,DE,2009,0.0
7352,EXP,MT_NFER_OTH,MK,T,EU27_2020,2009,687.0
7353,EXP,MT_NFER_OTH,MK,T,HR,2009,1.0
7354,EXP,MT_NFER_OTH,MK,T,IT,2009,682.0
7355,EXP,MT_NFER_OTH,MK,T,NL,2009,3.0
7356,EXP,MT_NFER_OTH,MK,T,PL,2009,0.0
7357,EXP,MT_NFER_OTH,MK,T,SI,2009,1.0
8668,EXP,NSP,MK,T,AT,2009,0.0
8669,EXP,NSP,MK,T,BG,2009,3416.0
8670,EXP,NSP,MK,T,EL,2009,0.0
8671,EXP,NSP,MK,T,EU27_2020,2009,3416.0
8672,EXP,NSP,MK,T,HU,2009,0.0
9422,EXP,ORG,MK,T,DE,2009,50.0
9423,EXP,ORG,MK,T,EL,2009,16.0
9424,EXP,ORG,MK,T,ES,2009,16.0
9425,EXP,ORG,MK,T,EU27_2020,2009,553.0
9426,EXP,ORG,MK,T,IT,2009,471.0
10582,EXP,ORG_VEG,MK,T,DE,2009,50.0
10583,EXP,ORG_VEG,MK,T,EL,2009,16.0
10584,EXP,ORG_VEG,MK,T,ES,2009,16.0
10585,EXP,ORG_VEG,MK,T,EU27_2020,2009,553.0
10586,EXP,ORG_VEG,MK,T,IT,2009,471.0
11630,EXP,PAPER,MK,T,BG,2009,312.0
11631,EXP,PAPER,MK,T,DE,2009,241.0
11632,EXP,PAPER,MK,T,EL,2009,5.0
11633,EXP,PAPER,MK,T,EU27_2020,2009,582.0
11634,EXP,PAPER,MK,T,HR,2009,2.0
11635,EXP,PAPER,MK,T,SI,2009,23.0
12854,EXP,PLAST,MK,T,BG,2009,1180.0
12855,EXP,PLAST,MK,T,DE,2009,33.0
12856,EXP,PLAST,MK,T,EL,2009,183.0
12857,EXP,PLAST,MK,T,EU27_2020,2009,1514.0
12858,EXP,PLAST,MK,T,FR,2009,66.0
12859,EXP,PLAST,MK,T,NL,2009,13.0
12860,EXP,PLAST,MK,T,RO,2009,40.0
14852,EXP,PLAST_RUB,MK,T,AT,2009,4.0
14853,EXP,PLAST_RUB,MK,T,BG,2009,1191.0
14854,EXP,PLAST_RUB,MK,T,DE,2009,97.0
14855,EXP,PLAST_RUB,MK,T,EL,2009,225.0
14856,EXP,PLAST_RUB,MK,T,EU27_2020,2009,1640.0
14857,EXP,PLAST_RUB,MK,T,FR,2009,66.0
14858,EXP,PLAST_RUB,MK,T,NL,2009,13.0
14859,EXP,PLAST_RUB,MK,T,RO,2009,40.0
14860,EXP,PLAST_RUB,MK,T,SI,2009,5.0
17022,EXP,RUB,MK,T,AT,2009,4.0
17023,EXP,RUB,MK,T,BG,2009,11.0
17024,EXP,RUB,MK,T,DE,2009,64.0
17025,EXP,RUB,MK,T,EL,2009,43.0
17026,EXP,RUB,MK,T,EU27_2020,2009,126.0
17027,EXP,RUB,MK,T,SI,2009,5.0
19930,EXP,TEXT,MK,T,AT,2009,0.0
19931,EXP,TEXT,MK,T,BE,2009,1.0
19932,EXP,TEXT,MK,T,BG,2009,2.0
19933,EXP,TEXT,MK,T,DE,2009,45.0
19934,EXP,TEXT,MK,T,DK,2009,49.0
19935,EXP,TEXT,MK,T,EL,2009,206.0
19936,EXP,TEXT,MK,T,EU27_2020,2009,351.0
19937,EXP,TEXT,MK,T,HR,2009,6.0
19938,EXP,TEXT,MK,T,HU,2009,2.0
19939,EXP,TEXT,MK,T,IE,2009,0.0
19940,EXP,TEXT,MK,T,IT,2009,0.0
19941,EXP,TEXT,MK,T,PL,2009,5.0
