,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
252,EXP,GLAS,NO,T,BE,2009,0.0
253,EXP,GLAS,NO,T,DE,2009,39.0
254,EXP,GLAS,NO,T,DK,2009,0.0
255,EXP,GLAS,NO,T,EU27_2020,2009,14078.0
256,EXP,GLAS,NO,T,FR,2009,26.0
257,EXP,GLAS,NO,T,IE,2009,0.0
258,EXP,GLAS,NO,T,LT,2009,615.0
259,EXP,GLAS,NO,T,SE,2009,13399.0
874,EXP,MIN,NO,T,BE,2009,5643.0
875,EXP,MIN,NO,T,DE,2009,21884.0
876,EXP,MIN,NO,T,DK,2009,132005.0
877,EXP,MIN,NO,T,EE,2009,18.0
878,EXP,MIN,NO,T,EU27_2020,2009,309062.0
879,EXP,MIN,NO,T,FI,2009,992.0
880,EXP,MIN,NO,T,FR,2009,26138.0
881,EXP,MIN,NO,T,NL,2009,6819.0
882,EXP,MIN,NO,T,SE,2009,115562.0
2282,EXP,MT,NO,T,BE,2009,272.0
2283,EXP,MT,NO,T,DE,2009,22149.0
2284,EXP,MT,NO,T,DK,2009,13676.0
2285,EXP,MT,NO,T,EE,2009,3215.0
2286,EXP,MT,NO,T,ES,2009,0.0
2287,EXP,MT,NO,T,EU27_2020,2009,144360.0
2288,EXP,MT,NO,T,FI,2009,3831.0
2289,EXP,MT,NO,T,FR,2009,1078.0
2290,EXP,MT,NO,T,IT,2009,0.0
2291,EXP,MT,NO,T,LT,2009,178.0
2292,EXP,MT,NO,T,LV,2009,4359.0
2293,EXP,MT,NO,T,NL,2009,2897.0
2294,EXP,MT,NO,T,PL,2009,94.0
2295,EXP,MT,NO,T,RO,2009,332.0
2296,EXP,MT,NO,T,SE,2009,92278.0
3824,EXP,MT_FER,NO,T,DE,2009,9399.0
3825,EXP,MT_FER,NO,T,DK,2009,10220.0
3826,EXP,MT_FER,NO,T,EE,2009,3016.0
3827,EXP,MT_FER,NO,T,EU27_2020,2009,78790.0
3828,EXP,MT_FER,NO,T,FI,2009,2986.0
3829,EXP,MT_FER,NO,T,IT,2009,0.0
3830,EXP,MT_FER,NO,T,LV,2009,3983.0
3831,EXP,MT_FER,NO,T,NL,2009,6.0
3832,EXP,MT_FER,NO,T,PL,2009,94.0
3833,EXP,MT_FER,NO,T,SE,2009,49086.0
5218,EXP,MT_NFER,NO,T,BE,2009,272.0
5219,EXP,MT_NFER,NO,T,DE,2009,12750.0
5220,EXP,MT_NFER,NO,T,DK,2009,3456.0
5221,EXP,MT_NFER,NO,T,EE,2009,199.0
5222,EXP,MT_NFER,NO,T,ES,2009,0.0
5223,EXP,MT_NFER,NO,T,EU27_2020,2009,65571.0
5224,EXP,MT_NFER,NO,T,FI,2009,845.0
5225,EXP,MT_NFER,NO,T,FR,2009,1078.0
5226,EXP,MT_NFER,NO,T,IT,2009,0.0
5227,EXP,MT_NFER,NO,T,LT,2009,178.0
5228,EXP,MT_NFER,NO,T,LV,2009,376.0
5229,EXP,MT_NFER,NO,T,NL,2009,2891.0
5230,EXP,MT_NFER,NO,T,PL,2009,0.0
5231,EXP,MT_NFER,NO,T,RO,2009,332.0
5232,EXP,MT_NFER,NO,T,SE,2009,43193.0
6370,EXP,MT_NFER_CAN,NO,T,BE,2009,27.0
6371,EXP,MT_NFER_CAN,NO,T,DE,2009,12750.0
6372,EXP,MT_NFER_CAN,NO,T,DK,2009,2544.0
6373,EXP,MT_NFER_CAN,NO,T,EU27_2020,2009,26219.0
6374,EXP,MT_NFER_CAN,NO,T,FI,2009,181.0
6375,EXP,MT_NFER_CAN,NO,T,FR,2009,1078.0
6376,EXP,MT_NFER_CAN,NO,T,LT,2009,2.0
6377,EXP,MT_NFER_CAN,NO,T,LV,2009,252.0
6378,EXP,MT_NFER_CAN,NO,T,NL,2009,2889.0
6379,EXP,MT_NFER_CAN,NO,T,RO,2009,332.0
6380,EXP,MT_NFER_CAN,NO,T,SE,2009,6165.0
7416,EXP,MT_NFER_OTH,NO,T,BE,2009,245.0
7417,EXP,MT_NFER_OTH,NO,T,DE,2009,0.0
7418,EXP,MT_NFER_OTH,NO,T,DK,2009,912.0
7419,EXP,MT_NFER_OTH,NO,T,EE,2009,199.0
7420,EXP,MT_NFER_OTH,NO,T,EU27_2020,2009,39331.0
7421,EXP,MT_NFER_OTH,NO,T,FI,2009,653.0
7422,EXP,MT_NFER_OTH,NO,T,FR,2009,0.0
7423,EXP,MT_NFER_OTH,NO,T,LT,2009,176.0
7424,EXP,MT_NFER_OTH,NO,T,LV,2009,124.0
7425,EXP,MT_NFER_OTH,NO,T,NL,2009,2.0
7426,EXP,MT_NFER_OTH,NO,T,PL,2009,0.0
7427,EXP,MT_NFER_OTH,NO,T,SE,2009,37020.0
8000,EXP,MT_NFER_PRE,NO,T,DE,2009,0.0
8001,EXP,MT_NFER_PRE,NO,T,DK,2009,1.0
8002,EXP,MT_NFER_PRE,NO,T,ES,2009,0.0
8003,EXP,MT_NFER_PRE,NO,T,EU27_2020,2009,20.0
8004,EXP,MT_NFER_PRE,NO,T,FI,2009,11.0
8005,EXP,MT_NFER_PRE,NO,T,FR,2009,0.0
8006,EXP,MT_NFER_PRE,NO,T,IT,2009,0.0
8007,EXP,MT_NFER_PRE,NO,T,NL,2009,0.0
8008,EXP,MT_NFER_PRE,NO,T,SE,2009,8.0
8724,EXP,NSP,NO,T,AT,2009,2.0
8725,EXP,NSP,NO,T,BE,2009,193.0
8726,EXP,NSP,NO,T,DK,2009,34181.0
8727,EXP,NSP,NO,T,EU27_2020,2009,42850.0
8728,EXP,NSP,NO,T,FI,2009,0.0
8729,EXP,NSP,NO,T,FR,2009,0.0
8730,EXP,NSP,NO,T,NL,2009,55.0
8731,EXP,NSP,NO,T,SE,2009,8418.0
9470,EXP,ORG,NO,T,BE,2009,72.0
9471,EXP,ORG,NO,T,CZ,2009,0.0
9472,EXP,ORG,NO,T,DE,2009,80.0
9473,EXP,ORG,NO,T,DK,2009,59.0
9474,EXP,ORG,NO,T,EU27_2020,2009,740.0
9475,EXP,ORG,NO,T,FI,2009,0.0
9476,EXP,ORG,NO,T,FR,2009,2.0
9477,EXP,ORG,NO,T,IT,2009,289.0
9478,EXP,ORG,NO,T,NL,2009,26.0
9479,EXP,ORG,NO,T,SE,2009,213.0
10082,EXP,ORG_ANI,NO,T,BE,2009,0.0
10083,EXP,ORG_ANI,NO,T,CZ,2009,0.0
10084,EXP,ORG_ANI,NO,T,DE,2009,79.0
10085,EXP,ORG_ANI,NO,T,DK,2009,57.0
10086,EXP,ORG_ANI,NO,T,EU27_2020,2009,411.0
10087,EXP,ORG_ANI,NO,T,FI,2009,0.0
10088,EXP,ORG_ANI,NO,T,IT,2009,144.0
10089,EXP,ORG_ANI,NO,T,NL,2009,13.0
10090,EXP,ORG_ANI,NO,T,SE,2009,118.0
10622,EXP,ORG_VEG,NO,T,BE,2009,71.0
10623,EXP,ORG_VEG,NO,T,DE,2009,1.0
10624,EXP,ORG_VEG,NO,T,DK,2009,2.0
10625,EXP,ORG_VEG,NO,T,EU27_2020,2009,328.0
10626,EXP,ORG_VEG,NO,T,FR,2009,2.0
10627,EXP,ORG_VEG,NO,T,IT,2009,144.0
10628,EXP,ORG_VEG,NO,T,NL,2009,13.0
10629,EXP,ORG_VEG,NO,T,SE,2009,95.0
11706,EXP,PAPER,NO,T,AT,2009,1.0
11707,EXP,PAPER,NO,T,BE,2009,809.0
11708,EXP,PAPER,NO,T,DE,2009,51.0
11709,EXP,PAPER,NO,T,DK,2009,5804.0
11710,EXP,PAPER,NO,T,ES,2009,419.0
11711,EXP,PAPER,NO,T,EU27_2020,2009,64898.0
11712,EXP,PAPER,NO,T,FI,2009,1730.0
11713,EXP,PAPER,NO,T,IE,2009,1.0
11714,EXP,PAPER,NO,T,LV,2009,3.0
11715,EXP,PAPER,NO,T,NL,2009,12881.0
11716,EXP,PAPER,NO,T,PL,2009,53.0
11717,EXP,PAPER,NO,T,PT,2009,2.0
11718,EXP,PAPER,NO,T,SE,2009,43145.0
12948,EXP,PLAST,NO,T,AT,2009,23.0
12949,EXP,PLAST,NO,T,BE,2009,9.0
12950,EXP,PLAST,NO,T,DE,2009,107.0
12951,EXP,PLAST,NO,T,DK,2009,157.0
12952,EXP,PLAST,NO,T,EU27_2020,2009,1111.0
12953,EXP,PLAST,NO,T,FI,2009,1.0
12954,EXP,PLAST,NO,T,IT,2009,1.0
12955,EXP,PLAST,NO,T,LT,2009,343.0
12956,EXP,PLAST,NO,T,NL,2009,382.0
12957,EXP,PLAST,NO,T,PL,2009,16.0
12958,EXP,PLAST,NO,T,SE,2009,73.0
15050,EXP,PLAST_RUB,NO,T,AT,2009,249.0
15051,EXP,PLAST_RUB,NO,T,BE,2009,9.0
15052,EXP,PLAST_RUB,NO,T,DE,2009,571.0
15053,EXP,PLAST_RUB,NO,T,DK,2009,5674.0
15054,EXP,PLAST_RUB,NO,T,EU27_2020,2009,10805.0
15055,EXP,PLAST_RUB,NO,T,FI,2009,1.0
15056,EXP,PLAST_RUB,NO,T,FR,2009,14.0
15057,EXP,PLAST_RUB,NO,T,IT,2009,151.0
15058,EXP,PLAST_RUB,NO,T,LT,2009,343.0
15059,EXP,PLAST_RUB,NO,T,NL,2009,2108.0
15060,EXP,PLAST_RUB,NO,T,PL,2009,16.0
