,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
906,EXP,MIN,PK,T,EU27_2020,2009,324.0
907,EXP,MIN,PK,T,NL,2009,324.0
2374,EXP,MT,PK,T,AT,2009,1395.0
2375,EXP,MT,PK,T,BE,2009,26820.0
2376,EXP,MT,PK,T,BG,2009,2403.0
2377,EXP,MT,PK,T,CY,2009,299.0
2378,EXP,MT,PK,T,CZ,2009,316.0
2379,EXP,MT,PK,T,DE,2009,48738.0
2380,EXP,MT,PK,T,DK,2009,1983.0
2381,EXP,MT,PK,T,EE,2009,362.0
2382,EXP,MT,PK,T,EL,2009,2703.0
2383,EXP,MT,PK,T,ES,2009,9170.0
2384,EXP,MT,PK,T,EU27_2020,2009,417608.0
2385,EXP,MT,PK,T,FI,2009,15894.0
2386,EXP,MT,PK,T,FR,2009,17837.0
2387,EXP,MT,PK,T,HU,2009,37.0
2388,EXP,MT,PK,T,IE,2009,432.0
2389,EXP,MT,PK,T,IT,2009,57302.0
2390,EXP,MT,PK,T,LT,2009,904.0
2391,EXP,MT,PK,T,LV,2009,1004.0
2392,EXP,MT,PK,T,MT,2009,165.0
2393,EXP,MT,PK,T,NL,2009,94565.0
2394,EXP,MT,PK,T,PL,2009,3703.0
2395,EXP,MT,PK,T,PT,2009,789.0
2396,EXP,MT,PK,T,RO,2009,1432.0
2397,EXP,MT,PK,T,SE,2009,129357.0
3882,EXP,MT_FER,PK,T,BE,2009,21882.0
3883,EXP,MT_FER,PK,T,BG,2009,2283.0
3884,EXP,MT_FER,PK,T,CY,2009,127.0
3885,EXP,MT_FER,PK,T,CZ,2009,316.0
3886,EXP,MT_FER,PK,T,DE,2009,39931.0
3887,EXP,MT_FER,PK,T,DK,2009,341.0
3888,EXP,MT_FER,PK,T,EE,2009,212.0
3889,EXP,MT_FER,PK,T,EL,2009,2177.0
3890,EXP,MT_FER,PK,T,ES,2009,5747.0
3891,EXP,MT_FER,PK,T,EU27_2020,2009,349803.0
3892,EXP,MT_FER,PK,T,FI,2009,13324.0
3893,EXP,MT_FER,PK,T,FR,2009,11702.0
3894,EXP,MT_FER,PK,T,HU,2009,37.0
