,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
276,EXP,GLAS,RU,T,DE,2009,0.0
277,EXP,GLAS,RU,T,EE,2009,382.0
278,EXP,GLAS,RU,T,EU27_2020,2009,3019.0
279,EXP,GLAS,RU,T,FI,2009,389.0
280,EXP,GLAS,RU,T,LV,2009,2248.0
916,EXP,MIN,RU,T,BE,2009,755.0
917,EXP,MIN,RU,T,DE,2009,5511.0
918,EXP,MIN,RU,T,EE,2009,7292.0
919,EXP,MIN,RU,T,EU27_2020,2009,14967.0
920,EXP,MIN,RU,T,LV,2009,1406.0
921,EXP,MIN,RU,T,NL,2009,3.0
2462,EXP,MT,RU,T,AT,2009,0.0
2463,EXP,MT,RU,T,BE,2009,160.0
2464,EXP,MT,RU,T,DE,2009,21.0
2465,EXP,MT,RU,T,DK,2009,5.0
2466,EXP,MT,RU,T,EU27_2020,2009,244.0
2467,EXP,MT,RU,T,FR,2009,0.0
2468,EXP,MT,RU,T,IT,2009,1.0
2469,EXP,MT,RU,T,LT,2009,0.0
2470,EXP,MT,RU,T,LV,2009,27.0
2471,EXP,MT,RU,T,NL,2009,29.0
2472,EXP,MT,RU,T,PL,2009,1.0
3956,EXP,MT_FER,RU,T,DE,2009,11.0
3957,EXP,MT_FER,RU,T,EU27_2020,2009,16.0
3958,EXP,MT_FER,RU,T,IT,2009,0.0
3959,EXP,MT_FER,RU,T,LT,2009,0.0
3960,EXP,MT_FER,RU,T,NL,2009,4.0
5354,EXP,MT_NFER,RU,T,AT,2009,0.0
5355,EXP,MT_NFER,RU,T,BE,2009,160.0
5356,EXP,MT_NFER,RU,T,DE,2009,10.0
5357,EXP,MT_NFER,RU,T,DK,2009,5.0
5358,EXP,MT_NFER,RU,T,EU27_2020,2009,228.0
5359,EXP,MT_NFER,RU,T,FR,2009,0.0
5360,EXP,MT_NFER,RU,T,IT,2009,1.0
5361,EXP,MT_NFER,RU,T,LT,2009,0.0
5362,EXP,MT_NFER,RU,T,LV,2009,27.0
5363,EXP,MT_NFER,RU,T,NL,2009,25.0
5364,EXP,MT_NFER,RU,T,PL,2009,1.0
6456,EXP,MT_NFER_CAN,RU,T,DE,2009,0.0
6457,EXP,MT_NFER_CAN,RU,T,DK,2009,1.0
6458,EXP,MT_NFER_CAN,RU,T,EU27_2020,2009,40.0
6459,EXP,MT_NFER_CAN,RU,T,LT,2009,0.0
6460,EXP,MT_NFER_CAN,RU,T,LV,2009,27.0
6461,EXP,MT_NFER_CAN,RU,T,NL,2009,12.0
7508,EXP,MT_NFER_OTH,RU,T,AT,2009,0.0
7509,EXP,MT_NFER_OTH,RU,T,BE,2009,160.0
7510,EXP,MT_NFER_OTH,RU,T,DE,2009,10.0
7511,EXP,MT_NFER_OTH,RU,T,DK,2009,4.0
