,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
910,EXP,MIN,RS,T,AT,2009,2.0
911,EXP,MIN,RS,T,EL,2009,204.0
912,EXP,MIN,RS,T,EU27_2020,2009,206.0
2440,EXP,MT,RS,T,AT,2009,127.0
2441,EXP,MT,RS,T,BE,2009,10.0
2442,EXP,MT,RS,T,BG,2009,423.0
2443,EXP,MT,RS,T,DE,2009,13.0
2444,EXP,MT,RS,T,EU27_2020,2009,13531.0
2445,EXP,MT,RS,T,FR,2009,7.0
2446,EXP,MT,RS,T,HR,2009,10029.0
2447,EXP,MT,RS,T,HU,2009,139.0
2448,EXP,MT,RS,T,IT,2009,14.0
2449,EXP,MT,RS,T,NL,2009,0.0
2450,EXP,MT,RS,T,SI,2009,2770.0
3946,EXP,MT_FER,RS,T,AT,2009,2.0
3947,EXP,MT_FER,RS,T,BG,2009,394.0
3948,EXP,MT_FER,RS,T,EU27_2020,2009,9667.0
3949,EXP,MT_FER,RS,T,HR,2009,9135.0
3950,EXP,MT_FER,RS,T,HU,2009,136.0
5332,EXP,MT_NFER,RS,T,AT,2009,125.0
5333,EXP,MT_NFER,RS,T,BE,2009,10.0
5334,EXP,MT_NFER,RS,T,BG,2009,29.0
5335,EXP,MT_NFER,RS,T,DE,2009,13.0
5336,EXP,MT_NFER,RS,T,EU27_2020,2009,3864.0
5337,EXP,MT_NFER,RS,T,FR,2009,7.0
5338,EXP,MT_NFER,RS,T,HR,2009,895.0
5339,EXP,MT_NFER,RS,T,HU,2009,3.0
5340,EXP,MT_NFER,RS,T,IT,2009,14.0
5341,EXP,MT_NFER,RS,T,NL,2009,0.0
5342,EXP,MT_NFER,RS,T,SI,2009,2770.0
6444,EXP,MT_NFER_CAN,RS,T,DE,2009,8.0
6445,EXP,MT_NFER_CAN,RS,T,EU27_2020,2009,3484.0
6446,EXP,MT_NFER_CAN,RS,T,FR,2009,7.0
6447,EXP,MT_NFER_CAN,RS,T,HR,2009,704.0
6448,EXP,MT_NFER_CAN,RS,T,NL,2009,0.0
6449,EXP,MT_NFER_CAN,RS,T,SI,2009,2765.0
7490,EXP,MT_NFER_OTH,RS,T,AT,2009,125.0
7491,EXP,MT_NFER_OTH,RS,T,BE,2009,10.0
7492,EXP,MT_NFER_OTH,RS,T,BG,2009,27.0
7493,EXP,MT_NFER_OTH,RS,T,DE,2009,5.0
7494,EXP,MT_NFER_OTH,RS,T,EU27_2020,2009,379.0
7495,EXP,MT_NFER_OTH,RS,T,HR,2009,191.0
7496,EXP,MT_NFER_OTH,RS,T,HU,2009,3.0
7497,EXP,MT_NFER_OTH,RS,T,IT,2009,14.0
7498,EXP,MT_NFER_OTH,RS,T,SI,2009,5.0
8018,EXP,MT_NFER_PRE,RS,T,BG,2009,2.0
8019,EXP,MT_NFER_PRE,RS,T,EU27_2020,2009,2.0
8782,EXP,NSP,RS,T,AT,2009,37.0
8783,EXP,NSP,RS,T,DE,2009,308.0
8784,EXP,NSP,RS,T,EU27_2020,2009,1222.0
8785,EXP,NSP,RS,T,FR,2009,0.0
8786,EXP,NSP,RS,T,HR,2009,0.0
8787,EXP,NSP,RS,T,HU,2009,0.0
8788,EXP,NSP,RS,T,IT,2009,877.0
8789,EXP,NSP,RS,T,SE,2009,0.0
8790,EXP,NSP,RS,T,SI,2009,1.0
9522,EXP,ORG,RS,T,BE,2009,15.0
9523,EXP,ORG,RS,T,BG,2009,30.0
9524,EXP,ORG,RS,T,DE,2009,20.0
9525,EXP,ORG,RS,T,EL,2009,223.0
9526,EXP,ORG,RS,T,ES,2009,151.0
9527,EXP,ORG,RS,T,EU27_2020,2009,947.0
9528,EXP,ORG,RS,T,FR,2009,23.0
9529,EXP,ORG,RS,T,HR,2009,39.0
9530,EXP,ORG,RS,T,HU,2009,63.0
9531,EXP,ORG,RS,T,IT,2009,383.0
10118,EXP,ORG_ANI,RS,T,EU27_2020,2009,73.0
10119,EXP,ORG_ANI,RS,T,FR,2009,23.0
10120,EXP,ORG_ANI,RS,T,IT,2009,50.0
10664,EXP,ORG_VEG,RS,T,BE,2009,15.0
10665,EXP,ORG_VEG,RS,T,BG,2009,30.0
10666,EXP,ORG_VEG,RS,T,DE,2009,20.0
10667,EXP,ORG_VEG,RS,T,EL,2009,223.0
