,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
210,EXP,GLAS,KR,T,DE,2009,15059.0
211,EXP,GLAS,KR,T,EU27_2020,2009,17699.0
212,EXP,GLAS,KR,T,FR,2009,1670.0
213,EXP,GLAS,KR,T,IE,2009,53.0
214,EXP,GLAS,KR,T,IT,2009,917.0
764,EXP,MIN,KR,T,DE,2009,1276.0
765,EXP,MIN,KR,T,ES,2009,179.0
766,EXP,MIN,KR,T,EU27_2020,2009,5486.0
767,EXP,MIN,KR,T,IT,2009,170.0
768,EXP,MIN,KR,T,NL,2009,3861.0
2022,EXP,MT,KR,T,AT,2009,73.0
2023,EXP,MT,KR,T,BE,2009,5830.0
2024,EXP,MT,KR,T,BG,2009,2194.0
2025,EXP,MT,KR,T,CY,2009,1442.0
2026,EXP,MT,KR,T,CZ,2009,2578.0
2027,EXP,MT,KR,T,DE,2009,22425.0
2028,EXP,MT,KR,T,DK,2009,64.0
2029,EXP,MT,KR,T,EE,2009,18670.0
2030,EXP,MT,KR,T,EL,2009,902.0
2031,EXP,MT,KR,T,ES,2009,975.0
2032,EXP,MT,KR,T,EU27_2020,2009,151370.0
2033,EXP,MT,KR,T,FI,2009,3441.0
2034,EXP,MT,KR,T,FR,2009,9846.0
2035,EXP,MT,KR,T,HU,2009,282.0
2036,EXP,MT,KR,T,IE,2009,759.0
2037,EXP,MT,KR,T,IT,2009,1749.0
2038,EXP,MT,KR,T,LT,2009,1827.0
2039,EXP,MT,KR,T,LV,2009,1790.0
2040,EXP,MT,KR,T,NL,2009,30372.0
2041,EXP,MT,KR,T,PL,2009,3281.0
2042,EXP,MT,KR,T,PT,2009,723.0
2043,EXP,MT,KR,T,RO,2009,6265.0
2044,EXP,MT,KR,T,SE,2009,35885.0
3636,EXP,MT_FER,KR,T,BE,2009,957.0
3637,EXP,MT_FER,KR,T,CZ,2009,20.0
3638,EXP,MT_FER,KR,T,DE,2009,11677.0
3639,EXP,MT_FER,KR,T,EE,2009,18633.0
3640,EXP,MT_FER,KR,T,EL,2009,20.0
3641,EXP,MT_FER,KR,T,ES,2009,262.0
3642,EXP,MT_FER,KR,T,EU27_2020,2009,102878.0
3643,EXP,MT_FER,KR,T,FI,2009,2025.0
3644,EXP,MT_FER,KR,T,FR,2009,9428.0
3645,EXP,MT_FER,KR,T,IE,2009,81.0
3646,EXP,MT_FER,KR,T,IT,2009,1014.0
3647,EXP,MT_FER,KR,T,LT,2009,1760.0
3648,EXP,MT_FER,KR,T,LV,2009,1692.0
3649,EXP,MT_FER,KR,T,NL,2009,25084.0
3650,EXP,MT_FER,KR,T,PL,2009,2009.0
3651,EXP,MT_FER,KR,T,SE,2009,28216.0
5034,EXP,MT_NFER,KR,T,AT,2009,73.0
5035,EXP,MT_NFER,KR,T,BE,2009,4873.0
5036,EXP,MT_NFER,KR,T,BG,2009,2194.0
5037,EXP,MT_NFER,KR,T,CY,2009,1442.0
5038,EXP,MT_NFER,KR,T,CZ,2009,2558.0
5039,EXP,MT_NFER,KR,T,DE,2009,10748.0
5040,EXP,MT_NFER,KR,T,DK,2009,64.0
5041,EXP,MT_NFER,KR,T,EE,2009,37.0
5042,EXP,MT_NFER,KR,T,EL,2009,881.0
5043,EXP,MT_NFER,KR,T,ES,2009,712.0
5044,EXP,MT_NFER,KR,T,EU27_2020,2009,48491.0
5045,EXP,MT_NFER,KR,T,FI,2009,1416.0
5046,EXP,MT_NFER,KR,T,FR,2009,418.0
5047,EXP,MT_NFER,KR,T,HU,2009,282.0
5048,EXP,MT_NFER,KR,T,IE,2009,678.0
5049,EXP,MT_NFER,KR,T,IT,2009,735.0
5050,EXP,MT_NFER,KR,T,LT,2009,67.0
5051,EXP,MT_NFER,KR,T,LV,2009,98.0
5052,EXP,MT_NFER,KR,T,NL,2009,5287.0
5053,EXP,MT_NFER,KR,T,PL,2009,1273.0
5054,EXP,MT_NFER,KR,T,PT,2009,723.0
5055,EXP,MT_NFER,KR,T,RO,2009,6265.0
5056,EXP,MT_NFER,KR,T,SE,2009,7669.0
6256,EXP,MT_NFER_CAN,KR,T,AT,2009,73.0
6257,EXP,MT_NFER_CAN,KR,T,BE,2009,4543.0
6258,EXP,MT_NFER_CAN,KR,T,BG,2009,2143.0
6259,EXP,MT_NFER_CAN,KR,T,CY,2009,1442.0
6260,EXP,MT_NFER_CAN,KR,T,CZ,2009,2558.0
6261,EXP,MT_NFER_CAN,KR,T,DE,2009,9746.0
6262,EXP,MT_NFER_CAN,KR,T,DK,2009,64.0
6263,EXP,MT_NFER_CAN,KR,T,EE,2009,37.0
6264,EXP,MT_NFER_CAN,KR,T,EL,2009,881.0
6265,EXP,MT_NFER_CAN,KR,T,ES,2009,712.0
6266,EXP,MT_NFER_CAN,KR,T,EU27_2020,2009,46325.0
6267,EXP,MT_NFER_CAN,KR,T,FI,2009,1378.0
6268,EXP,MT_NFER_CAN,KR,T,FR,2009,417.0
6269,EXP,MT_NFER_CAN,KR,T,HU,2009,264.0
6270,EXP,MT_NFER_CAN,KR,T,IE,2009,678.0
6271,EXP,MT_NFER_CAN,KR,T,IT,2009,722.0
6272,EXP,MT_NFER_CAN,KR,T,LT,2009,67.0
6273,EXP,MT_NFER_CAN,KR,T,LV,2009,98.0
6274,EXP,MT_NFER_CAN,KR,T,NL,2009,5190.0
6275,EXP,MT_NFER_CAN,KR,T,PL,2009,1273.0
6276,EXP,MT_NFER_CAN,KR,T,PT,2009,702.0
6277,EXP,MT_NFER_CAN,KR,T,RO,2009,5669.0
6278,EXP,MT_NFER_CAN,KR,T,SE,2009,7669.0
7278,EXP,MT_NFER_OTH,KR,T,BE,2009,330.0
7279,EXP,MT_NFER_OTH,KR,T,BG,2009,20.0
7280,EXP,MT_NFER_OTH,KR,T,DE,2009,1002.0
7281,EXP,MT_NFER_OTH,KR,T,DK,2009,0.0
7282,EXP,MT_NFER_OTH,KR,T,EU27_2020,2009,2135.0
7283,EXP,MT_NFER_OTH,KR,T,FI,2009,38.0
7284,EXP,MT_NFER_OTH,KR,T,FR,2009,1.0
7285,EXP,MT_NFER_OTH,KR,T,HU,2009,18.0
7286,EXP,MT_NFER_OTH,KR,T,IE,2009,0.0
7287,EXP,MT_NFER_OTH,KR,T,IT,2009,13.0
7288,EXP,MT_NFER_OTH,KR,T,NL,2009,97.0
7289,EXP,MT_NFER_OTH,KR,T,PT,2009,21.0
7290,EXP,MT_NFER_OTH,KR,T,RO,2009,596.0
7988,EXP,MT_NFER_PRE,KR,T,BG,2009,31.0
7989,EXP,MT_NFER_PRE,KR,T,EU27_2020,2009,31.0
8600,EXP,NSP,KR,T,BE,2009,0.0
8601,EXP,NSP,KR,T,DE,2009,2.0
8602,EXP,NSP,KR,T,EU27_2020,2009,230.0
8603,EXP,NSP,KR,T,IT,2009,0.0
8604,EXP,NSP,KR,T,NL,2009,227.0
9370,EXP,ORG,KR,T,DE,2009,18.0
9371,EXP,ORG,KR,T,EU27_2020,2009,101.0
9372,EXP,ORG,KR,T,FR,2009,14.0
9373,EXP,ORG,KR,T,IT,2009,69.0
10044,EXP,ORG_ANI,KR,T,EU27_2020,2009,12.0
10045,EXP,ORG_ANI,KR,T,FR,2009,12.0
10544,EXP,ORG_VEG,KR,T,DE,2009,18.0
10545,EXP,ORG_VEG,KR,T,EU27_2020,2009,89.0
10546,EXP,ORG_VEG,KR,T,FR,2009,1.0
10547,EXP,ORG_VEG,KR,T,IT,2009,69.0
11542,EXP,PAPER,KR,T,BE,2009,24750.0
11543,EXP,PAPER,KR,T,DE,2009,41598.0
11544,EXP,PAPER,KR,T,EE,2009,448.0
11545,EXP,PAPER,KR,T,EL,2009,12190.0
11546,EXP,PAPER,KR,T,ES,2009,1587.0
