,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
32,EXP,GLAS,CH,T,AT,2009,1097.0
33,EXP,GLAS,CH,T,BE,2009,308.0
34,EXP,GLAS,CH,T,DE,2009,8700.0
35,EXP,GLAS,CH,T,EU27_2020,2009,16525.0
36,EXP,GLAS,CH,T,FR,2009,6260.0
37,EXP,GLAS,CH,T,IE,2009,0.0
38,EXP,GLAS,CH,T,IT,2009,161.0
470,EXP,MIN,CH,T,AT,2009,10.0
471,EXP,MIN,CH,T,BE,2009,4.0
472,EXP,MIN,CH,T,CZ,2009,0.0
473,EXP,MIN,CH,T,DE,2009,54301.0
474,EXP,MIN,CH,T,DK,2009,1.0
475,EXP,MIN,CH,T,ES,2009,1.0
476,EXP,MIN,CH,T,EU27_2020,2009,108698.0
477,EXP,MIN,CH,T,FR,2009,53263.0
478,EXP,MIN,CH,T,HU,2009,1.0
479,EXP,MIN,CH,T,IE,2009,1.0
480,EXP,MIN,CH,T,IT,2009,1089.0
481,EXP,MIN,CH,T,NL,2009,28.0
1346,EXP,MT,CH,T,AT,2009,20564.0
1347,EXP,MT,CH,T,BE,2009,2030.0
1348,EXP,MT,CH,T,CZ,2009,53.0
1349,EXP,MT,CH,T,DE,2009,234621.0
1350,EXP,MT,CH,T,DK,2009,0.0
1351,EXP,MT,CH,T,EL,2009,21.0
1352,EXP,MT,CH,T,ES,2009,207.0
1353,EXP,MT,CH,T,EU27_2020,2009,350175.0
1354,EXP,MT,CH,T,FI,2009,102.0
1355,EXP,MT,CH,T,FR,2009,74701.0
1356,EXP,MT,CH,T,HR,2009,574.0
1357,EXP,MT,CH,T,HU,2009,0.0
1358,EXP,MT,CH,T,IE,2009,1.0
1359,EXP,MT,CH,T,IT,2009,1855.0
1360,EXP,MT,CH,T,LU,2009,0.0
1361,EXP,MT,CH,T,LV,2009,13655.0
1362,EXP,MT,CH,T,NL,2009,1787.0
1363,EXP,MT,CH,T,PL,2009,0.0
1364,EXP,MT,CH,T,SE,2009,4.0
3138,EXP,MT_FER,CH,T,AT,2009,20296.0
3139,EXP,MT_FER,CH,T,CZ,2009,10.0
3140,EXP,MT_FER,CH,T,DE,2009,215496.0
3141,EXP,MT_FER,CH,T,DK,2009,0.0
3142,EXP,MT_FER,CH,T,ES,2009,24.0
3143,EXP,MT_FER,CH,T,EU27_2020,2009,323869.0
3144,EXP,MT_FER,CH,T,FI,2009,37.0
3145,EXP,MT_FER,CH,T,FR,2009,71846.0
3146,EXP,MT_FER,CH,T,HR,2009,542.0
3147,EXP,MT_FER,CH,T,IE,2009,1.0
3148,EXP,MT_FER,CH,T,IT,2009,346.0
3149,EXP,MT_FER,CH,T,LV,2009,13655.0
3150,EXP,MT_FER,CH,T,NL,2009,1615.0
3151,EXP,MT_FER,CH,T,SE,2009,0.0
4484,EXP,MT_NFER,CH,T,AT,2009,269.0
4485,EXP,MT_NFER,CH,T,BE,2009,2030.0
4486,EXP,MT_NFER,CH,T,CZ,2009,42.0
4487,EXP,MT_NFER,CH,T,DE,2009,19125.0
4488,EXP,MT_NFER,CH,T,DK,2009,0.0
4489,EXP,MT_NFER,CH,T,EL,2009,21.0
4490,EXP,MT_NFER,CH,T,ES,2009,183.0
4491,EXP,MT_NFER,CH,T,EU27_2020,2009,26306.0
4492,EXP,MT_NFER,CH,T,FI,2009,65.0
4493,EXP,MT_NFER,CH,T,FR,2009,2855.0
4494,EXP,MT_NFER,CH,T,HR,2009,32.0
4495,EXP,MT_NFER,CH,T,HU,2009,0.0
4496,EXP,MT_NFER,CH,T,IE,2009,0.0
4497,EXP,MT_NFER,CH,T,IT,2009,1509.0
4498,EXP,MT_NFER,CH,T,LU,2009,0.0
4499,EXP,MT_NFER,CH,T,NL,2009,172.0
4500,EXP,MT_NFER,CH,T,PL,2009,0.0
4501,EXP,MT_NFER,CH,T,SE,2009,4.0
5820,EXP,MT_NFER_CAN,CH,T,AT,2009,265.0
5821,EXP,MT_NFER_CAN,CH,T,BE,2009,7.0
5822,EXP,MT_NFER_CAN,CH,T,CZ,2009,39.0
5823,EXP,MT_NFER_CAN,CH,T,DE,2009,18000.0
5824,EXP,MT_NFER_CAN,CH,T,EL,2009,21.0
5825,EXP,MT_NFER_CAN,CH,T,ES,2009,182.0
5826,EXP,MT_NFER_CAN,CH,T,EU27_2020,2009,22704.0
5827,EXP,MT_NFER_CAN,CH,T,FI,2009,65.0
5828,EXP,MT_NFER_CAN,CH,T,FR,2009,2752.0
5829,EXP,MT_NFER_CAN,CH,T,HR,2009,32.0
5830,EXP,MT_NFER_CAN,CH,T,IT,2009,1265.0
5831,EXP,MT_NFER_CAN,CH,T,NL,2009,76.0
5832,EXP,MT_NFER_CAN,CH,T,PL,2009,0.0
5833,EXP,MT_NFER_CAN,CH,T,SE,2009,0.0
6864,EXP,MT_NFER_OTH,CH,T,AT,2009,0.0
6865,EXP,MT_NFER_OTH,CH,T,BE,2009,2023.0
