,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
310,EXP,GLAS,TW,T,DE,2009,0.0
311,EXP,GLAS,TW,T,EU27_2020,2009,0.0
1006,EXP,MIN,TW,T,DE,2009,101.0
1007,EXP,MIN,TW,T,ES,2009,24.0
1008,EXP,MIN,TW,T,EU27_2020,2009,172.0
1009,EXP,MIN,TW,T,IE,2009,8.0
1010,EXP,MIN,TW,T,NL,2009,39.0
2680,EXP,MT,TW,T,AT,2009,101.0
2681,EXP,MT,TW,T,BE,2009,22057.0
2682,EXP,MT,TW,T,BG,2009,713.0
2683,EXP,MT,TW,T,CY,2009,520.0
2684,EXP,MT,TW,T,CZ,2009,21.0
2685,EXP,MT,TW,T,DE,2009,79656.0
2686,EXP,MT,TW,T,DK,2009,914.0
2687,EXP,MT,TW,T,EE,2009,566.0
2688,EXP,MT,TW,T,EL,2009,36.0
2689,EXP,MT,TW,T,ES,2009,3854.0
2690,EXP,MT,TW,T,EU27_2020,2009,192955.0
2691,EXP,MT,TW,T,FI,2009,5000.0
2692,EXP,MT,TW,T,FR,2009,3636.0
2693,EXP,MT,TW,T,HU,2009,213.0
2694,EXP,MT,TW,T,IE,2009,761.0
2695,EXP,MT,TW,T,IT,2009,12505.0
2696,EXP,MT,TW,T,LT,2009,1813.0
2697,EXP,MT,TW,T,LV,2009,4256.0
2698,EXP,MT,TW,T,MT,2009,577.0
2699,EXP,MT,TW,T,NL,2009,43215.0
2700,EXP,MT,TW,T,PL,2009,6953.0
2701,EXP,MT,TW,T,RO,2009,13.0
2702,EXP,MT,TW,T,SE,2009,5554.0
2703,EXP,MT,TW,T,SI,2009,21.0
4120,EXP,MT_FER,TW,T,BE,2009,5525.0
4121,EXP,MT_FER,TW,T,CY,2009,26.0
4122,EXP,MT_FER,TW,T,DE,2009,73782.0
4123,EXP,MT_FER,TW,T,DK,2009,81.0
4124,EXP,MT_FER,TW,T,EE,2009,566.0
4125,EXP,MT_FER,TW,T,ES,2009,2205.0
4126,EXP,MT_FER,TW,T,EU27_2020,2009,149034.0
4127,EXP,MT_FER,TW,T,FI,2009,2404.0
4128,EXP,MT_FER,TW,T,FR,2009,1916.0
4129,EXP,MT_FER,TW,T,HU,2009,7.0
4130,EXP,MT_FER,TW,T,IE,2009,674.0
4131,EXP,MT_FER,TW,T,IT,2009,9862.0
4132,EXP,MT_FER,TW,T,LT,2009,1607.0
4133,EXP,MT_FER,TW,T,LV,2009,3713.0
4134,EXP,MT_FER,TW,T,NL,2009,36354.0
4135,EXP,MT_FER,TW,T,PL,2009,6358.0
4136,EXP,MT_FER,TW,T,SE,2009,3953.0
5506,EXP,MT_NFER,TW,T,AT,2009,101.0
5507,EXP,MT_NFER,TW,T,BE,2009,16532.0
5508,EXP,MT_NFER,TW,T,BG,2009,713.0
5509,EXP,MT_NFER,TW,T,CY,2009,494.0
5510,EXP,MT_NFER,TW,T,CZ,2009,21.0
5511,EXP,MT_NFER,TW,T,DE,2009,5874.0
5512,EXP,MT_NFER,TW,T,DK,2009,832.0
5513,EXP,MT_NFER,TW,T,EL,2009,36.0
5514,EXP,MT_NFER,TW,T,ES,2009,1648.0
5515,EXP,MT_NFER,TW,T,EU27_2020,2009,43921.0
5516,EXP,MT_NFER,TW,T,FI,2009,2596.0
5517,EXP,MT_NFER,TW,T,FR,2009,1720.0
5518,EXP,MT_NFER,TW,T,HU,2009,206.0
5519,EXP,MT_NFER,TW,T,IE,2009,87.0
5520,EXP,MT_NFER,TW,T,IT,2009,2643.0
5521,EXP,MT_NFER,TW,T,LT,2009,206.0
5522,EXP,MT_NFER,TW,T,LV,2009,544.0
5523,EXP,MT_NFER,TW,T,MT,2009,577.0
5524,EXP,MT_NFER,TW,T,NL,2009,6861.0
5525,EXP,MT_NFER,TW,T,PL,2009,595.0
5526,EXP,MT_NFER,TW,T,RO,2009,13.0
5527,EXP,MT_NFER,TW,T,SE,2009,1601.0
5528,EXP,MT_NFER,TW,T,SI,2009,21.0
6574,EXP,MT_NFER_CAN,TW,T,BE,2009,16057.0
6575,EXP,MT_NFER_CAN,TW,T,BG,2009,687.0
6576,EXP,MT_NFER_CAN,TW,T,CY,2009,494.0
6577,EXP,MT_NFER_CAN,TW,T,CZ,2009,21.0
6578,EXP,MT_NFER_CAN,TW,T,DE,2009,5652.0
6579,EXP,MT_NFER_CAN,TW,T,DK,2009,457.0
6580,EXP,MT_NFER_CAN,TW,T,EL,2009,36.0
6581,EXP,MT_NFER_CAN,TW,T,ES,2009,1572.0
6582,EXP,MT_NFER_CAN,TW,T,EU27_2020,2009,38691.0
6583,EXP,MT_NFER_CAN,TW,T,FI,2009,1561.0
6584,EXP,MT_NFER_CAN,TW,T,FR,2009,1389.0
6585,EXP,MT_NFER_CAN,TW,T,HU,2009,206.0
6586,EXP,MT_NFER_CAN,TW,T,IE,2009,87.0
6587,EXP,MT_NFER_CAN,TW,T,IT,2009,2616.0
6588,EXP,MT_NFER_CAN,TW,T,LT,2009,202.0
6589,EXP,MT_NFER_CAN,TW,T,LV,2009,544.0
6590,EXP,MT_NFER_CAN,TW,T,MT,2009,577.0
6591,EXP,MT_NFER_CAN,TW,T,NL,2009,4358.0
6592,EXP,MT_NFER_CAN,TW,T,PL,2009,570.0
6593,EXP,MT_NFER_CAN,TW,T,SE,2009,1586.0
6594,EXP,MT_NFER_CAN,TW,T,SI,2009,21.0
7610,EXP,MT_NFER_OTH,TW,T,AT,2009,101.0
7611,EXP,MT_NFER_OTH,TW,T,BE,2009,476.0
7612,EXP,MT_NFER_OTH,TW,T,BG,2009,26.0
7613,EXP,MT_NFER_OTH,TW,T,DE,2009,223.0
7614,EXP,MT_NFER_OTH,TW,T,DK,2009,375.0
7615,EXP,MT_NFER_OTH,TW,T,ES,2009,77.0
7616,EXP,MT_NFER_OTH,TW,T,EU27_2020,2009,5230.0
7617,EXP,MT_NFER_OTH,TW,T,FI,2009,1035.0
7618,EXP,MT_NFER_OTH,TW,T,FR,2009,331.0
7619,EXP,MT_NFER_OTH,TW,T,IT,2009,27.0
7620,EXP,MT_NFER_OTH,TW,T,LT,2009,4.0
7621,EXP,MT_NFER_OTH,TW,T,NL,2009,2502.0
7622,EXP,MT_NFER_OTH,TW,T,PL,2009,25.0
7623,EXP,MT_NFER_OTH,TW,T,RO,2009,13.0
7624,EXP,MT_NFER_OTH,TW,T,SE,2009,14.0
8044,EXP,MT_NFER_PRE,TW,T,EU27_2020,2009,0.0
8045,EXP,MT_NFER_PRE,TW,T,NL,2009,0.0
8896,EXP,NSP,TW,T,BE,2009,2.0
8897,EXP,NSP,TW,T,EU27_2020,2009,2.0
9646,EXP,ORG,TW,T,DE,2009,306.0
9647,EXP,ORG,TW,T,EU27_2020,2009,672.0
9648,EXP,ORG,TW,T,FI,2009,0.0
9649,EXP,ORG,TW,T,FR,2009,366.0
10166,EXP,ORG_ANI,TW,T,DE,2009,104.0
10167,EXP,ORG_ANI,TW,T,EU27_2020,2009,469.0
10168,EXP,ORG_ANI,TW,T,FI,2009,0.0
10169,EXP,ORG_ANI,TW,T,FR,2009,366.0
10770,EXP,ORG_VEG,TW,T,DE,2009,202.0
10771,EXP,ORG_VEG,TW,T,EU27_2020,2009,202.0
11970,EXP,PAPER,TW,T,AT,2009,141.0
11971,EXP,PAPER,TW,T,BE,2009,15572.0
11972,EXP,PAPER,TW,T,DE,2009,29900.0
11973,EXP,PAPER,TW,T,EE,2009,219.0
11974,EXP,PAPER,TW,T,ES,2009,489.0
11975,EXP,PAPER,TW,T,EU27_2020,2009,160838.0
11976,EXP,PAPER,TW,T,FI,2009,5013.0
11977,EXP,PAPER,TW,T,FR,2009,4243.0
11978,EXP,PAPER,TW,T,IE,2009,198.0
11979,EXP,PAPER,TW,T,IT,2009,12045.0
11980,EXP,PAPER,TW,T,NL,2009,92659.0
11981,EXP,PAPER,TW,T,PT,2009,260.0
11982,EXP,PAPER,TW,T,SE,2009,99.0
13218,EXP,PLAST,TW,T,AT,2009,512.0
13219,EXP,PLAST,TW,T,BE,2009,273.0
13220,EXP,PLAST,TW,T,CZ,2009,258.0
13221,EXP,PLAST,TW,T,DE,2009,6479.0
13222,EXP,PLAST,TW,T,DK,2009,17.0
13223,EXP,PLAST,TW,T,EE,2009,16.0
13224,EXP,PLAST,TW,T,EL,2009,119.0
13225,EXP,PLAST,TW,T,ES,2009,6124.0
13226,EXP,PLAST,TW,T,EU27_2020,2009,21217.0
13227,EXP,PLAST,TW,T,FI,2009,429.0
13228,EXP,PLAST,TW,T,FR,2009,250.0
13229,EXP,PLAST,TW,T,IE,2009,2199.0
13230,EXP,PLAST,TW,T,IT,2009,78.0
13231,EXP,PLAST,TW,T,LT,2009,26.0
13232,EXP,PLAST,TW,T,NL,2009,3775.0
13233,EXP,PLAST,TW,T,PL,2009,204.0
13234,EXP,PLAST,TW,T,PT,2009,76.0
13235,EXP,PLAST,TW,T,SE,2009,385.0
15522,EXP,PLAST_RUB,TW,T,AT,2009,512.0
15523,EXP,PLAST_RUB,TW,T,BE,2009,273.0
15524,EXP,PLAST_RUB,TW,T,CZ,2009,258.0
15525,EXP,PLAST_RUB,TW,T,DE,2009,6479.0
15526,EXP,PLAST_RUB,TW,T,DK,2009,17.0
15527,EXP,PLAST_RUB,TW,T,EE,2009,16.0
15528,EXP,PLAST_RUB,TW,T,EL,2009,119.0
15529,EXP,PLAST_RUB,TW,T,ES,2009,6124.0
15530,EXP,PLAST_RUB,TW,T,EU27_2020,2009,21347.0
15531,EXP,PLAST_RUB,TW,T,FI,2009,559.0
15532,EXP,PLAST_RUB,TW,T,FR,2009,250.0
15533,EXP,PLAST_RUB,TW,T,IE,2009,2199.0
15534,EXP,PLAST_RUB,TW,T,IT,2009,78.0
15535,EXP,PLAST_RUB,TW,T,LT,2009,26.0
15536,EXP,PLAST_RUB,TW,T,NL,2009,3775.0
15537,EXP,PLAST_RUB,TW,T,PL,2009,204.0
15538,EXP,PLAST_RUB,TW,T,PT,2009,76.0
15539,EXP,PLAST_RUB,TW,T,SE,2009,385.0
17522,EXP,RUB,TW,T,EU27_2020,2009,130.0
17523,EXP,RUB,TW,T,FI,2009,130.0
21062,EXP,TEXT,TW,T,AT,2009,0.0
21063,EXP,TEXT,TW,T,BE,2009,151.0
21064,EXP,TEXT,TW,T,CZ,2009,18.0
21065,EXP,TEXT,TW,T,DE,2009,295.0
21066,EXP,TEXT,TW,T,DK,2009,0.0
21067,EXP,TEXT,TW,T,ES,2009,131.0
21068,EXP,TEXT,TW,T,EU27_2020,2009,1442.0
21069,EXP,TEXT,TW,T,FI,2009,1.0
21070,EXP,TEXT,TW,T,FR,2009,24.0
21071,EXP,TEXT,TW,T,HU,2009,2.0
21072,EXP,TEXT,TW,T,IE,2009,9.0
21073,EXP,TEXT,TW,T,IT,2009,340.0
21074,EXP,TEXT,TW,T,LT,2009,139.0
21075,EXP,TEXT,TW,T,MT,2009,79.0
21076,EXP,TEXT,TW,T,NL,2009,161.0
21077,EXP,TEXT,TW,T,PL,2009,54.0
21078,EXP,TEXT,TW,T,RO,2009,38.0
21079,EXP,TEXT,TW,T,SE,2009,0.0
22730,EXP,TEXT_NTL,TW,T,BE,2009,129.0
22731,EXP,TEXT_NTL,TW,T,DK,2009,0.0
22732,EXP,TEXT_NTL,TW,T,EU27_2020,2009,389.0
22733,EXP,TEXT_NTL,TW,T,FR,2009,23.0
22734,EXP,TEXT_NTL,TW,T,IT,2009,0.0
22735,EXP,TEXT_NTL,TW,T,LT,2009,114.0
22736,EXP,TEXT_NTL,TW,T,NL,2009,123.0
26028,EXP,TEXT_SYN,TW,T,AT,2009,0.0
26029,EXP,TEXT_SYN,TW,T,BE,2009,22.0
26030,EXP,TEXT_SYN,TW,T,CZ,2009,18.0
26031,EXP,TEXT_SYN,TW,T,DE,2009,295.0
26032,EXP,TEXT_SYN,TW,T,ES,2009,131.0
26033,EXP,TEXT_SYN,TW,T,EU27_2020,2009,1052.0
26034,EXP,TEXT_SYN,TW,T,FI,2009,1.0
26035,EXP,TEXT_SYN,TW,T,FR,2009,1.0
26036,EXP,TEXT_SYN,TW,T,HU,2009,2.0
26037,EXP,TEXT_SYN,TW,T,IE,2009,9.0
26038,EXP,TEXT_SYN,TW,T,IT,2009,340.0
26039,EXP,TEXT_SYN,TW,T,LT,2009,25.0
26040,EXP,TEXT_SYN,TW,T,MT,2009,79.0
26041,EXP,TEXT_SYN,TW,T,NL,2009,39.0
26042,EXP,TEXT_SYN,TW,T,PL,2009,54.0
26043,EXP,TEXT_SYN,TW,T,RO,2009,38.0
26044,EXP,TEXT_SYN,TW,T,SE,2009,0.0
30528,EXP,TOTAL,TW,T,AT,2009,753.0
30529,EXP,TOTAL,TW,T,BE,2009,38126.0
30530,EXP,TOTAL,TW,T,BG,2009,713.0
30531,EXP,TOTAL,TW,T,CY,2009,520.0
30532,EXP,TOTAL,TW,T,CZ,2009,297.0
30533,EXP,TOTAL,TW,T,DE,2009,117183.0
30534,EXP,TOTAL,TW,T,DK,2009,930.0
30535,EXP,TOTAL,TW,T,EE,2009,801.0
30536,EXP,TOTAL,TW,T,EL,2009,154.0
30537,EXP,TOTAL,TW,T,ES,2009,10622.0
30538,EXP,TOTAL,TW,T,EU27_2020,2009,378482.0
30539,EXP,TOTAL,TW,T,FI,2009,10573.0
30540,EXP,TOTAL,TW,T,FR,2009,8518.0
30541,EXP,TOTAL,TW,T,HU,2009,214.0
30542,EXP,TOTAL,TW,T,IE,2009,3175.0
30543,EXP,TOTAL,TW,T,IT,2009,24969.0
30544,EXP,TOTAL,TW,T,LT,2009,1978.0
30545,EXP,TOTAL,TW,T,LV,2009,4256.0
30546,EXP,TOTAL,TW,T,MT,2009,656.0
30547,EXP,TOTAL,TW,T,NL,2009,140388.0
30548,EXP,TOTAL,TW,T,PL,2009,7210.0
30549,EXP,TOTAL,TW,T,PT,2009,336.0
30550,EXP,TOTAL,TW,T,RO,2009,51.0
30551,EXP,TOTAL,TW,T,SE,2009,6038.0
30552,EXP,TOTAL,TW,T,SI,2009,21.0
31906,EXP,WD,TW,T,BE,2009,71.0
31907,EXP,WD,TW,T,DE,2009,446.0
31908,EXP,WD,TW,T,EU27_2020,2009,1056.0
31909,EXP,WD,TW,T,NL,2009,539.0
56086,EXP,GLAS,TW,T,EU27_2020,2013,0.0
56087,EXP,GLAS,TW,T,NL,2013,0.0
56846,EXP,MIN,TW,T,DE,2013,1597.0
56847,EXP,MIN,TW,T,EU27_2020,2013,1682.0
56848,EXP,MIN,TW,T,IE,2013,0.0
56849,EXP,MIN,TW,T,IT,2013,21.0
56850,EXP,MIN,TW,T,NL,2013,64.0
58514,EXP,MT,TW,T,BE,2013,7526.0
