,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
294,EXP,GLAS,TH,T,BE,2009,146.0
295,EXP,GLAS,TH,T,DE,2009,62.0
296,EXP,GLAS,TH,T,EU27_2020,2009,208.0
962,EXP,MIN,TH,T,BE,2009,810.0
963,EXP,MIN,TH,T,DE,2009,43.0
964,EXP,MIN,TH,T,EU27_2020,2009,3488.0
965,EXP,MIN,TH,T,IE,2009,19.0
966,EXP,MIN,TH,T,NL,2009,2616.0
2574,EXP,MT,TH,T,AT,2009,25.0
2575,EXP,MT,TH,T,BE,2009,6737.0
2576,EXP,MT,TH,T,BG,2009,1064.0
2577,EXP,MT,TH,T,CY,2009,180.0
2578,EXP,MT,TH,T,DE,2009,9900.0
2579,EXP,MT,TH,T,DK,2009,22.0
2580,EXP,MT,TH,T,EL,2009,153.0
2581,EXP,MT,TH,T,ES,2009,1606.0
2582,EXP,MT,TH,T,EU27_2020,2009,201728.0
2583,EXP,MT,TH,T,FI,2009,508.0
2584,EXP,MT,TH,T,FR,2009,111.0
2585,EXP,MT,TH,T,IE,2009,50.0
2586,EXP,MT,TH,T,IT,2009,2962.0
2587,EXP,MT,TH,T,LT,2009,24.0
2588,EXP,MT,TH,T,LV,2009,3706.0
2589,EXP,MT,TH,T,NL,2009,9142.0
2590,EXP,MT,TH,T,SE,2009,165538.0
4034,EXP,MT_FER,TH,T,BE,2009,4164.0
4035,EXP,MT_FER,TH,T,DE,2009,4235.0
4036,EXP,MT_FER,TH,T,ES,2009,1470.0
4037,EXP,MT_FER,TH,T,EU27_2020,2009,181203.0
4038,EXP,MT_FER,TH,T,FI,2009,508.0
4039,EXP,MT_FER,TH,T,FR,2009,16.0
4040,EXP,MT_FER,TH,T,IT,2009,0.0
4041,EXP,MT_FER,TH,T,LV,2009,24.0
4042,EXP,MT_FER,TH,T,NL,2009,6653.0
4043,EXP,MT_FER,TH,T,SE,2009,164133.0
5432,EXP,MT_NFER,TH,T,AT,2009,25.0
5433,EXP,MT_NFER,TH,T,BE,2009,2573.0
5434,EXP,MT_NFER,TH,T,BG,2009,1064.0
5435,EXP,MT_NFER,TH,T,CY,2009,180.0
5436,EXP,MT_NFER,TH,T,DE,2009,5665.0
5437,EXP,MT_NFER,TH,T,DK,2009,22.0
5438,EXP,MT_NFER,TH,T,EL,2009,153.0
5439,EXP,MT_NFER,TH,T,ES,2009,136.0
5440,EXP,MT_NFER,TH,T,EU27_2020,2009,20525.0
5441,EXP,MT_NFER,TH,T,FR,2009,95.0
5442,EXP,MT_NFER,TH,T,IE,2009,50.0
5443,EXP,MT_NFER,TH,T,IT,2009,2962.0
5444,EXP,MT_NFER,TH,T,LT,2009,24.0
5445,EXP,MT_NFER,TH,T,LV,2009,3682.0
5446,EXP,MT_NFER,TH,T,NL,2009,2489.0
5447,EXP,MT_NFER,TH,T,SE,2009,1405.0
6512,EXP,MT_NFER_CAN,TH,T,AT,2009,25.0
6513,EXP,MT_NFER_CAN,TH,T,BE,2009,1882.0
6514,EXP,MT_NFER_CAN,TH,T,BG,2009,1064.0
6515,EXP,MT_NFER_CAN,TH,T,CY,2009,180.0
6516,EXP,MT_NFER_CAN,TH,T,DE,2009,5509.0
6517,EXP,MT_NFER_CAN,TH,T,DK,2009,22.0
6518,EXP,MT_NFER_CAN,TH,T,EL,2009,153.0
6519,EXP,MT_NFER_CAN,TH,T,ES,2009,136.0
6520,EXP,MT_NFER_CAN,TH,T,EU27_2020,2009,18853.0
6521,EXP,MT_NFER_CAN,TH,T,FR,2009,95.0
6522,EXP,MT_NFER_CAN,TH,T,IE,2009,50.0
6523,EXP,MT_NFER_CAN,TH,T,IT,2009,2138.0
6524,EXP,MT_NFER_CAN,TH,T,LT,2009,24.0
6525,EXP,MT_NFER_CAN,TH,T,LV,2009,3682.0
6526,EXP,MT_NFER_CAN,TH,T,NL,2009,2487.0
6527,EXP,MT_NFER_CAN,TH,T,SE,2009,1405.0
7562,EXP,MT_NFER_OTH,TH,T,BE,2009,690.0
7563,EXP,MT_NFER_OTH,TH,T,DE,2009,156.0
7564,EXP,MT_NFER_OTH,TH,T,DK,2009,0.0
7565,EXP,MT_NFER_OTH,TH,T,EU27_2020,2009,1672.0
7566,EXP,MT_NFER_OTH,TH,T,IT,2009,824.0
7567,EXP,MT_NFER_OTH,TH,T,NL,2009,2.0
8032,EXP,MT_NFER_PRE,TH,T,DK,2009,0.0
8033,EXP,MT_NFER_PRE,TH,T,EU27_2020,2009,0.0
8034,EXP,MT_NFER_PRE,TH,T,IE,2009,0.0
8858,EXP,NSP,TH,T,BE,2009,0.0
8859,EXP,NSP,TH,T,DE,2009,0.0
8860,EXP,NSP,TH,T,EU27_2020,2009,5.0
8861,EXP,NSP,TH,T,IE,2009,0.0
8862,EXP,NSP,TH,T,IT,2009,5.0
8863,EXP,NSP,TH,T,NL,2009,0.0
9608,EXP,ORG,TH,T,AT,2009,0.0
9609,EXP,ORG,TH,T,CZ,2009,108.0
9610,EXP,ORG,TH,T,DE,2009,2199.0
9611,EXP,ORG,TH,T,EU27_2020,2009,2308.0
9612,EXP,ORG,TH,T,IT,2009,1.0
10148,EXP,ORG_ANI,TH,T,CZ,2009,108.0
10149,EXP,ORG_ANI,TH,T,DE,2009,2199.0
10150,EXP,ORG_ANI,TH,T,EU27_2020,2009,2307.0
10736,EXP,ORG_VEG,TH,T,AT,2009,0.0
10737,EXP,ORG_VEG,TH,T,EU27_2020,2009,1.0
10738,EXP,ORG_VEG,TH,T,IT,2009,1.0
11906,EXP,PAPER,TH,T,AT,2009,4.0
11907,EXP,PAPER,TH,T,BE,2009,6258.0
11908,EXP,PAPER,TH,T,DE,2009,43399.0
11909,EXP,PAPER,TH,T,EE,2009,272.0
11910,EXP,PAPER,TH,T,ES,2009,481.0
11911,EXP,PAPER,TH,T,EU27_2020,2009,124131.0
11912,EXP,PAPER,TH,T,FR,2009,4444.0
11913,EXP,PAPER,TH,T,IE,2009,0.0
11914,EXP,PAPER,TH,T,IT,2009,24247.0
11915,EXP,PAPER,TH,T,LT,2009,1174.0
11916,EXP,PAPER,TH,T,NL,2009,43375.0
11917,EXP,PAPER,TH,T,SI,2009,477.0
13172,EXP,PLAST,TH,T,BG,2009,286.0
13173,EXP,PLAST,TH,T,DE,2009,844.0
13174,EXP,PLAST,TH,T,ES,2009,16.0
13175,EXP,PLAST,TH,T,EU27_2020,2009,1259.0
13176,EXP,PLAST,TH,T,IT,2009,22.0
13177,EXP,PLAST,TH,T,MT,2009,90.0
15440,EXP,PLAST_RUB,TH,T,BE,2009,30.0
15441,EXP,PLAST_RUB,TH,T,BG,2009,286.0
15442,EXP,PLAST_RUB,TH,T,DE,2009,844.0
15443,EXP,PLAST_RUB,TH,T,ES,2009,16.0
15444,EXP,PLAST_RUB,TH,T,EU27_2020,2009,1738.0
15445,EXP,PLAST_RUB,TH,T,FR,2009,450.0
15446,EXP,PLAST_RUB,TH,T,IT,2009,22.0
15447,EXP,PLAST_RUB,TH,T,MT,2009,90.0
17454,EXP,RUB,TH,T,BE,2009,30.0
17455,EXP,RUB,TH,T,EU27_2020,2009,479.0
17456,EXP,RUB,TH,T,FR,2009,450.0
20900,EXP,TEXT,TH,T,AT,2009,1.0
20901,EXP,TEXT,TH,T,DE,2009,135.0
20902,EXP,TEXT,TH,T,EE,2009,0.0
20903,EXP,TEXT,TH,T,EU27_2020,2009,196.0
20904,EXP,TEXT,TH,T,FI,2009,0.0
20905,EXP,TEXT,TH,T,FR,2009,0.0
20906,EXP,TEXT,TH,T,HU,2009,1.0
20907,EXP,TEXT,TH,T,IE,2009,6.0
20908,EXP,TEXT,TH,T,IT,2009,3.0
20909,EXP,TEXT,TH,T,NL,2009,29.0
20910,EXP,TEXT,TH,T,PL,2009,12.0
20911,EXP,TEXT,TH,T,PT,2009,2.0
20912,EXP,TEXT,TH,T,SE,2009,7.0
22670,EXP,TEXT_NTL,TH,T,DE,2009,126.0
22671,EXP,TEXT_NTL,TH,T,EU27_2020,2009,126.0
22672,EXP,TEXT_NTL,TH,T,IT,2009,0.0
22673,EXP,TEXT_NTL,TH,T,SE,2009,0.0
25878,EXP,TEXT_SYN,TH,T,AT,2009,1.0
