,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
300,EXP,GLAS,TN,T,DE,2009,22.0
301,EXP,GLAS,TN,T,EU27_2020,2009,22.0
972,EXP,MIN,TN,T,BE,2009,597.0
973,EXP,MIN,TN,T,EU27_2020,2009,1164.0
974,EXP,MIN,TN,T,FR,2009,265.0
975,EXP,MIN,TN,T,IE,2009,0.0
976,EXP,MIN,TN,T,NL,2009,302.0
2616,EXP,MT,TN,T,BE,2009,84.0
2617,EXP,MT,TN,T,DE,2009,1729.0
2618,EXP,MT,TN,T,EU27_2020,2009,2064.0
2619,EXP,MT,TN,T,FR,2009,192.0
2620,EXP,MT,TN,T,IT,2009,41.0
2621,EXP,MT,TN,T,NL,2009,18.0
4062,EXP,MT_FER,TN,T,BE,2009,36.0
4063,EXP,MT_FER,TN,T,DE,2009,1585.0
4064,EXP,MT_FER,TN,T,EU27_2020,2009,1644.0
4065,EXP,MT_FER,TN,T,FR,2009,3.0
4066,EXP,MT_FER,TN,T,IT,2009,21.0
5464,EXP,MT_NFER,TN,T,BE,2009,48.0
5465,EXP,MT_NFER,TN,T,DE,2009,145.0
5466,EXP,MT_NFER,TN,T,EU27_2020,2009,420.0
5467,EXP,MT_NFER,TN,T,FR,2009,189.0
5468,EXP,MT_NFER,TN,T,IT,2009,20.0
5469,EXP,MT_NFER,TN,T,NL,2009,18.0
6544,EXP,MT_NFER_CAN,TN,T,DE,2009,145.0
6545,EXP,MT_NFER_CAN,TN,T,EU27_2020,2009,339.0
6546,EXP,MT_NFER_CAN,TN,T,FR,2009,175.0
6547,EXP,MT_NFER_CAN,TN,T,IT,2009,20.0
7574,EXP,MT_NFER_OTH,TN,T,BE,2009,48.0
7575,EXP,MT_NFER_OTH,TN,T,DE,2009,0.0
7576,EXP,MT_NFER_OTH,TN,T,EU27_2020,2009,81.0
7577,EXP,MT_NFER_OTH,TN,T,FR,2009,14.0
7578,EXP,MT_NFER_OTH,TN,T,IT,2009,0.0
7579,EXP,MT_NFER_OTH,TN,T,NL,2009,18.0
8870,EXP,NSP,TN,T,BE,2009,0.0
8871,EXP,NSP,TN,T,DE,2009,0.0
8872,EXP,NSP,TN,T,ES,2009,5.0
8873,EXP,NSP,TN,T,EU27_2020,2009,43.0
8874,EXP,NSP,TN,T,FR,2009,27.0
8875,EXP,NSP,TN,T,IT,2009,11.0
9618,EXP,ORG,TN,T,BE,2009,65.0
9619,EXP,ORG,TN,T,ES,2009,14.0
9620,EXP,ORG,TN,T,EU27_2020,2009,79.0
9621,EXP,ORG,TN,T,FR,2009,0.0
10154,EXP,ORG_ANI,TN,T,BE,2009,0.0
10155,EXP,ORG_ANI,TN,T,EU27_2020,2009,0.0
10742,EXP,ORG_VEG,TN,T,BE,2009,65.0
10743,EXP,ORG_VEG,TN,T,ES,2009,14.0
10744,EXP,ORG_VEG,TN,T,EU27_2020,2009,79.0
10745,EXP,ORG_VEG,TN,T,FR,2009,0.0
11930,EXP,PAPER,TN,T,BE,2009,95.0
11931,EXP,PAPER,TN,T,DE,2009,114.0
11932,EXP,PAPER,TN,T,DK,2009,21.0
11933,EXP,PAPER,TN,T,ES,2009,4188.0
11934,EXP,PAPER,TN,T,EU27_2020,2009,4451.0
11935,EXP,PAPER,TN,T,FR,2009,34.0
13184,EXP,PLAST,TN,T,ES,2009,94.0
13185,EXP,PLAST,TN,T,EU27_2020,2009,342.0
13186,EXP,PLAST,TN,T,FR,2009,227.0
13187,EXP,PLAST,TN,T,IT,2009,21.0
15472,EXP,PLAST_RUB,TN,T,DE,2009,44.0
15473,EXP,PLAST_RUB,TN,T,ES,2009,411.0
15474,EXP,PLAST_RUB,TN,T,EU27_2020,2009,1662.0
15475,EXP,PLAST_RUB,TN,T,FR,2009,788.0
15476,EXP,PLAST_RUB,TN,T,IT,2009,405.0
15477,EXP,PLAST_RUB,TN,T,NL,2009,15.0
17476,EXP,RUB,TN,T,DE,2009,44.0
17477,EXP,RUB,TN,T,ES,2009,317.0
17478,EXP,RUB,TN,T,EU27_2020,2009,1320.0
17479,EXP,RUB,TN,T,FR,2009,561.0
17480,EXP,RUB,TN,T,IT,2009,384.0
17481,EXP,RUB,TN,T,NL,2009,15.0
20962,EXP,TEXT,TN,T,AT,2009,481.0
20963,EXP,TEXT,TN,T,BE,2009,9034.0
20964,EXP,TEXT,TN,T,BG,2009,104.0
20965,EXP,TEXT,TN,T,CZ,2009,0.0
20966,EXP,TEXT,TN,T,DE,2009,23291.0
20967,EXP,TEXT,TN,T,ES,2009,594.0
20968,EXP,TEXT,TN,T,EU27_2020,2009,115458.0
20969,EXP,TEXT,TN,T,FI,2009,0.0
20970,EXP,TEXT,TN,T,FR,2009,15812.0
20971,EXP,TEXT,TN,T,HU,2009,0.0
20972,EXP,TEXT,TN,T,IE,2009,2.0
20973,EXP,TEXT,TN,T,IT,2009,59822.0
20974,EXP,TEXT,TN,T,NL,2009,3510.0
20975,EXP,TEXT,TN,T,PL,2009,158.0
20976,EXP,TEXT,TN,T,PT,2009,2080.0
20977,EXP,TEXT,TN,T,SE,2009,533.0
20978,EXP,TEXT,TN,T,SI,2009,35.0
22678,EXP,TEXT_NTL,TN,T,AT,2009,24.0
22679,EXP,TEXT_NTL,TN,T,BE,2009,85.0
22680,EXP,TEXT_NTL,TN,T,CZ,2009,0.0
22681,EXP,TEXT_NTL,TN,T,DE,2009,38.0
22682,EXP,TEXT_NTL,TN,T,ES,2009,68.0
22683,EXP,TEXT_NTL,TN,T,EU27_2020,2009,7649.0
22684,EXP,TEXT_NTL,TN,T,FR,2009,1789.0
22685,EXP,TEXT_NTL,TN,T,IT,2009,5645.0
25940,EXP,TEXT_SYN,TN,T,AT,2009,458.0
25941,EXP,TEXT_SYN,TN,T,BE,2009,8949.0
25942,EXP,TEXT_SYN,TN,T,BG,2009,104.0
25943,EXP,TEXT_SYN,TN,T,DE,2009,23253.0
25944,EXP,TEXT_SYN,TN,T,ES,2009,526.0
25945,EXP,TEXT_SYN,TN,T,EU27_2020,2009,107809.0
25946,EXP,TEXT_SYN,TN,T,FI,2009,0.0
25947,EXP,TEXT_SYN,TN,T,FR,2009,14023.0
25948,EXP,TEXT_SYN,TN,T,HU,2009,0.0
25949,EXP,TEXT_SYN,TN,T,IE,2009,2.0
25950,EXP,TEXT_SYN,TN,T,IT,2009,54178.0
25951,EXP,TEXT_SYN,TN,T,NL,2009,3510.0
25952,EXP,TEXT_SYN,TN,T,PL,2009,158.0
25953,EXP,TEXT_SYN,TN,T,PT,2009,2080.0
25954,EXP,TEXT_SYN,TN,T,SE,2009,533.0
25955,EXP,TEXT_SYN,TN,T,SI,2009,35.0
30414,EXP,TOTAL,TN,T,AT,2009,481.0
30415,EXP,TOTAL,TN,T,BE,2009,9875.0
30416,EXP,TOTAL,TN,T,BG,2009,104.0
30417,EXP,TOTAL,TN,T,CZ,2009,0.0
30418,EXP,TOTAL,TN,T,DE,2009,25200.0
30419,EXP,TOTAL,TN,T,DK,2009,21.0
30420,EXP,TOTAL,TN,T,ES,2009,5212.0
30421,EXP,TOTAL,TN,T,EU27_2020,2009,124948.0
30422,EXP,TOTAL,TN,T,FI,2009,0.0
30423,EXP,TOTAL,TN,T,FR,2009,17122.0
30424,EXP,TOTAL,TN,T,HU,2009,0.0
30425,EXP,TOTAL,TN,T,IE,2009,2.0
30426,EXP,TOTAL,TN,T,IT,2009,60279.0
30427,EXP,TOTAL,TN,T,NL,2009,3845.0
30428,EXP,TOTAL,TN,T,PL,2009,158.0
30429,EXP,TOTAL,TN,T,PT,2009,2080.0
30430,EXP,TOTAL,TN,T,SE,2009,533.0
30431,EXP,TOTAL,TN,T,SI,2009,35.0
31880,EXP,WD,TN,T,EU27_2020,2009,5.0
31881,EXP,WD,TN,T,FR,2009,5.0
56070,EXP,GLAS,TN,T,DE,2013,0.0
56071,EXP,GLAS,TN,T,EU27_2020,2013,3545.0
56072,EXP,GLAS,TN,T,FR,2013,3544.0
56816,EXP,MIN,TN,T,BE,2013,38.0
56817,EXP,MIN,TN,T,EU27_2020,2013,288.0
56818,EXP,MIN,TN,T,FR,2013,250.0
58450,EXP,MT,TN,T,BE,2013,2.0
