,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
318,EXP,GLAS,UK,T,AT,2009,27.0
319,EXP,GLAS,UK,T,BE,2009,12128.0
320,EXP,GLAS,UK,T,DE,2009,112.0
321,EXP,GLAS,UK,T,DK,2009,7562.0
322,EXP,GLAS,UK,T,EU27_2020,2009,55643.0
323,EXP,GLAS,UK,T,FI,2009,21123.0
324,EXP,GLAS,UK,T,FR,2009,14.0
325,EXP,GLAS,UK,T,IE,2009,5399.0
326,EXP,GLAS,UK,T,SE,2009,9278.0
1020,EXP,MIN,UK,T,BE,2009,1509.0
1021,EXP,MIN,UK,T,DE,2009,120549.0
1022,EXP,MIN,UK,T,DK,2009,3606.0
1023,EXP,MIN,UK,T,EE,2009,28.0
1024,EXP,MIN,UK,T,ES,2009,2387.0
1025,EXP,MIN,UK,T,EU27_2020,2009,218275.0
1026,EXP,MIN,UK,T,FR,2009,199.0
1027,EXP,MIN,UK,T,NL,2009,89476.0
1028,EXP,MIN,UK,T,PT,2009,514.0
1029,EXP,MIN,UK,T,SE,2009,7.0
2746,EXP,MT,UK,T,AT,2009,3.0
2747,EXP,MT,UK,T,BE,2009,32024.0
2748,EXP,MT,UK,T,BG,2009,2435.0
2749,EXP,MT,UK,T,CY,2009,80.0
2750,EXP,MT,UK,T,CZ,2009,2393.0
2751,EXP,MT,UK,T,DE,2009,39280.0
2752,EXP,MT,UK,T,DK,2009,11908.0
2753,EXP,MT,UK,T,EE,2009,1684.0
2754,EXP,MT,UK,T,EL,2009,347.0
2755,EXP,MT,UK,T,ES,2009,8355.0
2756,EXP,MT,UK,T,EU27_2020,2009,417595.0
2757,EXP,MT,UK,T,FI,2009,16879.0
2758,EXP,MT,UK,T,FR,2009,16391.0
2759,EXP,MT,UK,T,HR,2009,0.0
2760,EXP,MT,UK,T,HU,2009,570.0
2761,EXP,MT,UK,T,IE,2009,190438.0
2762,EXP,MT,UK,T,IT,2009,2874.0
2763,EXP,MT,UK,T,LT,2009,26.0
2764,EXP,MT,UK,T,LU,2009,952.0
2765,EXP,MT,UK,T,LV,2009,3146.0
2766,EXP,MT,UK,T,MT,2009,559.0
2767,EXP,MT,UK,T,NL,2009,56142.0
2768,EXP,MT,UK,T,PL,2009,7128.0
2769,EXP,MT,UK,T,PT,2009,212.0
2770,EXP,MT,UK,T,RO,2009,9670.0
2771,EXP,MT,UK,T,SE,2009,13948.0
2772,EXP,MT,UK,T,SI,2009,96.0
2773,EXP,MT,UK,T,SK,2009,56.0
4162,EXP,MT_FER,UK,T,BE,2009,25653.0
4163,EXP,MT_FER,UK,T,BG,2009,2109.0
4164,EXP,MT_FER,UK,T,CY,2009,80.0
4165,EXP,MT_FER,UK,T,CZ,2009,481.0
4166,EXP,MT_FER,UK,T,DE,2009,6601.0
4167,EXP,MT_FER,UK,T,DK,2009,10994.0
4168,EXP,MT_FER,UK,T,EE,2009,347.0
4169,EXP,MT_FER,UK,T,EL,2009,122.0
4170,EXP,MT_FER,UK,T,ES,2009,3374.0
4171,EXP,MT_FER,UK,T,EU27_2020,2009,257535.0
4172,EXP,MT_FER,UK,T,FI,2009,41.0
4173,EXP,MT_FER,UK,T,FR,2009,2426.0
4174,EXP,MT_FER,UK,T,HU,2009,84.0
