,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
336,EXP,GLAS,US,T,AT,2009,0.0
337,EXP,GLAS,US,T,BE,2009,26.0
338,EXP,GLAS,US,T,DE,2009,1914.0
339,EXP,GLAS,US,T,EU27_2020,2009,2096.0
340,EXP,GLAS,US,T,FR,2009,48.0
341,EXP,GLAS,US,T,IE,2009,0.0
342,EXP,GLAS,US,T,IT,2009,106.0
343,EXP,GLAS,US,T,NL,2009,1.0
1040,EXP,MIN,US,T,AT,2009,460.0
1041,EXP,MIN,US,T,BE,2009,9744.0
1042,EXP,MIN,US,T,DE,2009,1141.0
1043,EXP,MIN,US,T,DK,2009,1.0
1044,EXP,MIN,US,T,ES,2009,38499.0
1045,EXP,MIN,US,T,EU27_2020,2009,118027.0
1046,EXP,MIN,US,T,HU,2009,53.0
1047,EXP,MIN,US,T,IE,2009,40.0
1048,EXP,MIN,US,T,IT,2009,42753.0
1049,EXP,MIN,US,T,NL,2009,25335.0
1050,EXP,MIN,US,T,PL,2009,1.0
1051,EXP,MIN,US,T,SE,2009,0.0
2802,EXP,MT,US,T,AT,2009,555.0
2803,EXP,MT,US,T,BE,2009,27826.0
2804,EXP,MT,US,T,BG,2009,21.0
2805,EXP,MT,US,T,CZ,2009,31.0
2806,EXP,MT,US,T,DE,2009,57590.0
2807,EXP,MT,US,T,DK,2009,10.0
2808,EXP,MT,US,T,EE,2009,220.0
2809,EXP,MT,US,T,ES,2009,783.0
2810,EXP,MT,US,T,EU27_2020,2009,273632.0
2811,EXP,MT,US,T,FI,2009,1.0
2812,EXP,MT,US,T,FR,2009,4811.0
2813,EXP,MT,US,T,IE,2009,290.0
2814,EXP,MT,US,T,IT,2009,758.0
2815,EXP,MT,US,T,LT,2009,1.0
2816,EXP,MT,US,T,LU,2009,25.0
2817,EXP,MT,US,T,LV,2009,0.0
2818,EXP,MT,US,T,NL,2009,47915.0
2819,EXP,MT,US,T,PL,2009,28.0
2820,EXP,MT,US,T,PT,2009,49.0
2821,EXP,MT,US,T,RO,2009,0.0
2822,EXP,MT,US,T,SE,2009,132696.0
2823,EXP,MT,US,T,SK,2009,23.0
4208,EXP,MT_FER,US,T,AT,2009,2.0
4209,EXP,MT_FER,US,T,BE,2009,17537.0
4210,EXP,MT_FER,US,T,DE,2009,49345.0
4211,EXP,MT_FER,US,T,DK,2009,10.0
4212,EXP,MT_FER,US,T,ES,2009,412.0
4213,EXP,MT_FER,US,T,EU27_2020,2009,245181.0
4214,EXP,MT_FER,US,T,FR,2009,272.0
4215,EXP,MT_FER,US,T,IE,2009,50.0
4216,EXP,MT_FER,US,T,IT,2009,50.0
4217,EXP,MT_FER,US,T,LU,2009,0.0
4218,EXP,MT_FER,US,T,NL,2009,45442.0
4219,EXP,MT_FER,US,T,PL,2009,8.0
4220,EXP,MT_FER,US,T,SE,2009,132054.0
5622,EXP,MT_NFER,US,T,AT,2009,553.0
5623,EXP,MT_NFER,US,T,BE,2009,10288.0
5624,EXP,MT_NFER,US,T,BG,2009,21.0
5625,EXP,MT_NFER,US,T,CZ,2009,31.0
5626,EXP,MT_NFER,US,T,DE,2009,8245.0
5627,EXP,MT_NFER,US,T,DK,2009,0.0
5628,EXP,MT_NFER,US,T,EE,2009,220.0
5629,EXP,MT_NFER,US,T,ES,2009,371.0
5630,EXP,MT_NFER,US,T,EU27_2020,2009,28451.0
5631,EXP,MT_NFER,US,T,FI,2009,1.0
5632,EXP,MT_NFER,US,T,FR,2009,4539.0
5633,EXP,MT_NFER,US,T,IE,2009,240.0
5634,EXP,MT_NFER,US,T,IT,2009,709.0
5635,EXP,MT_NFER,US,T,LT,2009,1.0
5636,EXP,MT_NFER,US,T,LU,2009,25.0
5637,EXP,MT_NFER,US,T,LV,2009,0.0
5638,EXP,MT_NFER,US,T,NL,2009,2473.0
5639,EXP,MT_NFER,US,T,PL,2009,20.0
5640,EXP,MT_NFER,US,T,PT,2009,49.0
5641,EXP,MT_NFER,US,T,RO,2009,0.0
5642,EXP,MT_NFER,US,T,SE,2009,642.0
5643,EXP,MT_NFER,US,T,SK,2009,23.0
6670,EXP,MT_NFER_CAN,US,T,AT,2009,20.0
6671,EXP,MT_NFER_CAN,US,T,BE,2009,440.0
6672,EXP,MT_NFER_CAN,US,T,BG,2009,21.0
6673,EXP,MT_NFER_CAN,US,T,CZ,2009,17.0
6674,EXP,MT_NFER_CAN,US,T,DE,2009,1872.0
6675,EXP,MT_NFER_CAN,US,T,EE,2009,176.0
6676,EXP,MT_NFER_CAN,US,T,ES,2009,262.0
6677,EXP,MT_NFER_CAN,US,T,EU27_2020,2009,5788.0
6678,EXP,MT_NFER_CAN,US,T,FR,2009,2238.0
6679,EXP,MT_NFER_CAN,US,T,IE,2009,146.0
6680,EXP,MT_NFER_CAN,US,T,IT,2009,54.0
6681,EXP,MT_NFER_CAN,US,T,NL,2009,299.0
6682,EXP,MT_NFER_CAN,US,T,PL,2009,20.0
6683,EXP,MT_NFER_CAN,US,T,PT,2009,1.0
6684,EXP,MT_NFER_CAN,US,T,SE,2009,202.0
6685,EXP,MT_NFER_CAN,US,T,SK,2009,23.0
7696,EXP,MT_NFER_OTH,US,T,AT,2009,534.0
7697,EXP,MT_NFER_OTH,US,T,BE,2009,9848.0
7698,EXP,MT_NFER_OTH,US,T,CZ,2009,15.0
7699,EXP,MT_NFER_OTH,US,T,DE,2009,2187.0
7700,EXP,MT_NFER_OTH,US,T,EE,2009,44.0
7701,EXP,MT_NFER_OTH,US,T,ES,2009,33.0
7702,EXP,MT_NFER_OTH,US,T,EU27_2020,2009,17413.0
7703,EXP,MT_NFER_OTH,US,T,FR,2009,2215.0
7704,EXP,MT_NFER_OTH,US,T,IE,2009,91.0
7705,EXP,MT_NFER_OTH,US,T,IT,2009,108.0
7706,EXP,MT_NFER_OTH,US,T,LT,2009,1.0
7707,EXP,MT_NFER_OTH,US,T,LV,2009,0.0
7708,EXP,MT_NFER_OTH,US,T,NL,2009,1877.0
7709,EXP,MT_NFER_OTH,US,T,PT,2009,48.0
7710,EXP,MT_NFER_OTH,US,T,RO,2009,0.0
7711,EXP,MT_NFER_OTH,US,T,SE,2009,412.0
8084,EXP,MT_NFER_PRE,US,T,AT,2009,0.0
8085,EXP,MT_NFER_PRE,US,T,BE,2009,0.0
