,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
314,EXP,GLAS,UA,T,EU27_2020,2009,2360.0
315,EXP,GLAS,UA,T,LT,2009,2360.0
1016,EXP,MIN,UA,T,DE,2009,170.0
1017,EXP,MIN,UA,T,EU27_2020,2009,170.0
2728,EXP,MT,UA,T,BE,2009,166.0
2729,EXP,MT,UA,T,BG,2009,22.0
2730,EXP,MT,UA,T,DE,2009,827.0
2731,EXP,MT,UA,T,EU27_2020,2009,1121.0
2732,EXP,MT,UA,T,IE,2009,0.0
2733,EXP,MT,UA,T,IT,2009,41.0
2734,EXP,MT,UA,T,LV,2009,39.0
2735,EXP,MT,UA,T,NL,2009,3.0
2736,EXP,MT,UA,T,PL,2009,24.0
4154,EXP,MT_FER,UA,T,BE,2009,118.0
4155,EXP,MT_FER,UA,T,DE,2009,17.0
4156,EXP,MT_FER,UA,T,EU27_2020,2009,170.0
4157,EXP,MT_FER,UA,T,IT,2009,35.0
5552,EXP,MT_NFER,UA,T,BE,2009,48.0
5553,EXP,MT_NFER,UA,T,BG,2009,22.0
5554,EXP,MT_NFER,UA,T,DE,2009,810.0
5555,EXP,MT_NFER,UA,T,EU27_2020,2009,950.0
5556,EXP,MT_NFER,UA,T,IE,2009,0.0
5557,EXP,MT_NFER,UA,T,IT,2009,6.0
5558,EXP,MT_NFER,UA,T,LV,2009,39.0
5559,EXP,MT_NFER,UA,T,NL,2009,3.0
5560,EXP,MT_NFER,UA,T,PL,2009,24.0
6616,EXP,MT_NFER_CAN,UA,T,BE,2009,48.0
6617,EXP,MT_NFER_CAN,UA,T,DE,2009,36.0
6618,EXP,MT_NFER_CAN,UA,T,EU27_2020,2009,85.0
6619,EXP,MT_NFER_CAN,UA,T,IT,2009,0.0
7640,EXP,MT_NFER_OTH,UA,T,BG,2009,22.0
7641,EXP,MT_NFER_OTH,UA,T,DE,2009,773.0
7642,EXP,MT_NFER_OTH,UA,T,EU27_2020,2009,866.0
7643,EXP,MT_NFER_OTH,UA,T,IE,2009,0.0
7644,EXP,MT_NFER_OTH,UA,T,IT,2009,6.0
7645,EXP,MT_NFER_OTH,UA,T,LV,2009,39.0
7646,EXP,MT_NFER_OTH,UA,T,NL,2009,3.0
7647,EXP,MT_NFER_OTH,UA,T,PL,2009,24.0
8904,EXP,NSP,UA,T,AT,2009,30.0
8905,EXP,NSP,UA,T,EU27_2020,2009,33.0
8906,EXP,NSP,UA,T,PL,2009,3.0
9654,EXP,ORG,UA,T,BE,2009,27.0
9655,EXP,ORG,UA,T,DE,2009,513.0
9656,EXP,ORG,UA,T,ES,2009,223.0
9657,EXP,ORG,UA,T,EU27_2020,2009,2181.0
9658,EXP,ORG,UA,T,IT,2009,977.0
9659,EXP,ORG,UA,T,PL,2009,441.0
10174,EXP,ORG_ANI,UA,T,EU27_2020,2009,451.0
10175,EXP,ORG_ANI,UA,T,IT,2009,10.0
10176,EXP,ORG_ANI,UA,T,PL,2009,441.0
10774,EXP,ORG_VEG,UA,T,BE,2009,27.0
10775,EXP,ORG_VEG,UA,T,DE,2009,513.0
10776,EXP,ORG_VEG,UA,T,ES,2009,223.0
10777,EXP,ORG_VEG,UA,T,EU27_2020,2009,1730.0
10778,EXP,ORG_VEG,UA,T,IT,2009,967.0
12002,EXP,PAPER,UA,T,CY,2009,185.0
12003,EXP,PAPER,UA,T,CZ,2009,21.0
12004,EXP,PAPER,UA,T,DE,2009,0.0
12005,EXP,PAPER,UA,T,EE,2009,640.0
12006,EXP,PAPER,UA,T,EU27_2020,2009,44671.0
12007,EXP,PAPER,UA,T,FI,2009,208.0
12008,EXP,PAPER,UA,T,HU,2009,11674.0
12009,EXP,PAPER,UA,T,LT,2009,255.0
12010,EXP,PAPER,UA,T,LV,2009,4856.0
12011,EXP,PAPER,UA,T,PL,2009,7710.0
12012,EXP,PAPER,UA,T,RO,2009,6196.0
12013,EXP,PAPER,UA,T,SK,2009,12927.0
13254,EXP,PLAST,UA,T,CZ,2009,187.0
13255,EXP,PLAST,UA,T,DE,2009,69.0
13256,EXP,PLAST,UA,T,EU27_2020,2009,1161.0
13257,EXP,PLAST,UA,T,FI,2009,97.0
13258,EXP,PLAST,UA,T,FR,2009,16.0
13259,EXP,PLAST,UA,T,PL,2009,792.0
15572,EXP,PLAST_RUB,UA,T,AT,2009,170.0
15573,EXP,PLAST_RUB,UA,T,BE,2009,0.0
15574,EXP,PLAST_RUB,UA,T,CZ,2009,230.0
15575,EXP,PLAST_RUB,UA,T,DE,2009,835.0
15576,EXP,PLAST_RUB,UA,T,DK,2009,16.0
15577,EXP,PLAST_RUB,UA,T,EE,2009,0.0
15578,EXP,PLAST_RUB,UA,T,ES,2009,13.0
15579,EXP,PLAST_RUB,UA,T,EU27_2020,2009,3897.0
15580,EXP,PLAST_RUB,UA,T,FI,2009,97.0
15581,EXP,PLAST_RUB,UA,T,FR,2009,17.0
15582,EXP,PLAST_RUB,UA,T,IT,2009,321.0
15583,EXP,PLAST_RUB,UA,T,LT,2009,0.0
15584,EXP,PLAST_RUB,UA,T,NL,2009,668.0
15585,EXP,PLAST_RUB,UA,T,PL,2009,1347.0
15586,EXP,PLAST_RUB,UA,T,PT,2009,11.0
15587,EXP,PLAST_RUB,UA,T,SI,2009,170.0
15588,EXP,PLAST_RUB,UA,T,SK,2009,3.0
17540,EXP,RUB,UA,T,AT,2009,170.0
17541,EXP,RUB,UA,T,BE,2009,0.0
17542,EXP,RUB,UA,T,CZ,2009,43.0
17543,EXP,RUB,UA,T,DE,2009,766.0
17544,EXP,RUB,UA,T,DK,2009,16.0
17545,EXP,RUB,UA,T,EE,2009,0.0
17546,EXP,RUB,UA,T,ES,2009,13.0
17547,EXP,RUB,UA,T,EU27_2020,2009,2736.0
17548,EXP,RUB,UA,T,FR,2009,0.0
17549,EXP,RUB,UA,T,IT,2009,321.0
17550,EXP,RUB,UA,T,LT,2009,0.0
17551,EXP,RUB,UA,T,NL,2009,668.0
17552,EXP,RUB,UA,T,PL,2009,555.0
17553,EXP,RUB,UA,T,PT,2009,11.0
17554,EXP,RUB,UA,T,SI,2009,170.0
17555,EXP,RUB,UA,T,SK,2009,3.0
21130,EXP,TEXT,UA,T,AT,2009,179.0
21131,EXP,TEXT,UA,T,BE,2009,1495.0
21132,EXP,TEXT,UA,T,BG,2009,72.0
21133,EXP,TEXT,UA,T,CZ,2009,995.0
21134,EXP,TEXT,UA,T,DE,2009,6590.0
21135,EXP,TEXT,UA,T,DK,2009,174.0
21136,EXP,TEXT,UA,T,ES,2009,0.0
21137,EXP,TEXT,UA,T,EU27_2020,2009,29932.0
21138,EXP,TEXT,UA,T,FI,2009,0.0
21139,EXP,TEXT,UA,T,FR,2009,69.0
21140,EXP,TEXT,UA,T,HU,2009,187.0
21141,EXP,TEXT,UA,T,IE,2009,285.0
21142,EXP,TEXT,UA,T,IT,2009,715.0
21143,EXP,TEXT,UA,T,LT,2009,3158.0
21144,EXP,TEXT,UA,T,LV,2009,330.0
21145,EXP,TEXT,UA,T,NL,2009,4838.0
21146,EXP,TEXT,UA,T,PL,2009,9338.0
21147,EXP,TEXT,UA,T,PT,2009,1.0
21148,EXP,TEXT,UA,T,RO,2009,13.0
21149,EXP,TEXT,UA,T,SE,2009,822.0
21150,EXP,TEXT,UA,T,SI,2009,1.0
21151,EXP,TEXT,UA,T,SK,2009,671.0
22750,EXP,TEXT_NTL,UA,T,AT,2009,0.0
22751,EXP,TEXT_NTL,UA,T,BG,2009,1.0
22752,EXP,TEXT_NTL,UA,T,CZ,2009,76.0
22753,EXP,TEXT_NTL,UA,T,DE,2009,30.0
22754,EXP,TEXT_NTL,UA,T,ES,2009,0.0
22755,EXP,TEXT_NTL,UA,T,EU27_2020,2009,954.0
22756,EXP,TEXT_NTL,UA,T,HU,2009,0.0
22757,EXP,TEXT_NTL,UA,T,IT,2009,39.0
22758,EXP,TEXT_NTL,UA,T,LT,2009,422.0
22759,EXP,TEXT_NTL,UA,T,PL,2009,263.0
22760,EXP,TEXT_NTL,UA,T,SE,2009,123.0
26094,EXP,TEXT_SYN,UA,T,AT,2009,178.0
26095,EXP,TEXT_SYN,UA,T,BE,2009,1495.0
26096,EXP,TEXT_SYN,UA,T,BG,2009,72.0
26097,EXP,TEXT_SYN,UA,T,CZ,2009,919.0
26098,EXP,TEXT_SYN,UA,T,DE,2009,6560.0
26099,EXP,TEXT_SYN,UA,T,DK,2009,174.0
26100,EXP,TEXT_SYN,UA,T,EU27_2020,2009,28978.0
26101,EXP,TEXT_SYN,UA,T,FI,2009,0.0
26102,EXP,TEXT_SYN,UA,T,FR,2009,69.0
26103,EXP,TEXT_SYN,UA,T,HU,2009,187.0
26104,EXP,TEXT_SYN,UA,T,IE,2009,285.0
26105,EXP,TEXT_SYN,UA,T,IT,2009,675.0
26106,EXP,TEXT_SYN,UA,T,LT,2009,2736.0
26107,EXP,TEXT_SYN,UA,T,LV,2009,330.0
26108,EXP,TEXT_SYN,UA,T,NL,2009,4838.0
26109,EXP,TEXT_SYN,UA,T,PL,2009,9075.0
26110,EXP,TEXT_SYN,UA,T,PT,2009,1.0
26111,EXP,TEXT_SYN,UA,T,RO,2009,13.0
26112,EXP,TEXT_SYN,UA,T,SE,2009,700.0
26113,EXP,TEXT_SYN,UA,T,SI,2009,1.0
26114,EXP,TEXT_SYN,UA,T,SK,2009,671.0
30612,EXP,TOTAL,UA,T,AT,2009,378.0
30613,EXP,TOTAL,UA,T,BE,2009,1690.0
30614,EXP,TOTAL,UA,T,BG,2009,94.0
30615,EXP,TOTAL,UA,T,CY,2009,185.0
30616,EXP,TOTAL,UA,T,CZ,2009,1246.0
30617,EXP,TOTAL,UA,T,DE,2009,9040.0
30618,EXP,TOTAL,UA,T,DK,2009,190.0
30619,EXP,TOTAL,UA,T,EE,2009,640.0
30620,EXP,TOTAL,UA,T,ES,2009,235.0
30621,EXP,TOTAL,UA,T,EU27_2020,2009,84524.0
30622,EXP,TOTAL,UA,T,FI,2009,305.0
30623,EXP,TOTAL,UA,T,FR,2009,87.0
30624,EXP,TOTAL,UA,T,HU,2009,11861.0
30625,EXP,TOTAL,UA,T,IE,2009,285.0
30626,EXP,TOTAL,UA,T,IT,2009,2065.0
30627,EXP,TOTAL,UA,T,LT,2009,5773.0
30628,EXP,TOTAL,UA,T,LV,2009,5234.0
30629,EXP,TOTAL,UA,T,NL,2009,5508.0
30630,EXP,TOTAL,UA,T,PL,2009,18892.0
30631,EXP,TOTAL,UA,T,PT,2009,12.0
30632,EXP,TOTAL,UA,T,RO,2009,6208.0
30633,EXP,TOTAL,UA,T,SE,2009,822.0
30634,EXP,TOTAL,UA,T,SI,2009,171.0
30635,EXP,TOTAL,UA,T,SK,2009,13601.0
31914,EXP,WD,UA,T,BE,2009,2.0
31915,EXP,WD,UA,T,DE,2009,106.0
31916,EXP,WD,UA,T,EU27_2020,2009,159.0
31917,EXP,WD,UA,T,FR,2009,1.0
31918,EXP,WD,UA,T,IT,2009,11.0
31919,EXP,WD,UA,T,LV,2009,10.0
31920,EXP,WD,UA,T,PL,2009,30.0
56090,EXP,GLAS,UA,T,AT,2013,2029.0
56091,EXP,GLAS,UA,T,BE,2013,0.0
56092,EXP,GLAS,UA,T,DE,2013,38.0
56093,EXP,GLAS,UA,T,EU27_2020,2013,7902.0
56094,EXP,GLAS,UA,T,HU,2013,3505.0
56095,EXP,GLAS,UA,T,LT,2013,2330.0
56856,EXP,MIN,UA,T,DE,2013,619.0
56857,EXP,MIN,UA,T,EE,2013,207.0
56858,EXP,MIN,UA,T,EU27_2020,2013,826.0
56859,EXP,MIN,UA,T,NL,2013,0.0
56860,EXP,MIN,UA,T,PL,2013,0.0
58564,EXP,MT,UA,T,AT,2013,223.0
58565,EXP,MT,UA,T,BE,2013,0.0
58566,EXP,MT,UA,T,BG,2013,36.0
58567,EXP,MT,UA,T,DE,2013,2562.0
58568,EXP,MT,UA,T,EE,2013,16.0
58569,EXP,MT,UA,T,ES,2013,44.0
