,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
0,EXP,GLAS,AE,T,DE,2009,5.0
1,EXP,GLAS,AE,T,EU27_2020,2009,5.0
366,EXP,MIN,AE,T,BE,2009,43.0
367,EXP,MIN,AE,T,DE,2009,4.0
368,EXP,MIN,AE,T,EU27_2020,2009,7476.0
369,EXP,MIN,AE,T,IT,2009,5.0
370,EXP,MIN,AE,T,NL,2009,7425.0
1082,EXP,MT,AE,T,BE,2009,3637.0
1083,EXP,MT,AE,T,BG,2009,271.0
1084,EXP,MT,AE,T,CY,2009,323.0
1085,EXP,MT,AE,T,CZ,2009,70.0
1086,EXP,MT,AE,T,DE,2009,724.0
1087,EXP,MT,AE,T,DK,2009,600.0
1088,EXP,MT,AE,T,EE,2009,201.0
1089,EXP,MT,AE,T,ES,2009,773.0
1090,EXP,MT,AE,T,EU27_2020,2009,31211.0
1091,EXP,MT,AE,T,FI,2009,3052.0
1092,EXP,MT,AE,T,FR,2009,11198.0
1093,EXP,MT,AE,T,IE,2009,3.0
1094,EXP,MT,AE,T,IT,2009,1101.0
1095,EXP,MT,AE,T,LT,2009,75.0
1096,EXP,MT,AE,T,LV,2009,1910.0
1097,EXP,MT,AE,T,MT,2009,12.0
1098,EXP,MT,AE,T,NL,2009,477.0
1099,EXP,MT,AE,T,PL,2009,807.0
1100,EXP,MT,AE,T,SE,2009,5928.0
1101,EXP,MT,AE,T,SI,2009,49.0
2954,EXP,MT_FER,AE,T,BE,2009,2298.0
2955,EXP,MT_FER,AE,T,BG,2009,34.0
2956,EXP,MT_FER,AE,T,CY,2009,100.0
2957,EXP,MT_FER,AE,T,CZ,2009,51.0
2958,EXP,MT_FER,AE,T,DE,2009,679.0
2959,EXP,MT_FER,AE,T,DK,2009,600.0
2960,EXP,MT_FER,AE,T,EE,2009,99.0
2961,EXP,MT_FER,AE,T,ES,2009,457.0
2962,EXP,MT_FER,AE,T,EU27_2020,2009,24982.0
2963,EXP,MT_FER,AE,T,FI,2009,2999.0
2964,EXP,MT_FER,AE,T,FR,2009,9067.0
2965,EXP,MT_FER,AE,T,IE,2009,2.0
2966,EXP,MT_FER,AE,T,IT,2009,558.0
2967,EXP,MT_FER,AE,T,LT,2009,75.0
2968,EXP,MT_FER,AE,T,LV,2009,1793.0
2969,EXP,MT_FER,AE,T,MT,2009,12.0
2970,EXP,MT_FER,AE,T,NL,2009,268.0
2971,EXP,MT_FER,AE,T,PL,2009,807.0
2972,EXP,MT_FER,AE,T,SE,2009,5081.0
4316,EXP,MT_NFER,AE,T,BE,2009,1339.0
4317,EXP,MT_NFER,AE,T,BG,2009,237.0
4318,EXP,MT_NFER,AE,T,CY,2009,223.0
4319,EXP,MT_NFER,AE,T,CZ,2009,20.0
4320,EXP,MT_NFER,AE,T,DE,2009,45.0
4321,EXP,MT_NFER,AE,T,EE,2009,102.0
4322,EXP,MT_NFER,AE,T,ES,2009,316.0
4323,EXP,MT_NFER,AE,T,EU27_2020,2009,6230.0
4324,EXP,MT_NFER,AE,T,FI,2009,53.0
4325,EXP,MT_NFER,AE,T,FR,2009,2131.0
4326,EXP,MT_NFER,AE,T,IE,2009,0.0
4327,EXP,MT_NFER,AE,T,IT,2009,543.0
4328,EXP,MT_NFER,AE,T,LV,2009,117.0
4329,EXP,MT_NFER,AE,T,NL,2009,209.0
4330,EXP,MT_NFER,AE,T,SE,2009,847.0
4331,EXP,MT_NFER,AE,T,SI,2009,49.0
5728,EXP,MT_NFER_CAN,AE,T,BE,2009,1274.0
5729,EXP,MT_NFER_CAN,AE,T,BG,2009,237.0
5730,EXP,MT_NFER_CAN,AE,T,CY,2009,223.0
5731,EXP,MT_NFER_CAN,AE,T,CZ,2009,20.0
5732,EXP,MT_NFER_CAN,AE,T,DE,2009,41.0
5733,EXP,MT_NFER_CAN,AE,T,EE,2009,78.0
5734,EXP,MT_NFER_CAN,AE,T,ES,2009,316.0
5735,EXP,MT_NFER_CAN,AE,T,EU27_2020,2009,5828.0
5736,EXP,MT_NFER_CAN,AE,T,FI,2009,53.0
5737,EXP,MT_NFER_CAN,AE,T,FR,2009,2110.0
5738,EXP,MT_NFER_CAN,AE,T,IT,2009,515.0
5739,EXP,MT_NFER_CAN,AE,T,LV,2009,117.0
5740,EXP,MT_NFER_CAN,AE,T,SE,2009,847.0
6738,EXP,MT_NFER_OTH,AE,T,BE,2009,66.0
6739,EXP,MT_NFER_OTH,AE,T,DE,2009,5.0
6740,EXP,MT_NFER_OTH,AE,T,EE,2009,25.0
6741,EXP,MT_NFER_OTH,AE,T,EU27_2020,2009,402.0
6742,EXP,MT_NFER_OTH,AE,T,FR,2009,21.0
6743,EXP,MT_NFER_OTH,AE,T,IT,2009,28.0
6744,EXP,MT_NFER_OTH,AE,T,NL,2009,209.0
6745,EXP,MT_NFER_OTH,AE,T,SI,2009,49.0
7766,EXP,MT_NFER_PRE,AE,T,DE,2009,0.0
7767,EXP,MT_NFER_PRE,AE,T,EU27_2020,2009,0.0
7768,EXP,MT_NFER_PRE,AE,T,IE,2009,0.0
7769,EXP,MT_NFER_PRE,AE,T,IT,2009,0.0
7770,EXP,MT_NFER_PRE,AE,T,NL,2009,0.0
7771,EXP,MT_NFER_PRE,AE,T,SE,2009,0.0
8128,EXP,NSP,AE,T,EU27_2020,2009,24.0
8129,EXP,NSP,AE,T,FR,2009,0.0
8130,EXP,NSP,AE,T,IE,2009,23.0
8131,EXP,NSP,AE,T,IT,2009,0.0
8132,EXP,NSP,AE,T,NL,2009,1.0
8986,EXP,ORG,AE,T,DE,2009,1.0
8987,EXP,ORG,AE,T,EU27_2020,2009,12.0
8988,EXP,ORG,AE,T,IT,2009,11.0
8989,EXP,ORG,AE,T,NL,2009,0.0
9784,EXP,ORG_ANI,AE,T,DE,2009,1.0
9785,EXP,ORG_ANI,AE,T,EU27_2020,2009,1.0
10250,EXP,ORG_VEG,AE,T,EU27_2020,2009,11.0
10251,EXP,ORG_VEG,AE,T,IT,2009,11.0
10252,EXP,ORG_VEG,AE,T,NL,2009,0.0
10870,EXP,PAPER,AE,T,AT,2009,0.0
10871,EXP,PAPER,AE,T,BE,2009,44.0
10872,EXP,PAPER,AE,T,CY,2009,4229.0
10873,EXP,PAPER,AE,T,DE,2009,1125.0
10874,EXP,PAPER,AE,T,EL,2009,639.0
10875,EXP,PAPER,AE,T,ES,2009,0.0
10876,EXP,PAPER,AE,T,EU27_2020,2009,20774.0
10877,EXP,PAPER,AE,T,FI,2009,3847.0
10878,EXP,PAPER,AE,T,FR,2009,552.0
10879,EXP,PAPER,AE,T,IE,2009,4092.0
10880,EXP,PAPER,AE,T,IT,2009,2408.0
10881,EXP,PAPER,AE,T,MT,2009,48.0
10882,EXP,PAPER,AE,T,NL,2009,167.0
10883,EXP,PAPER,AE,T,SE,2009,3624.0
12160,EXP,PLAST,AE,T,AT,2009,40.0
12161,EXP,PLAST,AE,T,BE,2009,3560.0
12162,EXP,PLAST,AE,T,DE,2009,627.0
12163,EXP,PLAST,AE,T,EL,2009,18.0
12164,EXP,PLAST,AE,T,ES,2009,300.0
12165,EXP,PLAST,AE,T,EU27_2020,2009,6613.0
12166,EXP,PLAST,AE,T,FI,2009,139.0
12167,EXP,PLAST,AE,T,FR,2009,170.0
12168,EXP,PLAST,AE,T,IT,2009,412.0
12169,EXP,PLAST,AE,T,LT,2009,159.0
12170,EXP,PLAST,AE,T,SE,2009,907.0
12171,EXP,PLAST,AE,T,SI,2009,281.0
13432,EXP,PLAST_RUB,AE,T,AT,2009,40.0
13433,EXP,PLAST_RUB,AE,T,BE,2009,3699.0
13434,EXP,PLAST_RUB,AE,T,DE,2009,922.0
13435,EXP,PLAST_RUB,AE,T,EL,2009,20.0
13436,EXP,PLAST_RUB,AE,T,ES,2009,423.0
13437,EXP,PLAST_RUB,AE,T,EU27_2020,2009,7272.0
13438,EXP,PLAST_RUB,AE,T,FI,2009,146.0
13439,EXP,PLAST_RUB,AE,T,FR,2009,172.0
13440,EXP,PLAST_RUB,AE,T,IT,2009,436.0
13441,EXP,PLAST_RUB,AE,T,LT,2009,159.0
13442,EXP,PLAST_RUB,AE,T,NL,2009,33.0
13443,EXP,PLAST_RUB,AE,T,PT,2009,20.0
13444,EXP,PLAST_RUB,AE,T,SE,2009,920.0
13445,EXP,PLAST_RUB,AE,T,SI,2009,281.0
15862,EXP,RUB,AE,T,BE,2009,139.0
15863,EXP,RUB,AE,T,DE,2009,295.0
15864,EXP,RUB,AE,T,EL,2009,2.0
15865,EXP,RUB,AE,T,ES,2009,123.0
15866,EXP,RUB,AE,T,EU27_2020,2009,659.0
15867,EXP,RUB,AE,T,FI,2009,7.0
15868,EXP,RUB,AE,T,FR,2009,3.0
15869,EXP,RUB,AE,T,IT,2009,24.0
15870,EXP,RUB,AE,T,NL,2009,33.0
15871,EXP,RUB,AE,T,PT,2009,20.0
15872,EXP,RUB,AE,T,SE,2009,13.0
17762,EXP,TEXT,AE,T,AT,2009,98.0
17763,EXP,TEXT,AE,T,BE,2009,775.0
17764,EXP,TEXT,AE,T,BG,2009,297.0
17765,EXP,TEXT,AE,T,CZ,2009,419.0
17766,EXP,TEXT,AE,T,DE,2009,10004.0
17767,EXP,TEXT,AE,T,EU27_2020,2009,36203.0
17768,EXP,TEXT,AE,T,FI,2009,1.0
17769,EXP,TEXT,AE,T,FR,2009,11551.0
17770,EXP,TEXT,AE,T,HU,2009,113.0
17771,EXP,TEXT,AE,T,IE,2009,68.0
17772,EXP,TEXT,AE,T,IT,2009,4361.0
17773,EXP,TEXT,AE,T,LT,2009,127.0
17774,EXP,TEXT,AE,T,NL,2009,7492.0
17775,EXP,TEXT,AE,T,PL,2009,696.0
17776,EXP,TEXT,AE,T,PT,2009,4.0
17777,EXP,TEXT,AE,T,SE,2009,16.0
17778,EXP,TEXT,AE,T,SI,2009,0.0
17779,EXP,TEXT,AE,T,SK,2009,182.0
21512,EXP,TEXT_NTL,AE,T,AT,2009,0.0
21513,EXP,TEXT_NTL,AE,T,BE,2009,40.0
21514,EXP,TEXT_NTL,AE,T,CZ,2009,0.0
21515,EXP,TEXT_NTL,AE,T,DE,2009,0.0
21516,EXP,TEXT_NTL,AE,T,EU27_2020,2009,3615.0
21517,EXP,TEXT_NTL,AE,T,FR,2009,55.0
21518,EXP,TEXT_NTL,AE,T,HU,2009,0.0
21519,EXP,TEXT_NTL,AE,T,IE,2009,0.0
21520,EXP,TEXT_NTL,AE,T,IT,2009,3520.0
22916,EXP,TEXT_SYN,AE,T,AT,2009,98.0
22917,EXP,TEXT_SYN,AE,T,BE,2009,736.0
22918,EXP,TEXT_SYN,AE,T,BG,2009,297.0
22919,EXP,TEXT_SYN,AE,T,CZ,2009,419.0
22920,EXP,TEXT_SYN,AE,T,DE,2009,10004.0
22921,EXP,TEXT_SYN,AE,T,EU27_2020,2009,32589.0
22922,EXP,TEXT_SYN,AE,T,FI,2009,1.0
22923,EXP,TEXT_SYN,AE,T,FR,2009,11496.0
22924,EXP,TEXT_SYN,AE,T,HU,2009,113.0
22925,EXP,TEXT_SYN,AE,T,IE,2009,68.0
22926,EXP,TEXT_SYN,AE,T,IT,2009,841.0
22927,EXP,TEXT_SYN,AE,T,LT,2009,127.0
22928,EXP,TEXT_SYN,AE,T,NL,2009,7492.0
22929,EXP,TEXT_SYN,AE,T,PL,2009,696.0
22930,EXP,TEXT_SYN,AE,T,PT,2009,4.0
22931,EXP,TEXT_SYN,AE,T,SE,2009,16.0
22932,EXP,TEXT_SYN,AE,T,SI,2009,0.0
22933,EXP,TEXT_SYN,AE,T,SK,2009,182.0
26452,EXP,TOTAL,AE,T,AT,2009,598.0
26453,EXP,TOTAL,AE,T,BE,2009,8199.0
26454,EXP,TOTAL,AE,T,BG,2009,568.0
26455,EXP,TOTAL,AE,T,CY,2009,4551.0
26456,EXP,TOTAL,AE,T,CZ,2009,489.0
26457,EXP,TOTAL,AE,T,DE,2009,13704.0
26458,EXP,TOTAL,AE,T,DK,2009,602.0
26459,EXP,TOTAL,AE,T,EE,2009,399.0
26460,EXP,TOTAL,AE,T,EL,2009,660.0
26461,EXP,TOTAL,AE,T,ES,2009,1196.0
26462,EXP,TOTAL,AE,T,EU27_2020,2009,104931.0
26463,EXP,TOTAL,AE,T,FI,2009,7046.0
26464,EXP,TOTAL,AE,T,FR,2009,23517.0
26465,EXP,TOTAL,AE,T,HU,2009,113.0
26466,EXP,TOTAL,AE,T,IE,2009,4184.0
26467,EXP,TOTAL,AE,T,IT,2009,8383.0
26468,EXP,TOTAL,AE,T,LT,2009,360.0
26469,EXP,TOTAL,AE,T,LV,2009,1910.0
26470,EXP,TOTAL,AE,T,MT,2009,60.0
26471,EXP,TOTAL,AE,T,NL,2009,15859.0
26472,EXP,TOTAL,AE,T,PL,2009,1509.0
26473,EXP,TOTAL,AE,T,PT,2009,25.0
26474,EXP,TOTAL,AE,T,SE,2009,10489.0
26475,EXP,TOTAL,AE,T,SI,2009,330.0
26476,EXP,TOTAL,AE,T,SK,2009,182.0
31114,EXP,WD,AE,T,AT,2009,460.0
31115,EXP,WD,AE,T,BE,2009,0.0
31116,EXP,WD,AE,T,DE,2009,919.0
31117,EXP,WD,AE,T,DK,2009,1.0
31118,EXP,WD,AE,T,EE,2009,198.0
31119,EXP,WD,AE,T,EU27_2020,2009,1954.0
31120,EXP,WD,AE,T,FR,2009,43.0
31121,EXP,WD,AE,T,IT,2009,63.0
31122,EXP,WD,AE,T,NL,2009,264.0
31123,EXP,WD,AE,T,PL,2009,6.0
55760,EXP,GLAS,AE,T,BE,2013,1650.0
55761,EXP,GLAS,AE,T,DE,2013,2.0
55762,EXP,GLAS,AE,T,EU27_2020,2013,1652.0
55763,EXP,GLAS,AE,T,SE,2013,0.0
56154,EXP,MIN,AE,T,DE,2013,513.0
56155,EXP,MIN,AE,T,ES,2013,3.0
56156,EXP,MIN,AE,T,EU27_2020,2013,531.0
56157,EXP,MIN,AE,T,NL,2013,15.0
56936,EXP,MT,AE,T,AT,2013,22.0
56937,EXP,MT,AE,T,BE,2013,1891.0
56938,EXP,MT,AE,T,CY,2013,325.0
56939,EXP,MT,AE,T,DE,2013,218.0
56940,EXP,MT,AE,T,DK,2013,0.0
56941,EXP,MT,AE,T,EL,2013,100.0
56942,EXP,MT,AE,T,ES,2013,168.0
56943,EXP,MT,AE,T,EU27_2020,2013,6383.0
56944,EXP,MT,AE,T,FI,2013,213.0
56945,EXP,MT,AE,T,FR,2013,704.0
56946,EXP,MT,AE,T,HU,2013,156.0
56947,EXP,MT,AE,T,IT,2013,12.0
56948,EXP,MT,AE,T,NL,2013,108.0
56949,EXP,MT,AE,T,PL,2013,502.0
56950,EXP,MT,AE,T,PT,2013,0.0
56951,EXP,MT,AE,T,SE,2013,1919.0
56952,EXP,MT,AE,T,SK,2013,47.0
58780,EXP,MT_FER,AE,T,BE,2013,560.0
58781,EXP,MT_FER,AE,T,CY,2013,178.0
58782,EXP,MT_FER,AE,T,DE,2013,142.0
