,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
352,EXP,GLAS,VN,T,ES,2009,144.0
353,EXP,GLAS,VN,T,EU27_2020,2009,144.0
1068,EXP,MIN,VN,T,EU27_2020,2009,999.0
1069,EXP,MIN,VN,T,NL,2009,999.0
2878,EXP,MT,VN,T,BE,2009,29406.0
2879,EXP,MT,VN,T,BG,2009,20.0
2880,EXP,MT,VN,T,CY,2009,403.0
2881,EXP,MT,VN,T,CZ,2009,26.0
2882,EXP,MT,VN,T,DE,2009,87093.0
2883,EXP,MT,VN,T,DK,2009,2426.0
2884,EXP,MT,VN,T,EE,2009,1976.0
2885,EXP,MT,VN,T,ES,2009,952.0
2886,EXP,MT,VN,T,EU27_2020,2009,333883.0
2887,EXP,MT,VN,T,FI,2009,4686.0
2888,EXP,MT,VN,T,FR,2009,4713.0
2889,EXP,MT,VN,T,HU,2009,2999.0
2890,EXP,MT,VN,T,IE,2009,4192.0
2891,EXP,MT,VN,T,IT,2009,4652.0
2892,EXP,MT,VN,T,LT,2009,8084.0
2893,EXP,MT,VN,T,MT,2009,26.0
2894,EXP,MT,VN,T,NL,2009,165150.0
2895,EXP,MT,VN,T,RO,2009,8960.0
2896,EXP,MT,VN,T,SE,2009,8122.0
4254,EXP,MT_FER,VN,T,BE,2009,29078.0
4255,EXP,MT_FER,VN,T,BG,2009,20.0
4256,EXP,MT_FER,VN,T,CY,2009,403.0
4257,EXP,MT_FER,VN,T,CZ,2009,2.0
4258,EXP,MT_FER,VN,T,DE,2009,86205.0
4259,EXP,MT_FER,VN,T,DK,2009,2426.0
4260,EXP,MT_FER,VN,T,EE,2009,1976.0
4261,EXP,MT_FER,VN,T,ES,2009,728.0
4262,EXP,MT_FER,VN,T,EU27_2020,2009,328385.0
4263,EXP,MT_FER,VN,T,FI,2009,4686.0
4264,EXP,MT_FER,VN,T,FR,2009,3993.0
4265,EXP,MT_FER,VN,T,HU,2009,2999.0
4266,EXP,MT_FER,VN,T,IE,2009,4179.0
4267,EXP,MT_FER,VN,T,IT,2009,4512.0
4268,EXP,MT_FER,VN,T,LT,2009,8084.0
4269,EXP,MT_FER,VN,T,NL,2009,163413.0
4270,EXP,MT_FER,VN,T,RO,2009,8960.0
4271,EXP,MT_FER,VN,T,SE,2009,6721.0
5684,EXP,MT_NFER,VN,T,BE,2009,329.0
5685,EXP,MT_NFER,VN,T,CZ,2009,24.0
5686,EXP,MT_NFER,VN,T,DE,2009,887.0
5687,EXP,MT_NFER,VN,T,ES,2009,224.0
5688,EXP,MT_NFER,VN,T,EU27_2020,2009,5498.0
5689,EXP,MT_NFER,VN,T,FR,2009,720.0
5690,EXP,MT_NFER,VN,T,IE,2009,13.0
5691,EXP,MT_NFER,VN,T,IT,2009,139.0
5692,EXP,MT_NFER,VN,T,MT,2009,26.0
5693,EXP,MT_NFER,VN,T,NL,2009,1737.0
