,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
304,EXP,GLAS,TR,T,BG,2009,69.0
305,EXP,GLAS,TR,T,EU27_2020,2009,70.0
306,EXP,GLAS,TR,T,SE,2009,0.0
982,EXP,MIN,TR,T,BG,2009,397.0
983,EXP,MIN,TR,T,DE,2009,55.0
984,EXP,MIN,TR,T,EL,2009,116024.0
985,EXP,MIN,TR,T,ES,2009,233.0
986,EXP,MIN,TR,T,EU27_2020,2009,116985.0
987,EXP,MIN,TR,T,IT,2009,2.0
988,EXP,MIN,TR,T,NL,2009,43.0
989,EXP,MIN,TR,T,PT,2009,99.0
990,EXP,MIN,TR,T,RO,2009,133.0
2628,EXP,MT,TR,T,AT,2009,706.0
2629,EXP,MT,TR,T,BE,2009,1297261.0
2630,EXP,MT,TR,T,BG,2009,222275.0
2631,EXP,MT,TR,T,DE,2009,436368.0
2632,EXP,MT,TR,T,DK,2009,343874.0
2633,EXP,MT,TR,T,EE,2009,253340.0
2634,EXP,MT,TR,T,EL,2009,507.0
2635,EXP,MT,TR,T,ES,2009,433.0
2636,EXP,MT,TR,T,EU27_2020,2009,6625656.0
2637,EXP,MT,TR,T,FI,2009,41373.0
2638,EXP,MT,TR,T,FR,2009,113787.0
2639,EXP,MT,TR,T,HR,2009,84988.0
2640,EXP,MT,TR,T,HU,2009,20627.0
2641,EXP,MT,TR,T,IT,2009,2241.0
2642,EXP,MT,TR,T,LT,2009,140802.0
2643,EXP,MT,TR,T,LV,2009,45565.0
2644,EXP,MT,TR,T,MT,2009,23599.0
2645,EXP,MT,TR,T,NL,2009,1397212.0
2646,EXP,MT,TR,T,PL,2009,51354.0
2647,EXP,MT,TR,T,RO,2009,1994752.0
2648,EXP,MT,TR,T,SE,2009,93051.0
2649,EXP,MT,TR,T,SI,2009,61543.0
4072,EXP,MT_FER,TR,T,AT,2009,706.0
4073,EXP,MT_FER,TR,T,BE,2009,1296902.0
4074,EXP,MT_FER,TR,T,BG,2009,220980.0
4075,EXP,MT_FER,TR,T,DE,2009,435353.0
4076,EXP,MT_FER,TR,T,DK,2009,343865.0
4077,EXP,MT_FER,TR,T,EE,2009,253340.0
4078,EXP,MT_FER,TR,T,ES,2009,71.0
4079,EXP,MT_FER,TR,T,EU27_2020,2009,6619012.0
4080,EXP,MT_FER,TR,T,FI,2009,41373.0
4081,EXP,MT_FER,TR,T,FR,2009,113780.0
4082,EXP,MT_FER,TR,T,HR,2009,84988.0
4083,EXP,MT_FER,TR,T,HU,2009,20627.0
4084,EXP,MT_FER,TR,T,IT,2009,1828.0
4085,EXP,MT_FER,TR,T,LT,2009,140802.0
4086,EXP,MT_FER,TR,T,LV,2009,45565.0
4087,EXP,MT_FER,TR,T,MT,2009,23599.0
4088,EXP,MT_FER,TR,T,NL,2009,1396225.0
4089,EXP,MT_FER,TR,T,PL,2009,51354.0
4090,EXP,MT_FER,TR,T,RO,2009,1993172.0
4091,EXP,MT_FER,TR,T,SE,2009,92999.0
4092,EXP,MT_FER,TR,T,SI,2009,61485.0
5476,EXP,MT_NFER,TR,T,BE,2009,358.0
5477,EXP,MT_NFER,TR,T,BG,2009,1295.0
5478,EXP,MT_NFER,TR,T,DE,2009,1015.0
5479,EXP,MT_NFER,TR,T,DK,2009,9.0
5480,EXP,MT_NFER,TR,T,EL,2009,507.0
5481,EXP,MT_NFER,TR,T,ES,2009,362.0
5482,EXP,MT_NFER,TR,T,EU27_2020,2009,6645.0
5483,EXP,MT_NFER,TR,T,FR,2009,7.0
5484,EXP,MT_NFER,TR,T,IT,2009,413.0
5485,EXP,MT_NFER,TR,T,NL,2009,987.0
5486,EXP,MT_NFER,TR,T,RO,2009,1581.0
5487,EXP,MT_NFER,TR,T,SE,2009,52.0
5488,EXP,MT_NFER,TR,T,SI,2009,59.0
6552,EXP,MT_NFER_CAN,TR,T,BE,2009,21.0
6553,EXP,MT_NFER_CAN,TR,T,BG,2009,398.0
6554,EXP,MT_NFER_CAN,TR,T,DE,2009,675.0
6555,EXP,MT_NFER_CAN,TR,T,ES,2009,362.0
6556,EXP,MT_NFER_CAN,TR,T,EU27_2020,2009,3596.0
6557,EXP,MT_NFER_CAN,TR,T,FR,2009,3.0
6558,EXP,MT_NFER_CAN,TR,T,IT,2009,413.0
6559,EXP,MT_NFER_CAN,TR,T,NL,2009,791.0
6560,EXP,MT_NFER_CAN,TR,T,RO,2009,847.0
6561,EXP,MT_NFER_CAN,TR,T,SE,2009,27.0
6562,EXP,MT_NFER_CAN,TR,T,SI,2009,59.0
7586,EXP,MT_NFER_OTH,TR,T,BE,2009,338.0
7587,EXP,MT_NFER_OTH,TR,T,BG,2009,897.0
7588,EXP,MT_NFER_OTH,TR,T,DE,2009,331.0
7589,EXP,MT_NFER_OTH,TR,T,DK,2009,9.0
7590,EXP,MT_NFER_OTH,TR,T,EL,2009,507.0
7591,EXP,MT_NFER_OTH,TR,T,EU27_2020,2009,3041.0
7592,EXP,MT_NFER_OTH,TR,T,FR,2009,4.0
7593,EXP,MT_NFER_OTH,TR,T,NL,2009,196.0
7594,EXP,MT_NFER_OTH,TR,T,RO,2009,734.0
7595,EXP,MT_NFER_OTH,TR,T,SE,2009,25.0
8038,EXP,MT_NFER_PRE,TR,T,DE,2009,8.0
8039,EXP,MT_NFER_PRE,TR,T,EU27_2020,2009,8.0
8040,EXP,MT_NFER_PRE,TR,T,FR,2009,0.0
8882,EXP,NSP,TR,T,AT,2009,0.0
8883,EXP,NSP,TR,T,BE,2009,5.0
8884,EXP,NSP,TR,T,ES,2009,0.0
8885,EXP,NSP,TR,T,EU27_2020,2009,211.0
8886,EXP,NSP,TR,T,FR,2009,150.0
8887,EXP,NSP,TR,T,IT,2009,55.0
8888,EXP,NSP,TR,T,NL,2009,0.0
9626,EXP,ORG,TR,T,BE,2009,372.0
9627,EXP,ORG,TR,T,BG,2009,458.0
9628,EXP,ORG,TR,T,DE,2009,418.0
9629,EXP,ORG,TR,T,EL,2009,1051.0
9630,EXP,ORG,TR,T,ES,2009,1.0
9631,EXP,ORG,TR,T,EU27_2020,2009,5474.0
9632,EXP,ORG,TR,T,HU,2009,130.0
9633,EXP,ORG,TR,T,IT,2009,359.0
9634,EXP,ORG,TR,T,PL,2009,659.0
9635,EXP,ORG,TR,T,RO,2009,2026.0
10158,EXP,ORG_ANI,TR,T,DE,2009,150.0
10159,EXP,ORG_ANI,TR,T,ES,2009,1.0
10160,EXP,ORG_ANI,TR,T,EU27_2020,2009,909.0
10161,EXP,ORG_ANI,TR,T,RO,2009,758.0
10750,EXP,ORG_VEG,TR,T,BE,2009,372.0
10751,EXP,ORG_VEG,TR,T,BG,2009,458.0
10752,EXP,ORG_VEG,TR,T,DE,2009,267.0
10753,EXP,ORG_VEG,TR,T,EL,2009,1051.0
10754,EXP,ORG_VEG,TR,T,ES,2009,1.0
10755,EXP,ORG_VEG,TR,T,EU27_2020,2009,4564.0
10756,EXP,ORG_VEG,TR,T,HU,2009,130.0
10757,EXP,ORG_VEG,TR,T,IT,2009,359.0
10758,EXP,ORG_VEG,TR,T,PL,2009,659.0
10759,EXP,ORG_VEG,TR,T,RO,2009,1268.0
11942,EXP,PAPER,TR,T,AT,2009,0.0
11943,EXP,PAPER,TR,T,BE,2009,11239.0
11944,EXP,PAPER,TR,T,BG,2009,22450.0
11945,EXP,PAPER,TR,T,DE,2009,927.0
11946,EXP,PAPER,TR,T,EL,2009,23047.0
11947,EXP,PAPER,TR,T,EU27_2020,2009,77288.0
11948,EXP,PAPER,TR,T,FI,2009,346.0
11949,EXP,PAPER,TR,T,FR,2009,2226.0
11950,EXP,PAPER,TR,T,HR,2009,0.0
11951,EXP,PAPER,TR,T,IE,2009,47.0
11952,EXP,PAPER,TR,T,IT,2009,7570.0
11953,EXP,PAPER,TR,T,NL,2009,2899.0
11954,EXP,PAPER,TR,T,RO,2009,6156.0
11955,EXP,PAPER,TR,T,SE,2009,380.0
13192,EXP,PLAST,TR,T,AT,2009,21.0
13193,EXP,PLAST,TR,T,BE,2009,339.0
13194,EXP,PLAST,TR,T,BG,2009,1414.0
13195,EXP,PLAST,TR,T,DE,2009,599.0
13196,EXP,PLAST,TR,T,EL,2009,91.0
13197,EXP,PLAST,TR,T,ES,2009,82.0
13198,EXP,PLAST,TR,T,EU27_2020,2009,3967.0
13199,EXP,PLAST,TR,T,FR,2009,390.0
13200,EXP,PLAST,TR,T,IT,2009,17.0
13201,EXP,PLAST,TR,T,NL,2009,851.0
13202,EXP,PLAST,TR,T,PL,2009,142.0
13203,EXP,PLAST,TR,T,RO,2009,20.0
13204,EXP,PLAST,TR,T,SE,2009,0.0
15484,EXP,PLAST_RUB,TR,T,AT,2009,21.0
15485,EXP,PLAST_RUB,TR,T,BE,2009,340.0
15486,EXP,PLAST_RUB,TR,T,BG,2009,1415.0
15487,EXP,PLAST_RUB,TR,T,DE,2009,1193.0
15488,EXP,PLAST_RUB,TR,T,EL,2009,164.0
15489,EXP,PLAST_RUB,TR,T,ES,2009,87.0
15490,EXP,PLAST_RUB,TR,T,EU27_2020,2009,5478.0
15491,EXP,PLAST_RUB,TR,T,FI,2009,242.0
15492,EXP,PLAST_RUB,TR,T,FR,2009,390.0
15493,EXP,PLAST_RUB,TR,T,IT,2009,296.0
15494,EXP,PLAST_RUB,TR,T,NL,2009,878.0
15495,EXP,PLAST_RUB,TR,T,PL,2009,142.0
15496,EXP,PLAST_RUB,TR,T,RO,2009,250.0
15497,EXP,PLAST_RUB,TR,T,SE,2009,20.0
15498,EXP,PLAST_RUB,TR,T,SI,2009,40.0
17488,EXP,RUB,TR,T,AT,2009,0.0
17489,EXP,RUB,TR,T,BE,2009,0.0
17490,EXP,RUB,TR,T,BG,2009,1.0
17491,EXP,RUB,TR,T,DE,2009,594.0
17492,EXP,RUB,TR,T,EL,2009,73.0
17493,EXP,RUB,TR,T,ES,2009,5.0
17494,EXP,RUB,TR,T,EU27_2020,2009,1511.0
17495,EXP,RUB,TR,T,FI,2009,242.0
