,stk_flow,rawmat,partner,unit,geo,TIME_PERIOD,OBS_VALUE
26440,EXP,TOTAL,AD,T,EU27_2020,2009,33.0
26462,EXP,TOTAL,AE,T,EU27_2020,2009,104931.0
26507,EXP,TOTAL,AF,T,EU27_2020,2009,590.0
26528,EXP,TOTAL,AG,T,EU27_2020,2009,14.0
26547,EXP,TOTAL,AL,T,EU27_2020,2009,26168.0
26574,EXP,TOTAL,AM,T,EU27_2020,2009,524.0
26597,EXP,TOTAL,AN,T,EU27_2020,2009,4031.0
26617,EXP,TOTAL,AO,T,EU27_2020,2009,19830.0
26648,EXP,TOTAL,AQ,T,EU27_2020,2009,0.0
26657,EXP,TOTAL,AR,T,EU27_2020,2009,2166.0
26688,EXP,TOTAL,AU,T,EU27_2020,2009,6744.0
26729,EXP,TOTAL,AW,T,EU27_2020,2009,514.0
26736,EXP,TOTAL,AZ,T,EU27_2020,2009,1245.0
26758,EXP,TOTAL,BA,T,EU27_2020,2009,20797.0
26788,EXP,TOTAL,BB,T,EU27_2020,2009,60.0
26803,EXP,TOTAL,BD,T,EU27_2020,2009,74909.0
26833,EXP,TOTAL,BF,T,EU27_2020,2009,7743.0
26857,EXP,TOTAL,BH,T,EU27_2020,2009,237.0
26886,EXP,TOTAL,BI,T,EU27_2020,2009,1371.0
26910,EXP,TOTAL,BJ,T,EU27_2020,2009,22051.0
26943,EXP,TOTAL,BM,T,EU27_2020,2009,134.0
26952,EXP,TOTAL,BN,T,EU27_2020,2009,2940.0
26967,EXP,TOTAL,BO,T,EU27_2020,2009,1279.0
26990,EXP,TOTAL,BR,T,EU27_2020,2009,20165.0
27025,EXP,TOTAL,BS,T,EU27_2020,2009,51.0
27039,EXP,TOTAL,BW,T,EU27_2020,2009,209.0
27055,EXP,TOTAL,BY,T,EU27_2020,2009,21108.0
27088,EXP,TOTAL,BZ,T,EU27_2020,2009,43.0
27106,EXP,TOTAL,CA,T,EU27_2020,2009,60495.0
27154,EXP,TOTAL,CD,T,EU27_2020,2009,13888.0
27183,EXP,TOTAL,CF,T,EU27_2020,2009,2637.0
27203,EXP,TOTAL,CG,T,EU27_2020,2009,15352.0
27241,EXP,TOTAL,CH,T,EU27_2020,2009,949395.0
27289,EXP,TOTAL,CI,T,EU27_2020,2009,10233.0
27313,EXP,TOTAL,CK,T,EU27_2020,2009,866.0
27324,EXP,TOTAL,CL,T,EU27_2020,2009,35211.0
27356,EXP,TOTAL,CM,T,EU27_2020,2009,61957.0
27398,EXP,TOTAL,CN,T,EU27_2020,2009,10140030.0
27445,EXP,TOTAL,CO,T,EU27_2020,2009,705.0
27468,EXP,TOTAL,CR,T,EU27_2020,2009,128.0
27489,EXP,TOTAL,CU,T,EU27_2020,2009,2855.0
27511,EXP,TOTAL,CV,T,EU27_2020,2009,1032.0
27526,EXP,TOTAL,CX,T,EU27_2020,2009,23.0
27536,EXP,TOTAL,DJ,T,EU27_2020,2009,7838.0
27554,EXP,TOTAL,DM,T,EU27_2020,2009,46.0
27571,EXP,TOTAL,DO,T,EU27_2020,2009,4079.0
